eval/mean_reward,env/current_idx,env/n_steps,time/total_timesteps,eval/success_rate,env/completion_counter,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/explained_variance
-0.15467130800709128,132,300,300,0.86,0,1.36,,,,,,,,,,,,,,,,
,,,300,,,,1,0,456,2.27,-0.5605997100000001,0.43,,,,,,,,,,
-0.07022278060205281,268,600,600,0.94,0,1.24,,,,,,,0.07448796182870865,0.001,0.004637097,0.0022727273404598235,0.2,-1.9443125247955322,-0.008476330735720693,0.5935807794332504,5,-0.2590339183807373
,,,600,,,,2,0,874,2.15,-0.45291008000000005,0.47,,,,,,,,,,
-0.0490614031907171,408,900,900,0.94,0,1.18,,,,,,,0.11060932278633118,0.001,0.013379294,0.09911221563816071,0.2,-1.9258585333824159,-0.013303346442990005,0.2675128966569901,10,-0.06646239757537842
,,,900,,,,3,0,1326,2.16,-0.44532390000000005,0.5,,,,,,,,,,
-0.11096056498587131,549,1200,1200,0.88,0,1.32,,,,,,,0.06141221523284912,0.001,0.013670482,0.09126420617103577,0.2,-1.8959632873535157,-0.01565089904997876,0.21653501987457274,15,0.028804302215576172
,,,1200,,,,4,0,1772,2.05,-0.34365358999999995,0.59,,,,,,,,,,
-0.0900611392967403,705,1500,1500,0.88,0,1.32,,,,,,,0.04647381976246834,0.001,0.03195276,0.22560369223356247,0.2,-1.8172166705131532,-0.0261514185462147,0.2339267760515213,20,0.005075335502624512
,,,1500,,,,5,0,2205,1.98,-0.39277523,0.59,,,,,,,,,,
-0.007709328113123775,864,1800,1800,1.0,0,1.06,,,,,,,0.04571177810430527,0.001,0.026431851,0.1821022719144821,0.2,-1.6717446804046632,-0.026157773018348963,0.21933003813028334,25,0.07226294279098511
,,,1800,,,,6,0,2632,1.86,-0.37250878,0.65,,,,,,,,,,
-0.09018046437762678,1022,2100,2100,0.9,0,1.26,,,,,,,0.11606329679489136,0.001,0.028958691,0.1998934656381607,0.2,-1.4719355583190918,-0.017583186784759165,0.22680457234382628,30,0.04309558868408203
,,,2100,,,,7,0,3060,1.94,-0.3237864999999999,0.62,,,,,,,,,,
-0.06958609097637236,1201,2400,2400,0.92,0,1.24,,,,,,,0.06263519823551178,0.001,0.009459157,0.054936079680919646,0.2,-1.2660544395446778,-0.005513901740778237,0.2268081158399582,35,-0.008552312850952148
,,,2400,,,,8,0,3485,1.62,-0.21941098000000003,0.78,,,,,,,,,,
-0.06908985338173806,1367,2700,2700,0.92,0,1.2,,,,,,,0.11633627116680145,0.001,0.024003468,0.12585227191448212,0.2,-1.089342874288559,-0.013420445565134286,0.22420355379581453,40,0.05864691734313965
,,,2700,,,,9,0,3925,1.74,-0.25070367,0.75,,,,,,,,,,
-0.02802726297173649,1534,3000,3000,0.96,0,1.16,,,,,,,0.05137263983488083,0.001,0.0060638036,0.03068181872367859,0.2,-0.8799787878990173,-0.004963265123660676,0.17912235334515572,45,0.18133282661437988
,,,3000,,,,10,0,4379,1.68,-0.24588547000000002,0.72,,,,,,,,,,
-0.13206788134295494,1720,3300,3300,0.86,0,1.3,,,,,,,0.047684140503406525,0.001,0.0072381506,0.04453125,0.2,-0.7558694958686829,-0.006521523531409912,0.1974353864789009,50,0.2342267632484436
,,,3300,,,,11,0,4813,1.63,-0.24098125999999997,0.75,,,,,,,,,,
-0.06980785745196044,1899,3600,3600,0.94,0,1.2,,,,,,,0.06807969510555267,0.001,0.0010526227,0.003125,0.2,-0.6217486441135407,-0.0014609191217459737,0.17206207662820816,55,0.20739996433258057
,,,3600,,,,12,0,5265,1.65,-0.27990798,0.74,,,,,,,,,,
