time/total_timesteps,env/current_idx,eval/mean_reward,env/completion_counter,env/n_steps,eval/mean_ep_length,eval/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/success_rate,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/n_updates
300,89,-0.14326595530379563,0,300,1.82,0.86,,,,,,,,,,,,,,,,
300,,,,,,,-0.6209977727272729,0,3.397727272727273,497,1,0.48863636363636365,,,,,,,,,,
600,193,-0.07776350999716669,0,600,1.5,0.92,,,,,,,0.3559281453490257,0.1391335219144821,0.2,-1.9378397822380067,-0.0199780039023608,0.001,0.014100384,-0.33594369888305664,0.04629647731781006,5
600,,,,,,,-0.40265692000000003,0,2.87,943,2,0.65,,,,,,,,,,
900,297,-0.050799988619983194,0,900,1.36,0.94,,,,,,,0.25621836334466935,0.07311789840459823,0.2,-1.9150676488876344,-0.016783750761533156,0.001,0.014450344,-0.030774712562561035,0.029691018164157867,10
900,,,,,,,-0.3528508799999999,0,2.85,1391,3,0.67,,,,,,,,,,
1200,404,-0.07662573958747089,0,1200,1.32,0.94,,,,,,,0.2157616972923279,0.17894176244735718,0.2,-1.8319563031196595,-0.009737357450649142,0.001,0.021957982,-0.09194076061248779,0.07587966322898865,15
1200,,,,,,,-0.36771915,0,2.73,1840,4,0.69,,,,,,,,,,
1500,521,-0.011206304589286446,0,1500,1.16,0.98,,,,,,,0.24657901450991632,0.15046164393424988,0.2,-1.7593706607818604,-0.020409693440888076,0.001,0.023386523,-0.011446356773376465,0.03274165466427803,20
1500,,,,,,,-0.27590447000000007,0,2.55,2269,5,0.75,,,,,,,,,,
1800,631,-0.03429644679185003,0,1800,1.42,0.94,,,,,,,0.2055775225162506,0.13650568351149558,0.2,-1.5993489861488341,-0.010786728281527758,0.001,0.02032948,0.01830369234085083,0.06020130589604378,25
1800,,,,,,,-0.30672572,0,2.67,2725,6,0.72,,,,,,,,,,
