eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
1.22,0.96,300,0,99,-0.05136234092526138,300,,,,,,,,,,,,,,,,
,,300,,,,,-0.506971581632653,0,446,1,0.6020408163265306,3.0510204081632653,,,,,,,,,,
1.38,0.94,600,0,199,-0.07113978743553162,600,,,,,,,0.02050199,0.2,0.001,5,-1.9370989441871642,-0.02398911698255688,-0.27741265296936035,0.17652699053287507,0.5457449555397034,0.05272626504302025
,,600,,,,,-0.45765248,0,899,2,0.64,2.97,,,,,,,,,,
1.22,0.96,900,0,309,-0.051394872297532854,900,,,,,,,0.024576651,0.2,0.001,10,-1.900353491306305,-0.028414387768134475,-0.08438777923583984,0.1423650562763214,0.25122287422418593,0.024430561810731888
,,900,,,,,-0.44864231,0,1303,3,0.64,2.75,,,,,,,,,,
1.34,0.96,1200,0,417,-0.05304982950910926,1200,,,,,,,0.018578447,0.2,0.001,15,-1.8289828419685363,-0.017255962919443847,0.04554164409637451,0.14073153510689734,0.23214136064052582,0.05179988965392113
,,1200,,,,,-0.35713972999999993,0,1710,4,0.65,2.8,,,,,,,,,,
1.2,0.98,1500,0,533,-0.0293663148349151,1500,,,,,,,0.022134423,0.2,0.001,20,-1.767399251461029,-0.014090321026742458,-0.03653442859649658,0.14754971563816072,0.2175242394208908,0.11415275186300278
,,1500,,,,,-0.38342926,0,2119,5,0.71,2.48,,,,,,,,,,
1.26,0.96,1800,0,653,-0.05138227450661361,1800,,,,,,,0.03702513,0.2,0.001,25,-1.5979249238967896,-0.04154809941537678,0.12055361270904541,0.3071732982993126,0.25913632959127425,0.03901702165603638
,,1800,,,,,-0.33753081,0,2542,6,0.72,2.53,,,,,,,,,,
1.2,0.98,2100,0,792,-0.03017917280085385,2100,,,,,,,0.023032315,0.2,0.001,30,-1.3958345174789428,-0.017352961503274856,0.1339687705039978,0.09506392255425453,0.19660593271255494,0.007649105042219162
,,2100,,,,,-0.24479824,0,2994,7,0.79,2.2,,,,,,,,,,
