env/completion_counter,eval/mean_ep_length,eval/mean_reward,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/success_rate,time/fps,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
0,1.32,-0.05358789275866002,300,0.96,300,101,,,,,,,,,,,,,,,,
,,,,,300,,-0.48414649,2.96,1,458,0.61,0,,,,,,,,,,
0,1.34,-0.07084544943179935,600,0.94,600,210,,,,,,,-0.35788846015930176,-1.9403789639472961,0.2,5,0.08224431872367859,0.36575439795851705,0.013864906,0.001,-0.019387743156403302,0.029982801526784897
,,,,,600,,-0.38824554999999994,2.74,2,864,0.67,0,,,,,,,,,,
0,1.3,-0.02964378739707172,900,0.98,900,309,,,,,,,-0.0026868581771850586,-1.9128259658813476,0.2,10,0.03618607819080353,0.2693870335817337,0.010279657,0.001,-0.006600835989229381,0.10621076077222824
,,,,,900,,-0.42391608000000003,3.03,3,1296,0.65,0,,,,,,,,,,
0,1.34,-0.07220853220205754,1200,0.94,1200,433,,,,,,,-0.07807230949401855,-1.875276255607605,0.2,15,0.11395596563816071,0.26009500324726104,0.015794355,0.001,-0.01839245338924229,0.05452959984540939
,,,,,1200,,-0.26809756,2.46,4,1707,0.75,0,,,,,,,,,,
0,1.5,-0.11269838761538267,1500,0.9,1500,551,,,,,,,0.12209838628768921,-1.8422619819641113,0.2,20,0.04477982968091965,0.20066493302583693,0.009180853,0.001,-0.00914156106300652,0.06885487586259842
,,,,,1500,,-0.3441344,2.56,5,2145,0.72,0,,,,,,,,,,
0,1.26,-0.02946846103295684,1800,0.98,1800,667,,,,,,,0.17404097318649292,-1.762150025367737,0.2,25,0.13125,0.19716930836439134,0.014658822,0.001,-0.009894613246433436,0.049738410860300064
,,,,,1800,,-0.35104422,2.49,6,2582,0.68,0,,,,,,,,,,
0,1.56,-0.09475803232286126,2100,0.88,2100,782,,,,,,,0.04077410697937012,-1.7639452457427978,0.2,30,0.027485795319080353,0.22129228115081787,0.006940183,0.001,-0.009309622342698276,0.055851563811302185
,,,,,2100,,-0.3153173600000001,2.63,7,3017,0.71,0,,,,,,,,,,
0,1.08,-0.007521802275441587,2400,1.0,2400,893,,,,,,,0.14927750825881958,-1.65916405916214,0.2,35,0.29169033765792846,0.19147004634141923,0.028115615,0.001,-0.01644753715954721,0.05326350778341293
,,,,,2400,,-0.3123051,2.74,8,3447,0.73,0,,,,,,,,,,
0,1.36,-0.03183572305832058,2700,0.96,2700,1025,,,,,,,0.10315006971359253,-1.5778358817100524,0.2,40,0.03746448904275894,0.17822665274143218,0.009082919,0.001,-0.005431691696867347,0.06277809292078018
,,,,,2700,,-0.2860701600000001,2.33,9,3871,0.75,0,,,,,,,,,,
0,1.36,-0.09323282656259835,3000,0.92,3000,1162,,,,,,,0.11790508031845093,-1.4616396307945252,0.2,45,0.013920454680919648,0.2046959102153778,0.0064085876,0.001,-0.00539750731550157,0.055901844054460526
,,,,,3000,,-0.28823186,2.25,10,4311,0.78,0,,,,,,,,,,
0,1.18,-0.05931212933268398,3300,0.96,3300,1302,,,,,,,0.17888587713241577,-1.3120852828025817,0.2,50,0.06793323904275894,0.17487211674451827,0.010611097,0.001,-0.002241487678838894,0.07689689099788666
,,,,,3300,,-0.25641465,2.24,11,4738,0.79,0,,,,,,,,,,
0,1.28,-0.049918444799259304,3600,0.96,3600,1434,,,,,,,0.209489643573761,-1.2117822647094727,0.2,55,0.04900568127632141,0.16009839549660682,0.010282429,0.001,-0.007992091367486864,0.04913007467985153
,,,,,3600,,-0.23271312000000002,2.21,12,5192,0.8,0,,,,,,,,,,
0,1.7,-0.11583789584226906,3900,0.88,3900,1570,,,,,,,0.17427676916122437,-1.0545193433761597,0.2,60,0.031321022659540176,0.21722663342952728,0.0058701136,0.001,-0.004162486054701731,0.09818607568740845
,,,,,3900,,-0.30911639,2.3,13,5653,0.74,0,,,,,,,,,,
0,1.78,-0.11645507955458015,4200,0.88,4200,1722,,,,,,,0.1538953185081482,-0.9891782939434052,0.2,65,0.026065340638160704,0.21117684692144395,0.0073411786,0.001,-0.005381923971617653,0.05360300838947296
