env/completion_counter,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,env/n_steps,env/current_idx,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/learning_rate,train/approx_kl
0,300,0.78,1.6,-0.15643094594590365,300,135,,,,,,,,,,,,,,,,
,300,,,,,,0,1,0.45,476,-0.58316356,2.23,,,,,,,,,,
0,600,0.82,1.46,-0.13623521495610474,600,271,,,,,,,-1.9367343926429748,0.2,-0.26073217391967773,0.1983522729575634,10,0.12007665541023016,-0.06335387591272593,-0.1212904155254364,0.001,0.024299849
,600,,,,,,0,2,0.42,926,-0.53670168,2.24,,,,,,,,,,
0,900,0.9,1.24,-0.07152682734653354,900,411,,,,,,,-1.9126889252662658,0.2,-0.1988811492919922,0.3646590894460678,20,0.10765453211963177,-0.08828138417098672,-0.13862039148807526,0.001,0.03693264
,900,,,,,,0,3,0.5,1358,-0.5155776,2.1,,,,,,,,,,
0,1200,0.94,1.2,-0.07011093470267951,1200,556,,,,,,,-1.8711852097511292,0.2,-0.038452744483947754,0.4016477258503437,30,0.10914155289530754,-0.08801226616371423,-0.13475677371025085,0.001,0.04183017
,1200,,,,,,0,4,0.54,1776,-0.4710915,2.06,,,,,,,,,,
0,1500,0.88,1.3,-0.05109115960076451,1500,697,,,,,,,-1.8171953892707824,0.2,-0.08758366107940674,0.4947443190217018,40,0.11919821474701166,-0.10570836417376996,-0.1384541541337967,0.001,0.06022497
,1500,,,,,,0,5,0.52,2209,-0.46492363999999986,2.04,,,,,,,,,,
0,1800,0.9,1.24,-0.09108602700755,1800,835,,,,,,,-1.773444619178772,0.2,-0.19012749195098877,0.4347727265954018,50,0.1212180258333683,-0.09996214950457215,-0.13367871940135956,0.001,0.056782424
,1800,,,,,,0,6,0.5,2656,-0.5090695399999999,2.13,,,,,,,,,,
0,2100,0.84,1.34,-0.17059464351274073,2100,991,,,,,,,-1.7096765661239623,0.2,-0.16685736179351807,0.4653409093618393,60,0.10774168223142624,-0.09694604899734259,-0.13193632662296295,0.001,0.050858993
,2100,,,,,,0,7,0.55,3108,-0.43060672000000005,2.03,,,,,,,,,,
0,2400,0.96,1.08,-0.049199417675845326,2400,1138,,,,,,,-1.5836782598495482,0.2,-0.26027631759643555,0.49309659004211426,70,0.13214875563979148,-0.09495063495822251,-0.1355588734149933,0.001,0.05720532
,2400,,,,,,0,8,0.51,3559,-0.49106488000000004,2.05,,,,,,,,,,
0,2700,0.82,1.42,-0.1713573993789032,2700,1299,,,,,,,-1.488453414440155,0.2,-0.1371556520462036,0.5096022719144822,80,0.11451015923172235,-0.09808176150545478,-0.13302956521511078,0.001,0.07515305
,2700,,,,,,0,9,0.67,4007,-0.27207419,1.8,,,,,,,,,,
0,3000,0.86,1.36,-0.13719787458889188,3000,1459,,,,,,,-1.4368840980529785,0.2,-0.020389676094055176,0.42426136285066607,90,0.11337321523576975,-0.08850772298872471,-0.13133381307125092,0.001,0.054698784
,3000,,,,,,0,10,0.61,4449,-0.38123790999999996,1.88,,,,,,,,,,
0,3300,0.92,1.22,-0.04985929583199322,3300,1614,,,,,,,-1.3390744733810425,0.2,-0.11308693885803223,0.3892329552769661,100,0.13286637268960477,-0.0801485369168222,-0.08280545473098755,0.001,0.0618648
,3300,,,,,,0,11,0.61,4903,-0.42340124,1.93,,,,,,,,,,
0,3600,0.84,1.38,-0.17194629348348825,3600,1791,,,,,,,-1.264598777294159,0.2,-0.012340784072875977,0.44181818097829817,110,0.10664159024134279,-0.08373083716258406,-0.12159688025712967,0.001,0.06463142
,3600,,,,,,0,12,0.74,5365,-0.19086267000000004,1.63,,,,,,,,,,
0,3900,0.88,1.3,-0.08982901374809443,3900,1955,,,,,,,-1.213168077468872,0.2,0.024529635906219482,0.38775568187236786,120,0.11595036990940571,-0.07928279958665371,-0.09011224657297134,0.001,0.06528549
,3900,,,,,,0,13,0.65,5815,-0.32763502999999994,1.8,,,,,,,,,,
0,4200,0.88,1.32,-0.11175160403363407,4200,2118,,,,,,,-1.1963726425170897,0.2,-0.06961512565612793,0.40085227221250536,130,0.1068747665733099,-0.07750699762254953,-0.11229673773050308,0.001,0.0895672
,4200,,,,,,0,14,0.65,6287,-0.29916681999999994,1.81,,,,,,,,,,
0,4500,0.84,1.34,-0.13235632678493858,4500,2291,,,,,,,-1.185775111913681,0.2,0.0026862025260925293,0.3883806812763214,140,0.10283836513757706,-0.07761938665062189,-0.09298595041036606,0.001,0.05998262
,4500,,,,,,0,15,0.66,6781,-0.30791833,1.72,,,,,,,,,,
0,4800,0.9,1.24,-0.06930375079624355,4800,2463,,,,,,,-1.1176131796836852,0.2,0.21915203332901,0.37965909093618394,150,0.08530692452564835,-0.07741477791685611,-0.10584992170333862,0.001,0.07183775
,4800,,,,,,0,16,0.69,7268,-0.32583814000000005,1.72,,,,,,,,,,
0,5100,0.92,1.22,-0.07066142476629465,5100,2618,,,,,,,-0.9894512343406677,0.2,-0.0328981876373291,0.3418465903401375,160,0.11297629557549954,-0.0717968407087028,-0.09487270563840866,0.001,0.066122785
,5100,,,,,,0,17,0.55,7770,-0.41328381999999997,2.01,,,,,,,,,,
0,5400,0.88,1.32,-0.09077135367318988,5400,2796,,,,,,,-0.9136164319515229,0.2,-0.05222034454345703,0.3231534095108509,170,0.1218249937146902,-0.06425721772015094,-0.07631272077560425,0.001,0.06851138
,5400,,,,,,0,18,0.67,8228,-0.329599,1.74,,,,,,,,,,
0,5700,0.96,1.12,-0.0331913859443739,5700,2969,,,,,,,-0.8165342485904694,0.2,-0.07295656204223633,0.298664773106575,180,0.1089195479080081,-0.06111978617496788,-0.059398047626018524,0.001,0.075053126
,5700,,,,,,0,19,0.72,8687,-0.25849043,1.64,,,,,,,,,,
0,6000,0.86,1.34,-0.11142081839032471,6000,3146,,,,,,,-0.8360850834846496,0.2,-0.12389647960662842,0.34267045438289645,190,0.11512347776442766,-0.06293166037648916,-0.07199714332818985,0.001,0.08740159
,6000,,,,,,0,20,0.72,9150,-0.24571832000000002,1.65,,,,,,,,,,
0,6300,0.76,1.56,-0.17672102133277803,6300,3318,,,,,,,-0.7454887771606445,0.2,0.059384047985076904,0.3054261367022991,200,0.09188757918775081,-0.062076970227062704,-0.10392280668020248,0.001,0.089745395
,6300,,,,,,0,21,0.66,9631,-0.28970906999999996,1.8,,,,,,,,,,
0,6600,0.94,1.18,-0.06885431721340865,6600,3494,,,,,,,-0.7743431329727173,0.2,0.01823878288269043,0.2828693179786205,210,0.10883564721792936,-0.06183334176428616,-0.07975752651691437,0.001,0.07564331
,6600,,,,,,0,22,0.67,10100,-0.33447452,1.7,,,,,,,,,,
0,6900,0.86,1.34,-0.13430571695789695,6900,3664,,,,,,,-0.6862252515554428,0.2,0.06964510679244995,0.24991477325558661,220,0.1166595845669508,-0.04597389318048954,-0.07102277874946594,0.001,0.04947093
,6900,,,,,,0,23,0.67,10575,-0.30708510999999994,1.74,,,,,,,,,,
0,7200,0.96,1.18,-0.05002470703795552,7200,3839,,,,,,,-0.6690861046314239,0.2,-0.0351337194442749,0.2809090918302536,230,0.10509718511253595,-0.05381112135946751,-0.053990669548511505,0.001,0.07741554
,7200,,,,,,0,24,0.75,11046,-0.18835158000000005,1.6,,,,,,,,,,
0,7500,0.92,1.28,-0.049377754982560876,7500,4030,,,,,,,-0.5735317897796631,0.2,-0.0791463851928711,0.21474431782960893,240,0.10000001061707735,-0.044815172106027604,-0.06441182643175125,0.001,0.06735985
,7500,,,,,,0,25,0.77,11540,-0.21749533,1.52,,,,,,,,,,
0,7800,0.88,1.32,-0.13238686138764025,7800,4217,,,,,,,-0.5922623687982559,0.2,-0.08900666236877441,0.23534090906381608,250,0.11687633931636811,-0.053155055330134926,-0.04551365226507187,0.001,0.078047246
,7800,,,,,,0,26,0.74,11979,-0.22742390000000004,1.64,,,,,,,,,,
0,8100,0.88,1.26,-0.09029127629473806,8100,4408,,,,,,,-0.6088403904438019,0.2,-0.02078425884246826,0.22269886374473571,260,0.09967632047832012,-0.054993722289800644,-0.05890054255723953,0.001,0.070713565
,8100,,,,,,0,27,0.76,12438,-0.22945410999999996,1.57,,,,,,,,,,
0,8400,0.96,1.1,-0.047712257159873844,8400,4583,,,,,,,-0.6162524574995041,0.2,-0.22129976749420166,0.2578977279365063,270,0.1216550199687481,-0.05823359622620046,-0.07040852308273315,0.001,0.07672929
,8400,,,,,,0,28,0.72,12868,-0.30115168,1.71,,,,,,,,,,
0,8700,0.98,1.1,-0.028347134282812478,8700,4763,,,,,,,-0.6924658626317978,0.2,-0.08631813526153564,0.2686931812763214,280,0.1148022722825408,-0.05643664196133614,-0.09386229515075684,0.001,0.07012313
,8700,,,,,,0,29,0.71,13317,-0.28733720000000007,1.64,,,,,,,,,,
0,9000,0.92,1.22,-0.04857318943366409,9000,4933,,,,,,,-0.698625510931015,0.2,-0.17231833934783936,0.26357954561710356,290,0.11877076514065266,-0.05756347936578095,-0.05953415110707283,0.001,0.07195654
,9000,,,,,,0,30,0.69,13778,-0.31235628,1.75,,,,,,,,,,
0,9300,0.86,1.42,-0.13275441591627896,9300,5113,,,,,,,-0.7208575171232223,0.2,0.06533974409103394,0.3109943181276321,300,0.11137595828622579,-0.05888290209695697,-0.06868641078472137,0.001,0.087337896
,9300,,,,,,0,31,0.69,14251,-0.27770946999999996,1.7,,,,,,,,,,
0,9600,0.92,1.3,-0.09202580356039107,9600,5288,,,,,,,-0.6207037895917893,0.2,0.038964688777923584,0.28374999940395357,310,0.0993673476204276,-0.05523407714441419,-0.07143496721982956,0.001,0.07999609
,9600,,,,,,0,32,0.65,14713,-0.32081979,1.8,,,,,,,,,,
0,9900,0.86,1.36,-0.15373529566917568,9900,5473,,,,,,,-0.7490757656097412,0.2,0.013343453407287598,0.3066761359572411,320,0.11590200286358594,-0.06819105735514314,-0.11701244115829468,0.001,0.07971452
,9900,,,,,,0,33,0.7,15181,-0.31804036999999996,1.64,,,,,,,,,,
0,10200,0.92,1.26,-0.07210113024804742,10200,5659,,,,,,,-0.605278183221817,0.2,0.000858008861541748,0.2522727276384831,330,0.11719859309494496,-0.05831263329833746,-0.04483359307050705,0.001,0.062217645
,10200,,,,,,0,34,0.72,15646,-0.25198919,1.64,,,,,,,,,,
0,10500,0.82,1.42,-0.15361265038140118,10500,5848,,,,,,,-0.507656444311142,0.2,-0.08755195140838623,0.25369318187236783,340,0.10390723675489426,-0.04852661577053368,-0.08207672834396362,0.001,0.07003115
,10500,,,,,,0,35,0.77,16100,-0.23655204000000002,1.56,,,,,,,,,,
0,10800,0.94,1.18,-0.0682884660968557,10800,6035,,,,,,,-0.5430133140087128,0.2,-0.01301121711730957,0.23840909108519553,350,0.10125645121559501,-0.04319007040932774,-0.04341394454240799,0.001,0.07778654
,10800,,,,,,0,36,0.71,16580,-0.24289084,1.62,,,,,,,,,,
0,11100,0.92,1.22,-0.05135933818295598,11100,6234,,,,,,,-0.647037400007248,0.2,0.0015040040016174316,0.24596590921282768,360,0.10627140354365111,-0.05100983168929815,-0.03832948952913284,0.001,0.0580995
,11100,,,,,,0,37,0.8,17053,-0.19739744,1.45,,,,,,,,,,
0,11400,0.9,1.28,-0.09476173060480506,11400,6413,,,,,,,-0.6037602454423905,0.2,-0.02582573890686035,0.22193181827664377,370,0.13000760428607464,-0.046919950004667046,-0.054012082517147064,0.001,0.0722359
,11400,,,,,,0,38,0.74,17541,-0.22110586,1.62,,,,,,,,,,
0,11700,0.92,1.18,-0.06922858552075922,11700,6590,,,,,,,-0.6411031430959702,0.2,0.08674460649490356,0.2627840907871723,380,0.10042473722249269,-0.05107692064717412,-0.07648345082998276,0.001,0.07209202
,11700,,,,,,0,39,0.76,17987,-0.24098006000000002,1.58,,,,,,,,,,
0,12000,0.88,1.26,-0.07040328528732061,12000,6773,,,,,,,-0.635736837387085,0.2,-0.010036468505859375,0.31230113610625265,390,0.09304586831480265,-0.054792154310271145,-0.10045059770345688,0.001,0.12283651
,12000,,,,,,0,40,0.66,18461,-0.34015959000000007,1.72,,,,,,,,,,
0,12300,0.88,1.3,-0.11057136168237776,12300,6950,,,,,,,-0.612345568537712,0.2,-0.07526552677154541,0.2553409092128277,400,0.12209728740155697,-0.05342182391323149,-0.05087282881140709,0.001,0.08798916
,12300,,,,,,0,41,0.68,18905,-0.32740910999999995,1.74,,,,,,,,,,
0,12600,0.92,1.22,-0.04967448618263006,12600,7132,,,,,,,-0.7398482513427734,0.2,-0.07992911338806152,0.27161931842565534,410,0.12079177498817444,-0.059885233999229966,-0.06800299882888794,0.001,0.06783287
,12600,,,,,,0,42,0.67,19364,-0.31811387,1.73,,,,,,,,,,
0,12900,0.9,1.22,-0.09010140723083168,12900,7310,,,,,,,-0.7156060528755188,0.2,-0.020233988761901855,0.32377840965986254,420,0.11478899288922548,-0.056962221907451746,-0.08124604821205139,0.001,0.09194223
,12900,,,,,,0,43,0.7,19825,-0.28589016000000006,1.7,,,,,,,,,,
0,13200,0.82,1.44,-0.17787618574686348,13200,7492,,,,,,,-0.7068691217899322,0.2,0.12871849536895752,0.3096875010430813,430,0.09248656202107668,-0.06158160493709147,-0.08159251511096954,0.001,0.10320612
,13200,,,,,,0,44,0.78,20298,-0.21374643000000002,1.55,,,,,,,,,,
0,13500,0.92,1.24,-0.0890723607642576,13500,7669,,,,,,,-0.6376423001289367,0.2,0.12723392248153687,0.2923295447230339,440,0.09406932789832353,-0.06525472519919276,-0.08208395540714264,0.001,0.10600366
,13500,,,,,,0,45,0.73,20748,-0.27325311,1.62,,,,,,,,,,
0,13800,0.92,1.16,-0.06969404975418002,13800,7840,,,,,,,-0.6577749037742615,0.2,0.07171440124511719,0.24576704502105712,450,0.11154000863432884,-0.04460139729548246,-0.030726656317710876,0.001,0.067219704
,13800,,,,,,0,46,0.6,21200,-0.37437834999999997,1.87,,,,,,,,,,
0,14100,1.0,1.1,-0.007775182970799505,14100,8020,,,,,,,-0.7250957435369492,0.2,-0.03631865978240967,0.3066193187236786,460,0.11964315123856067,-0.058910627411678435,-0.09154123067855835,0.001,0.13112077
