env/n_steps,env/completion_counter,eval/success_rate,time/total_timesteps,env/current_idx,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/n_updates,train/loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_range
300,0,0.8,300,143,1.42,-0.21429742250591516,,,,,,,,,,,,,,,,
,,,300,,,,2.11,0,1,-0.46916199999999997,0.53,463,,,,,,,,,,
600,0,0.92,600,278,1.26,-0.09222129447385669,,,,,,,10,-0.11677145212888718,-0.23978745937347412,0.20786931842565537,-0.060456250589340926,0.018103786,-1.935981605052948,0.001,0.13704207744449376,0.2
,,,600,,,,2.27,0,2,-0.54943173,0.41,879,,,,,,,,,,
900,0,0.9,900,422,1.22,-0.09189837358426303,,,,,,,20,-0.13334545493125916,-0.15093016624450684,0.36786931797862055,-0.08459096178412437,0.035017736,-1.9096423316001891,0.001,0.1162265531718731,0.2
,,,900,,,,2.04,0,3,-0.44976767,0.56,1302,,,,,,,,,,
1200,0,0.96,1200,568,1.16,-0.04929593185894191,,,,,,,30,-0.11989124864339828,-0.24400782585144043,0.45721590787172317,-0.09351187121123075,0.04413744,-1.8498905038833617,0.001,0.1224753936380148,0.2
,,,1200,,,,1.99,0,4,-0.44000775000000003,0.58,1709,,,,,,,,,,
1500,0,0.88,1500,706,1.3,-0.11389651434961706,,,,,,,40,-0.12780097126960754,-0.11858391761779785,0.4019318187236786,-0.09107351629063487,0.04464995,-1.810095384120941,0.001,0.1130834662541747,0.2
,,,1500,,,,2.18,0,5,-0.5376192,0.46,2134,,,,,,,,,,
1800,0,0.9,1800,856,1.28,-0.05022382372058928,,,,,,,50,-0.12494589388370514,-0.21507811546325684,0.4413636361062527,-0.09789828961715102,0.04413677,-1.765284948348999,0.001,0.11764071006327867,0.2
,,,1800,,,,2.0,0,6,-0.4260736600000001,0.55,2572,,,,,,,,,,
2100,0,0.9,2100,1004,1.24,-0.07152420327998697,,,,,,,60,-0.13347044587135315,-0.09207653999328613,0.5412215918302536,-0.10595731750130653,0.05237176,-1.687045657634735,0.001,0.10985432535409928,0.2
,,,2100,,,,1.99,0,7,-0.36833112999999995,0.56,3000,,,,,,,,,,
2400,0,0.88,2400,1156,1.3,-0.13409071897156535,,,,,,,70,-0.13989578187465668,-0.1513838768005371,0.5167329542338848,-0.09220128580927849,0.05866582,-1.5952496337890625,0.001,0.12730963170528412,0.2
,,,2400,,,,1.95,0,8,-0.385377,0.59,3410,,,,,,,,,,
2700,0,0.88,2700,1299,1.32,-0.09038160307332874,,,,,,,80,-0.1240987628698349,-0.15706360340118408,0.4420738634467125,-0.09068755637854338,0.05339107,-1.5487768268585205,0.001,0.10814804084599018,0.2
,,,2700,,,,2.12,0,9,-0.43798992,0.55,3820,,,,,,,,,,
3000,0,0.86,3000,1461,1.36,-0.0919442181661725,,,,,,,90,-0.13915187120437622,-0.13176000118255615,0.41690340980887414,-0.09504297088831663,0.06911839,-1.4902267003059386,0.001,0.10310174945741891,0.2
