env/n_steps,eval/mean_reward,eval/success_rate,eval/mean_ep_length,time/total_timesteps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,time/fps,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl
300,-0.1304156011994928,0.88,1.24,300,144,0,,,,,,,,,,,,,,,,
,,,,300,,,-0.5389814400000001,0,1,0.46,465,2.17,,,,,,,,,,
600,-0.1333902554679662,0.8,1.46,600,285,0,,,,,,,0.08669228522107005,-0.06832131464034319,-0.11651980876922607,-1.9353592348098756,0.2,10,-0.42657434940338135,0.001,0.2407102280855179,0.02664027
,,,,600,,,-0.4734841800000001,0,2,0.53,917,2.07,,,,,,,,,,
900,-0.09511529043782502,0.88,1.3,900,422,0,,,,,,,0.10283053062856197,-0.08392538767307997,-0.14067091047763824,-1.9028926062583924,0.2,20,-0.08691024780273438,0.001,0.3620170457661152,0.034362957
,,,,900,,,-0.54325681,0,3,0.47,1339,2.2,,,,,,,,,,
1200,-0.13456816429272295,0.86,1.3,1200,570,0,,,,,,,0.11586336553096771,-0.07844493317883462,-0.10742251574993134,-1.8764220976829529,0.2,30,-0.21789312362670898,0.001,0.29687500089406965,0.03270448
,,,,1200,,,-0.45595807999999993,0,4,0.51,1762,2.11,,,,,,,,,,
1500,-0.06966058102436364,0.9,1.2,1500,714,0,,,,,,,0.1211434667184949,-0.09583433907479048,-0.12503117322921753,-1.8255939769744873,0.2,40,-0.22468698024749756,0.001,0.43698863506317137,0.044977017
,,,,1500,,,-0.49026780999999997,0,5,0.52,2230,2.06,,,,,,,,,,
1800,-0.11121050771791488,0.86,1.36,1800,855,0,,,,,,,0.10627677034586668,-0.09744300086982548,-0.14265167713165283,-1.7935450983047485,0.2,50,-0.046175479888916016,0.001,0.3943181821703911,0.047509708
,,,,1800,,,-0.44147031000000003,0,6,0.51,2639,2.12,,,,,,,,,,
2100,-0.0882368122972548,0.92,1.18,2100,1003,0,,,,,,,0.10818392369896174,-0.09717238378711045,-0.1359609067440033,-1.7480270338058472,0.2,60,-0.11084163188934326,0.001,0.4691477271914482,0.05147671
,,,,2100,,,-0.34829931000000003,0,7,0.56,3051,2.05,,,,,,,,,,
2400,-0.08980183859355748,0.92,1.16,2400,1156,0,,,,,,,0.10275637470185757,-0.09841270805336536,-0.14626526832580566,-1.7244076013565064,0.2,70,-0.10165834426879883,0.001,0.46164772659540176,0.05659003
,,,,2400,,,-0.36690916,0,8,0.61,3488,1.99,,,,,,,,,,
2700,-0.11189580522477627,0.88,1.28,2700,1305,0,,,,,,,0.10494861606508493,-0.09683674905914813,-0.12278317660093307,-1.6598727250099181,0.2,80,0.0426519513130188,0.001,0.4397159081697464,0.05246542
,,,,2700,,,-0.43088452999999993,0,9,0.57,3899,2.01,,,,,,,,,,
3000,-0.0903034756006673,0.92,1.24,3000,1454,0,,,,,,,0.09965314943343401,-0.09363473733887076,-0.13464640080928802,-1.6402829098701477,0.2,90,0.04530864953994751,0.001,0.4273295447230339,0.057559777
,,,,3000,,,-0.3540327,0,10,0.62,4337,1.94,,,,,,,,,,
