env/n_steps,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/current_idx,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,time/iterations,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction
300,0.88,-0.12260472611524165,1.8,111,0,300,,,,,,,,,,,,,,,,
,,,,,,300,509,-0.3897637100000001,0,0.67,1,2.75,,,,,,,,,,
600,0.9,-0.11683954859618098,1.7,208,0,600,,,,,,,10,0.001,-0.09705889225006104,0.2,-1.9376480269432068,-0.05820050854235888,0.14330040622502566,0.027611772,-0.47150492668151855,0.17872159138321878
,,,,,,600,966,-0.5226132700000001,0,0.59,2,3.01,,,,,,,,,,
900,0.84,-0.16634821192361415,1.92,308,0,900,,,,,,,20,0.001,-0.10364725440740585,0.2,-1.9120015931129455,-0.08675588801503181,0.10509789556264877,0.0324191,-0.12611663341522217,0.358636362850666
,,,,,,900,1442,-0.45885371999999996,0,0.62,3,3.04,,,,,,,,,,
1200,0.9,-0.11767494853585958,1.64,406,0,1200,,,,,,,30,0.001,-0.12932264804840088,0.2,-1.8777149176597596,-0.08281540468335152,0.10857952266931534,0.029222887,-0.1451253890991211,0.3272159096598625
,,,,,,1200,1927,-0.44592182,0,0.6,4,3.08,,,,,,,,,,
1500,0.92,-0.09984623527619987,1.46,503,0,1500,,,,,,,40,0.001,-0.11988401412963867,0.2,-1.8422455382347107,-0.0908197292778641,0.11026480853557587,0.041884713,-0.23662567138671875,0.4127272719144821
,,,,,,1500,2390,-0.36762932,0,0.63,5,3.06,,,,,,,,,,
1800,0.92,-0.09220762856304646,1.44,621,0,1800,,,,,,,50,0.001,-0.13701653480529785,0.2,-1.7908320355415344,-0.08733002834022045,0.09730420798063279,0.0428444,-0.196466326713562,0.4403409093618393
,,,,,,1800,2867,-0.34631060999999996,0,0.73,6,2.54,,,,,,,,,,
2100,0.96,-0.03206100368872285,1.32,730,0,2100,,,,,,,60,0.001,-0.1376921832561493,0.2,-1.7564346480369568,-0.09103524850681424,0.0856678276322782,0.049561873,0.055478036403656006,0.439346589744091
,,,,,,2100,3315,-0.38324101000000005,0,0.67,7,2.81,,,,,,,,,,
2400,0.94,-0.07315772094298154,1.48,829,0,2400,,,,,,,70,0.001,-0.1452166885137558,0.2,-1.7440912127494812,-0.093019665107131,0.11478034108877182,0.045746773,-0.19105112552642822,0.4427840894460678
,,,,,,2400,3770,-0.46239129000000007,0,0.6,8,3.03,,,,,,,,,,
2700,0.86,-0.15433770837727934,1.6,944,0,2700,,,,,,,80,0.001,-0.1286354660987854,0.2,-1.7112764716148376,-0.09584995033219457,0.13291936386376618,0.047433473,-0.36271727085113525,0.43903409004211424
,,,,,,2700,4227,-0.24760248,0,0.75,9,2.51,,,,,,,,,,
3000,0.94,-0.07694675683043897,1.28,1059,0,3000,,,,,,,90,0.001,-0.14273065328598022,0.2,-1.6764205312728881,-0.09688418678939342,0.1440634948760271,0.05067814,-0.24527287483215332,0.46156249910593034
,,,,,,3000,4657,-0.36142602,0,0.71,10,2.6,,,,,,,,,,
3300,0.96,-0.05158050032798201,1.36,1182,0,3300,,,,,,,100,0.001,-0.14399470388889313,0.2,-1.5464937663078309,-0.08681453555589541,0.11553254876285791,0.049557664,0.023129820823669434,0.47582386374473573
,,,,,,3300,5107,-0.28873944000000007,0,0.79,11,2.51,,,,,,,,,,
3600,0.9,-0.1123476887634024,1.48,1294,0,3600,,,,,,,110,0.001,-0.1391971856355667,0.2,-1.4886472988128663,-0.08552731327712536,0.09315455090254546,0.053757012,-0.08957934379577637,0.3660795442759991
,,,,,,3600,5606,-0.26829516000000003,0,0.71,12,2.65,,,,,,,,,,
3900,0.98,-0.029724600408226252,1.22,1411,0,3900,,,,,,,120,0.001,-0.1100708544254303,0.2,-1.466957173347473,-0.08477871958166361,0.09209399115294219,0.04891763,-0.013691544532775879,0.400625
,,,,,,3900,6067,-0.36183116000000004,0,0.71,13,2.63,,,,,,,,,,
4200,0.88,-0.1468390810955316,1.56,1540,0,4200,,,,,,,130,0.001,-0.11704841256141663,0.2,-1.3217362093925475,-0.08916405925527215,0.1042865089699626,0.06099858,0.08190274238586426,0.45951704621315004
,,,,,,4200,6557,-0.28324905,0,0.77,14,2.29,,,,,,,,,,
4500,0.92,-0.09428676126524806,1.44,1667,0,4500,,,,,,,140,0.001,-0.12578901648521423,0.2,-1.1470476603507995,-0.08587840453721583,0.09630197200924158,0.0591397,0.08069884777069092,0.4011363637447357
,,,,,,4500,7042,-0.29324993000000005,0,0.75,15,2.28,,,,,,,,,,
4800,0.96,-0.05243568968959153,1.42,1789,0,4800,,,,,,,150,0.001,-0.11491499096155167,0.2,-1.0946168339252471,-0.08570082718506455,0.13685639657080173,0.06897871,-0.21319448947906494,0.3922443178296089
,,,,,,4800,7529,-0.38184964999999993,0,0.69,16,2.5,,,,,,,,,,
5100,0.92,-0.09897831106558443,1.4,1920,0,5100,,,,,,,160,0.001,-0.09553598612546921,0.2,-1.0748917222023011,-0.07230089753866195,0.10812326434999704,0.0811149,0.12365055084228516,0.35022727251052854
,,,,,,5100,8011,-0.23851066999999998,0,0.79,17,2.3,,,,,,,,,,
5400,0.96,-0.04949740769341588,1.28,2056,0,5400,,,,,,,170,0.001,-0.06098220497369766,0.2,-0.9234275960922241,-0.05987923117354512,0.0971710278466344,0.07166295,0.06773161888122559,0.3280113634467125
,,,,,,5400,8486,-0.21269564,0,0.83,18,2.07,,,,,,,,,,
5700,0.96,-0.05567489677108824,1.42,2189,0,5700,,,,,,,180,0.001,-0.08961731195449829,0.2,-0.8886631429195404,-0.0686069867387414,0.11688745088875294,0.051374275,0.00462716817855835,0.2933238635957241
,,,,,,5700,8947,-0.23770344,0,0.77,19,2.19,,,,,,,,,,
6000,0.96,-0.014419837510213257,1.32,2340,0,6000,,,,,,,190,0.001,-0.051835425198078156,0.2,-0.7625480198860168,-0.05942379485815764,0.12401024036109448,0.051703043,-0.20029115676879883,0.30863636299967767
,,,,,,6000,9404,-0.19320019999999996,0,0.83,20,1.99,,,,,,,,,,
6300,0.94,-0.03321790998801589,1.44,2486,0,6300,,,,,,,200,0.001,-0.08183390647172928,0.2,-0.75752854347229,-0.059013368263840675,0.08738606685772538,0.050313897,-0.11309874057769775,0.26457386374473574
,,,,,,6300,9902,-0.16877734999999996,0,0.86,21,2.0,,,,,,,,,,
6600,0.92,-0.0745461031794548,1.48,2629,0,6600,,,,,,,210,0.001,-0.06373510509729385,0.2,-0.6704507696628571,-0.05957410748116672,0.09489969816058874,0.046121303,0.019298255443572998,0.23772727370262145
,,,,,,6600,10407,-0.24116138000000004,0,0.81,22,2.07,,,,,,,,,,
6900,0.96,-0.03181769110262394,1.34,2760,0,6900,,,,,,,220,0.001,-0.1055593341588974,0.2,-0.7296525645256042,-0.061104022562503815,0.12706766702234745,0.06616105,-0.06052124500274658,0.2577840904891491
,,,,,,6900,10920,-0.28616914,0,0.76,23,2.27,,,,,,,,,,
7200,0.92,-0.05433101803530008,1.56,2903,0,7200,,,,,,,230,0.001,-0.10047546029090881,0.2,-0.6453694176673889,-0.06067770821042359,0.12144131783396006,0.058270074,-0.045105814933776855,0.252954545468092
,,,,,,7200,11435,-0.20455402999999997,0,0.84,24,2.09,,,,,,,,,,
7500,0.92,-0.09712234663777053,1.5,3061,0,7500,,,,,,,240,0.001,-0.08601401746273041,0.2,-0.7238656795024871,-0.057602603379637005,0.09095277532935142,0.055042855,0.05868375301361084,0.25633522793650626
,,,,,,7500,11925,-0.18126287000000002,0,0.85,25,1.93,,,,,,,,,,
7800,0.94,-0.07391898395027965,1.3,3197,0,7800,,,,,,,250,0.001,-0.05310169979929924,0.2,-0.6827093374729156,-0.05871479228138923,0.09961748894304037,0.05255788,0.1574985384941101,0.24968749955296515
,,,,,,7800,12367,-0.25837937,0,0.78,26,2.31,,,,,,,,,,
8100,0.94,-0.0783053788356483,1.44,3346,0,8100,,,,,,,260,0.001,-0.06535088270902634,0.2,-0.6501135754585267,-0.0471193278208375,0.09830435018986464,0.09453049,0.11123818159103394,0.2809374997019768
,,,,,,8100,12815,-0.16984145,0,0.86,27,1.96,,,,,,,,,,
8400,0.98,-0.029438254009000957,1.24,3489,0,8400,,,,,,,270,0.001,-0.058923281729221344,0.2,-0.6539591401815414,-0.04304526537656784,0.11876279193907976,0.04343217,-0.06522548198699951,0.2357386367022991
,,,,,,8400,13286,-0.17895886,0,0.85,28,1.94,,,,,,,,,,
8700,0.98,-0.03046677119564265,1.28,3639,0,8700,,,,,,,280,0.001,-0.062416642904281616,0.2,-0.611138002872467,-0.05108610320836306,0.11080650083720683,0.07517433,0.060148537158966064,0.2597443184256554
,,,,,,8700,13754,-0.21939657999999995,0,0.78,29,2.05,,,,,,,,,,
