eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,env/n_steps,eval/mean_reward,rollout/ep_len_mean,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
1.86,0.86,300,95,0,300,-0.14165654808282852,,,,,,,,,,,,,,,,
,,300,,,,,3.1595744680851063,0,0.6063829787234043,1,546,-0.4852163617021276,,,,,,,,,,
1.58,0.88,600,199,0,600,-0.13485774025321007,,,,,,,-0.11752364039421082,-1.935548939704895,0.032276116,-0.622539758682251,10,0.001,0.23653409153223037,0.2,-0.06774351874599233,0.1224473362788558
,,600,,,,,2.91,0,0.65,2,980,-0.40524252,,,,,,,,,,
1.52,0.9,900,301,0,900,-0.11607656267471611,,,,,,,-0.13282588124275208,-1.9003622126579285,0.029289534,-0.26492929458618164,20,0.001,0.4151136350631714,0.2,-0.08333474405109882,0.11787830553948879
,,900,,,,,2.92,0,0.64,3,1403,-0.47488705,,,,,,,,,,
1.54,0.94,1200,407,0,1200,-0.05740222539752722,,,,,,,-0.11205711960792542,-1.8835685420036317,0.04009248,-0.0032519102096557617,30,0.001,0.36102272748947145,0.2,-0.08593819868285209,0.1124353790283203
,,1200,,,,,2.77,0,0.71,4,1844,-0.36961552,,,,,,,,,,
1.4,0.94,1500,508,0,1500,-0.05589297121856362,,,,,,,-0.1281789094209671,-1.8094937896728516,0.04960283,0.16204506158828735,40,0.001,0.4691761358082294,0.2,-0.10220714771188795,0.07360251046717167
,,1500,,,,,2.98,0,0.64,5,2262,-0.46339047999999994,,,,,,,,,,
1.52,0.9,1800,619,0,1800,-0.08035680552013219,,,,,,,-0.1403741091489792,-1.7666767096519471,0.06149428,-0.08017730712890625,50,0.001,0.4552272725105286,0.2,-0.10136377989780158,0.09704599671065807
,,1800,,,,,2.74,0,0.69,6,2687,-0.39804831000000007,,,,,,,,,,
1.6,0.96,2100,718,0,2100,-0.05531633810140193,,,,,,,-0.1403118371963501,-1.7141596722602843,0.06327049,0.11751216650009155,60,0.001,0.4628409093618393,0.2,-0.09828898031264544,0.09690642423927784
,,2100,,,,,3.04,0,0.6,7,3136,-0.43689375000000014,,,,,,,,,,
2.1,0.8,2400,822,0,2400,-0.2252155402628705,,,,,,,-0.13156399130821228,-1.7334696769714355,0.047678646,0.22847718000411987,70,0.001,0.4062784093618393,0.2,-0.09074808232486248,0.09685319066047668
,,2400,,,,,2.91,0,0.65,8,3594,-0.4420253999999999,,,,,,,,,,
1.76,0.84,2700,929,0,2700,-0.18404781989287586,,,,,,,-0.14140884578227997,-1.6820152950286866,0.06852442,-0.041396260261535645,80,0.001,0.5167613631486893,0.2,-0.10585345329716801,0.11489756172522902
,,2700,,,,,2.79,0,0.73,9,4038,-0.35624365999999996,,,,,,,,,,
1.58,0.9,3000,1038,0,3000,-0.11490313172806055,,,,,,,-0.1302848756313324,-1.6297475147247313,0.06351498,-0.11225748062133789,90,0.001,0.4588636344671249,0.2,-0.10116406355984509,0.1028604906052351
,,3000,,,,,2.81,0,0.72,10,4483,-0.31201889,,,,,,,,,,
1.36,0.96,3300,1143,0,3300,-0.06017493443097919,,,,,,,-0.11538617312908173,-1.5818888449668884,0.06061436,-0.1982792615890503,100,0.001,0.4418750001490116,0.2,-0.09371817611623555,0.1004152899980545
,,3300,,,,,2.93,0,0.66,11,4923,-0.37027368000000005,,,,,,,,,,
1.8,0.84,3600,1257,0,3600,-0.1418676588591188,,,,,,,-0.1134943962097168,-1.5453378438949585,0.07463237,-0.4000025987625122,110,0.001,0.4942613631486893,0.2,-0.10136318999342621,0.11514869943261147
,,3600,,,,,2.65,0,0.76,12,5386,-0.31930518999999996,,,,,,,,,,
1.72,0.92,3900,1376,0,3900,-0.07915812323335558,,,,,,,-0.12835901975631714,-1.5142201614379882,0.068364,-0.18404090404510498,120,0.001,0.47352272748947144,0.2,-0.09979054134339094,0.09485694523900748
,,3900,,,,,2.63,0,0.74,13,5839,-0.32504348000000005,,,,,,,,,,
1.3,0.94,4200,1489,0,4200,-0.07132953869644552,,,,,,,-0.10081018507480621,-1.4292609596252441,0.06731042,-0.11895096302032471,130,0.001,0.455198862850666,0.2,-0.08689551148563623,0.10393490748479962
,,4200,,,,,2.58,0,0.74,14,6260,-0.32096020000000003,,,,,,,,,,
1.54,0.94,4500,1603,0,4500,-0.038813319304026664,,,,,,,-0.14010711014270782,-1.3362059664726258,0.06841044,0.033672451972961426,140,0.001,0.41772727280855176,0.2,-0.08313586842268705,0.0990963045321405
,,4500,,,,,2.62,0,0.78,15,6712,-0.32743959000000006,,,,,,,,,,
1.48,0.94,4800,1727,0,4800,-0.05256801644805819,,,,,,,-0.11820627748966217,-1.3458922696113587,0.07772363,0.12927448749542236,150,0.001,0.4720170450210571,0.2,-0.08248957835137843,0.08242651918902993
,,4800,,,,,2.41,0,0.84,16,7144,-0.22913102000000002,,,,,,,,,,
1.48,0.92,5100,1859,0,5100,-0.09551412878092379,,,,,,,-0.09582962095737457,-1.21642662525177,0.09553312,0.04864543676376343,160,0.001,0.4082102279365063,0.2,-0.08344447655603289,0.0808072586543858
