eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,env/n_steps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/clip_fraction
0.82,106,0,300,-0.18068081486038864,1.86,300,,,,,,,,,,,,,,,,
,,,300,,,,0.66,2.83,473,0,1,-0.44884375000000004,,,,,,,,,,
0.98,217,0,600,-0.008019890645518899,1.16,600,,,,,,,-1.9339068269729613,0.10019007666036486,10,-0.22387611865997314,-0.06138426648452878,0.031738393,0.2,-0.12643638253211975,0.001,0.23110795468091966
,,,600,,,,0.65,2.82,896,0,2,-0.39031877000000004,,,,,,,,,,
0.96,325,0,900,-0.03174996624235064,1.32,900,,,,,,,-1.9016768860816955,0.09423699263483286,20,-0.10412156581878662,-0.0840884605422616,0.03597223,0.2,-0.13982835412025452,0.001,0.34803977236151695
,,,900,,,,0.7,2.74,1324,0,3,-0.38923734,,,,,,,,,,
0.92,433,0,1200,-0.0723978858999908,1.4,1200,,,,,,,-1.8705564165115356,0.08975089620798826,30,0.05926936864852905,-0.09984292478766292,0.053394742,0.2,-0.1511920988559723,0.001,0.4380397728085518
,,,1200,,,,0.71,2.77,1741,0,4,-0.35832426000000006,,,,,,,,,,
0.88,537,0,1500,-0.11497978954110294,1.56,1500,,,,,,,-1.8346334457397462,0.11323727689683437,40,-0.0854179859161377,-0.09209837055765092,0.042134695,0.2,-0.1037580668926239,0.001,0.39698863625526426
,,,1500,,,,0.67,2.83,2150,0,5,-0.39773206,,,,,,,,,,
0.94,655,0,1800,-0.07364292657002806,1.52,1800,,,,,,,-1.8242975544929505,0.10106378622353077,50,-0.09081387519836426,-0.09201786264777184,0.047190376,0.2,-0.14510312676429749,0.001,0.43505681812763214
,,,1800,,,,0.73,2.54,2570,0,6,-0.34342456,,,,,,,,,,
0.92,756,0,2100,-0.05743536952417344,1.54,2100,,,,,,,-1.7733838891983031,0.08414074754342436,60,0.11630529165267944,-0.09837623205035925,0.054523457,0.2,-0.13167499005794525,0.001,0.4852272729575634
,,,2100,,,,0.65,2.96,3008,0,7,-0.41844380000000003,,,,,,,,,,
0.88,869,0,2400,-0.13895485837943852,1.74,2400,,,,,,,-1.6882063794136046,0.11143616359680891,70,-0.2570340633392334,-0.09511229690164327,0.045888606,0.2,-0.12461081892251968,0.001,0.4729545453190804
,,,2400,,,,0.66,2.73,3453,0,8,-0.39154643000000006,,,,,,,,,,
0.9,992,0,2700,-0.10277063228189945,1.68,2700,,,,,,,-1.651184630393982,0.10823115285485983,80,-0.03950214385986328,-0.0901212105108425,0.060497887,0.2,-0.1275879144668579,0.001,0.48340909093618395
,,,2700,,,,0.79,2.43,3895,0,9,-0.22986423999999997,,,,,,,,,,
0.92,1093,0,3000,-0.09979671668261289,1.5,3000,,,,,,,-1.692145414352417,0.10169927716255188,90,-0.19649040699005127,-0.08594156107865274,0.05469059,0.2,-0.11267160624265671,0.001,0.3921875
,,,3000,,,,0.64,2.93,4340,0,10,-0.4098171,,,,,,,,,,
0.88,1206,0,3300,-0.11974621107801794,1.56,3300,,,,,,,-1.58740975856781,0.10522293701767921,100,-0.11250472068786621,-0.09218132325448096,0.055321276,0.2,-0.12757137417793274,0.001,0.3734375
,,,3300,,,,0.72,2.6,4787,0,11,-0.35712798999999995,,,,,,,,,,
0.84,1322,0,3600,-0.16519683735910803,1.78,3600,,,,,,,-1.5621336698532104,0.12197673097252845,110,-0.1967782974243164,-0.09084250528365373,0.068539105,0.2,-0.10748022794723511,0.001,0.43173295468091966
,,,3600,,,,0.75,2.45,5263,0,12,-0.29792838,,,,,,,,,,
0.94,1447,0,3900,-0.08111109953839332,1.46,3900,,,,,,,-1.4969334316253662,0.09873220093548297,120,-0.16918432712554932,-0.08543801795691251,0.06721328,0.2,-0.1457689106464386,0.001,0.45454545378684996
,,,3900,,,,0.73,2.57,5686,0,13,-0.3163594699999999,,,,,,,,,,
0.92,1562,0,4200,-0.05291478232946247,1.48,4200,,,,,,,-1.5103123044967652,0.09810888944193721,130,-0.229783296585083,-0.09025096462573856,0.06361059,0.2,-0.1370781809091568,0.001,0.41463068217039106
,,,4200,,,,0.72,2.64,6133,0,14,-0.31571337,,,,,,,,,,
0.9,1681,0,4500,-0.09571948083117604,1.7,4500,,,,,,,-1.4725788378715514,0.08004319258034229,140,0.029809772968292236,-0.08511838313192129,0.06693879,0.2,-0.11863918602466583,0.001,0.4178693194687366
,,,4500,,,,0.73,2.53,6642,0,15,-0.34033005000000005,,,,,,,,,,
0.86,1801,0,4800,-0.07668320125900209,1.66,4800,,,,,,,-1.4061638355255126,0.08847341407090425,150,0.1704035997390747,-0.09103557880967855,0.08102656,0.2,-0.12006207555532455,0.001,0.41394886255264285
,,,4800,,,,0.8,2.37,7098,0,16,-0.21578911,,,,,,,,,,
0.94,1936,0,5100,-0.07348342147190123,1.32,5100,,,,,,,-1.390354607105255,0.08749747604131698,160,-0.09815728664398193,-0.09099258959293366,0.09071967,0.2,-0.12997090816497803,0.001,0.454602273106575
,,,5100,,,,0.83,2.24,7543,0,17,-0.17642535000000004,,,,,,,,,,
0.88,2063,0,5400,-0.13915456261020154,1.56,5400,,,,,,,-1.3246590995788574,0.07978865914046765,170,-0.08117938041687012,-0.08881511321291327,0.092633516,0.2,-0.12413340061903,0.001,0.43110795468091967
,,,5400,,,,0.79,2.28,8001,0,18,-0.2566406,,,,,,,,,,
0.82,2164,0,5700,-0.20415525544434787,1.74,5700,,,,,,,-1.3063825345039368,0.12572375033050776,180,-0.3013864755630493,-0.08347807392477989,0.06899664,0.2,-0.12116827070713043,0.001,0.40008522689342496
,,,5700,,,,0.64,2.95,8471,0,19,-0.41234305,,,,,,,,,,
0.92,2275,0,6000,-0.09164835148490966,1.42,6000,,,,,,,-1.1976504015922547,0.12305107191205025,190,-0.13454699516296387,-0.0701387562265154,0.06407966,0.2,-0.07349890470504761,0.001,0.3389488644897938
,,,6000,,,,0.68,2.81,8919,0,20,-0.37201945,,,,,,,,,,
0.96,2403,0,6300,-0.05003405688330531,1.32,6300,,,,,,,-1.1883655762672425,0.08197509260848164,200,0.16429322957992554,-0.08184609799645841,0.082110114,0.2,-0.11200106143951416,0.001,0.3715624998509884
,,,6300,,,,0.8,2.2,9373,0,21,-0.24940776000000003,,,,,,,,,,
0.92,2516,0,6600,-0.08358594845049083,1.5,6600,,,,,,,-1.2057974600791932,0.10835782557725906,210,-0.1615656614303589,-0.08758588649332523,0.07695665,0.2,-0.10551677644252777,0.001,0.44960227236151695
,,,6600,,,,0.68,2.61,9839,0,22,-0.35244925000000005,,,,,,,,,,
0.92,2638,0,6900,-0.074619543813169,1.5,6900,,,,,,,-1.1276561546325683,0.0968697964772582,220,0.12200474739074707,-0.07801469725556671,0.07529353,0.2,-0.11363103985786438,0.001,0.3694886365532875
,,,6900,,,,0.74,2.46,10310,0,23,-0.32949869,,,,,,,,,,
0.9,2755,0,7200,-0.11740286544896662,1.46,7200,,,,,,,-1.1577227473258973,0.11340020343661308,230,-0.03833770751953125,-0.07202493979595602,0.07797551,0.2,-0.09540879726409912,0.001,0.3719318187236786
,,,7200,,,,0.74,2.57,10894,0,24,-0.3478014099999999,,,,,,,,,,
0.92,2882,0,7500,-0.09423260264098644,1.48,7500,,,,,,,-1.2042418026924133,0.09441572180017829,240,-0.013935446739196777,-0.08507678657770157,0.08778745,0.2,-0.12547186017036438,0.001,0.4072727258503437
,,,7500,,,,0.81,2.26,11360,0,25,-0.23629101999999996,,,,,,,,,,
0.88,3005,0,7800,-0.11871338014490902,1.66,7800,,,,,,,-1.236986756324768,0.08205851562321186,250,0.24283283948898315,-0.07464906129054726,0.0683147,0.2,-0.11275962740182877,0.001,0.3916193181276321
,,,7800,,,,0.8,2.35,11825,0,26,-0.21538512999999995,,,,,,,,,,
