env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
129,300,0,300,1.6,-0.20060633718501777,0.74,,,,,,,,,,,,,,,,
,,,300,,,,0,-0.5724305700000001,0.36,2.35,475,1,,,,,,,,,,
269,600,0,600,1.38,-0.052385153356008234,0.88,,,,,,,0.001,0.1616477280855179,5,-1.9351113939285278,0.19448164403438567,0.2,0.013288846,-0.03179005943238735,-0.38980698585510254,-0.033945128321647644
,,,600,,,,0,-0.55485614,0.44,2.22,923,2,,,,,,,,,,
410,900,0,900,1.24,-0.07047143237665296,0.94,,,,,,,0.001,0.1634659093618393,10,-1.9185570001602172,0.15622641175985336,0.2,0.012609976,-0.03567127667367458,-0.0006635189056396484,-0.00431877002120018
,,,900,,,,0,-0.43614899,0.52,2.07,1358,3,,,,,,,,,,
548,1200,0,1200,1.22,-0.029426970658823846,0.94,,,,,,,0.001,0.271647726893425,15,-1.849434757232666,0.18398780643939971,0.2,0.01330599,-0.04524508677423,-0.1633472442626953,-0.016819056123495102
,,,1200,,,,0,-0.48471768,0.5,2.11,1788,4,,,,,,,,,,
697,1500,0,1500,1.2,-0.06923120682127774,0.92,,,,,,,0.001,0.2219318187236786,20,-1.8039587259292602,0.20044189989566802,0.2,0.016405104,-0.03637991558760405,-0.18164169788360596,-0.020177673548460007
,,,1500,,,,0,-0.43291328,0.52,2.02,2229,5,,,,,,,,,,
854,1800,0,1800,1.42,-0.15262049759738147,0.8,,,,,,,0.001,0.18562500059604645,25,-1.7002051973342895,0.16565442889928816,0.2,0.014929351,-0.03469670310616493,0.047073185443878174,0.032492853701114655
,,,1800,,,,0,-0.34152772,0.62,1.87,2694,6,,,,,,,,,,
999,2100,0,2100,1.18,-0.06951715018134565,0.92,,,,,,,0.001,0.33585227251052857,30,-1.6074929237365723,0.17899766385555269,0.2,0.028130114,-0.04896420307457447,-0.018809080123901367,-0.03726927936077118
,,,2100,,,,0,-0.48191893,0.52,2.07,3147,7,,,,,,,,,,
1155,2400,0,2400,1.16,-0.0489275093190372,0.94,,,,,,,0.001,0.22801136314868928,35,-1.5012748146057129,0.19547952145338057,0.2,0.013805851,-0.03813393672928214,0.04691433906555176,0.022127199918031693
,,,2400,,,,0,-0.36633451000000017,0.59,1.92,3605,8,,,,,,,,,,
1324,2700,0,2700,1.28,-0.0915336569910869,0.88,,,,,,,0.001,0.30499999940395356,40,-1.3952012491226196,0.1486489450931549,0.2,0.036946185,-0.0337094597145915,0.20927059650421143,0.002982545644044876
,,,2700,,,,0,-0.29246412000000005,0.67,1.81,4037,9,,,,,,,,,,
1489,3000,0,3000,1.24,-0.13375305860769005,0.88,,,,,,,0.001,0.19340909153223038,45,-1.3440014791488648,0.16580780118703842,0.2,0.024255473,-0.03208163879811764,-0.05283522605895996,-0.02084701880812645
,,,3000,,,,0,-0.33118970000000014,0.64,1.83,4486,10,,,,,,,,,,
1644,3300,0,3300,1.28,-0.07276218820363284,0.92,,,,,,,0.001,0.22170454561710357,50,-1.16393168926239,0.18276790738105775,0.2,0.02084845,-0.03718970287591219,-0.13869857788085938,-0.0017066262662410736
,,,3300,,,,0,-0.3710499300000001,0.55,1.96,4974,11,,,,,,,,,,
1811,3600,0,3600,1.28,-0.09123124135192484,0.9,,,,,,,0.001,0.08045454561710358,55,-1.1976825952529908,0.19488331615924837,0.2,0.00913485,-0.030848746262490748,-0.06911730766296387,0.010098479688167572
,,,3600,,,,0,-0.26514114,0.7,1.72,5416,12,,,,,,,,,,
1980,3900,0,3900,1.14,-0.02780618265736848,0.98,,,,,,,0.001,0.14795454561710358,60,-1.1624353313446045,0.16588999807834626,0.2,0.021213371,-0.04028809936717152,0.00427168607711792,-0.009713087230920792
,,,3900,,,,0,-0.30092183,0.62,1.85,5859,13,,,,,,,,,,
2159,4200,0,4200,1.2,-0.08988016486167907,0.92,,,,,,,0.001,0.1615340918302536,65,-1.0783869814872742,0.18406631380319596,0.2,0.030313175,-0.034625353440642354,-0.02744269371032715,-0.02731657773256302
,,,4200,,,,0,-0.28359629999999997,0.64,1.81,6322,14,,,,,,,,,,
2321,4500,0,4500,1.14,-0.0681962554808706,0.94,,,,,,,0.001,0.2228977280855179,70,-0.9929831099510192,0.16390129625797273,0.2,0.015938828,-0.028723795730620623,0.057565927505493164,0.011687085032463074
,,,4500,,,,0,-0.3710648599999999,0.63,1.89,6764,15,,,,,,,,,,
2494,4800,0,4800,1.22,-0.049096602201461795,0.94,,,,,,,0.001,0.166875,75,-1.0136610460281372,0.21072706520557405,0.2,0.015312651,-0.028384885299019516,-0.07266414165496826,0.01416785642504692
,,,4800,,,,0,-0.30985991000000007,0.68,1.76,7230,16,,,,,,,,,,
2670,5100,0,5100,1.28,-0.07321505011990666,0.9,,,,,,,0.001,0.18096590995788575,80,-0.9670370817184448,0.16714590668678284,0.2,0.014078396,-0.033304277807474136,0.1403716802597046,0.0009808875620365143
,,,5100,,,,0,-0.25209568,0.7,1.66,7695,17,,,,,,,,,,
