env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
300,136,0,-0.19925533153116703,1.52,0.76,300,,,,,,,,,,,,,,,,
,,,,,,300,0.34,1,2.38,0,478,-0.6514513399999999,,,,,,,,,,
600,273,0,-0.12992777429521085,1.26,0.88,600,,,,,,,-1.938514461517334,0.009549661,-0.020683564245700836,0.2,0.11102272778749465,0.001,-0.7219144105911255,5,0.19871025919914245,-0.025301905502565204
,,,,,,600,0.48,2,2.18,0,903,-0.52243991,,,,,,,,,,
900,423,0,-0.07023122695274651,1.24,0.92,900,,,,,,,-1.9180983257293702,0.016699286,-0.024592891335487366,0.2,0.18238636434078218,0.001,-0.11129975318908691,10,0.1839959704875946,-0.044153513880446554
,,,,,,900,0.57,3,1.97,0,1307,-0.45480972000000003,,,,,,,,,,
1200,565,0,-0.05182160061318428,1.16,0.94,1200,,,,,,,-1.8890871477127076,0.0143983085,0.004523679614067078,0.2,0.21613636374473572,0.001,-0.14946341514587402,15,0.19416383802890777,-0.035552275590598585
,,,,,,1200,0.48,4,2.14,0,1705,-0.50131808,,,,,,,,,,
1500,708,0,-0.1118283288506791,1.26,0.9,1500,,,,,,,-1.8459684944152832,0.015602793,0.022543344646692276,0.2,0.22613636374473572,0.001,-0.0005129575729370117,20,0.19455628961324692,-0.0429528745636344
,,,,,,1500,0.47,5,2.19,0,2110,-0.56115687,,,,,,,,,,
1800,863,0,-0.09207059774082155,1.36,0.84,1800,,,,,,,-1.8071860551834107,0.014640555,0.02197548747062683,0.2,0.20028409004211425,0.001,-0.05431854724884033,25,0.2019781067967415,-0.038641033098101615
,,,,,,1800,0.67,6,1.84,0,2530,-0.32058056999999995,,,,,,,,,,
2100,1008,0,-0.04962389091029763,1.22,0.92,2100,,,,,,,-1.6912513446807862,0.015043914,-0.04084143787622452,0.2,0.29369318157434465,0.001,0.09140408039093018,30,0.17571207761764526,-0.049696015752851964
,,,,,,2100,0.53,7,2.13,0,2962,-0.39017148999999995,,,,,,,,,,
2400,1171,0,-0.09548765137791633,1.3,0.9,2400,,,,,,,-1.5973479127883912,0.020015001,-0.014021322131156921,0.2,0.2910795438289642,0.001,-0.09473037719726562,35,0.2044148176908493,-0.046833566650748254
,,,,,,2400,0.76,8,1.68,0,3411,-0.22682509,,,,,,,,,,
2700,1328,0,-0.11117022883612662,1.32,0.88,2700,,,,,,,-1.5432253789901733,0.020269398,-0.03680726885795593,0.2,0.23534090757369996,0.001,0.13380753993988037,40,0.16942440897226332,-0.04730142679065466
,,,,,,2700,0.63,9,1.85,0,3832,-0.31770405,,,,,,,,,,
3000,1491,0,-0.06901514161843807,1.2,0.94,3000,,,,,,,-1.3839700174331666,0.03519517,-0.008471101522445679,0.2,0.34528409123420717,0.001,-0.04190635681152344,45,0.20666420161724092,-0.05063626520335674
,,,,,,3000,0.69,10,1.76,0,4282,-0.299104,,,,,,,,,,
3300,1646,0,-0.11071847069077194,1.22,0.9,3300,,,,,,,-1.3256442594528197,0.021028392,0.02173815295100212,0.2,0.17193181872367858,0.001,0.03518456220626831,50,0.19391378045082092,-0.042520122593268754
,,,,,,3300,0.58,11,1.99,0,4707,-0.36704445999999996,,,,,,,,,,
3600,1816,0,-0.048764469586312774,1.16,0.96,3600,,,,,,,-1.3132938098907472,0.023818417,-0.015256769955158234,0.2,0.20789772778749466,0.001,-0.002211451530456543,55,0.19776035726070404,-0.0399314852245152
,,,,,,3600,0.71,12,1.77,0,5113,-0.27864704,,,,,,,,,,
3900,1989,0,-0.049128042883239686,1.24,0.9,3900,,,,,,,-1.2333959770202636,0.028525624,0.0030396729707717896,0.2,0.29619318336248396,0.001,0.15583932399749756,60,0.16181290447711943,-0.044286516569554804
,,,,,,3900,0.64,13,1.88,0,5544,-0.29382173,,,,,,,,,,
4200,2169,0,-0.07156649904325604,1.28,0.9,4200,,,,,,,-0.9914623951911926,0.034120318,-0.016377191990613937,0.2,0.3119886353611946,0.001,0.07626849412918091,65,0.1519956508278847,-0.027234527319669723
,,,,,,4200,0.74,14,1.72,0,6013,-0.27871695,,,,,,,,,,
4500,2340,0,-0.2352515436988324,1.66,0.7,4500,,,,,,,-1.022632281780243,0.034426123,-0.02147861197590828,0.2,0.23238636404275895,0.001,0.1335272192955017,70,0.13612495869398117,-0.035780012551695106
,,,,,,4500,0.76,15,1.66,0,6480,-0.23046885,,,,,,,,,,
4800,2516,0,-0.06890076886396855,1.16,0.94,4800,,,,,,,-0.9800714135169983,0.026189413,0.011705216020345688,0.2,0.14778409093618394,0.001,-0.10344052314758301,75,0.19951626002788544,-0.03543652144260705
,,,,,,4800,0.7,16,1.72,0,6917,-0.27692517,,,,,,,,,,
5100,2691,0,-0.1296080908551812,1.32,0.86,5100,,,,,,,-0.9171503114700318,0.028743375,-0.01833248883485794,0.2,0.2073863637447357,0.001,0.06611126661300659,80,0.14716545343399048,-0.034892439860850576
,,,,,,5100,0.77,17,1.62,0,7375,-0.20393638999999997,,,,,,,,,,
5400,2864,0,-0.050380703341215846,1.18,0.94,5400,,,,,,,-0.9778921866416931,0.020025287,-0.01008550450205803,0.2,0.13369318217039108,0.001,0.12053745985031128,85,0.1416994273662567,-0.03439456947147846
,,,,,,5400,0.75,18,1.68,0,7810,-0.22826582,,,,,,,,,,
5700,3024,0,-0.0725959013029933,1.34,0.92,5700,,,,,,,-1.0680312776565553,0.027218997,0.0121547169983387,0.2,0.19687500059604646,0.001,0.045615196228027344,90,0.18038858979940414,-0.03852013900876045
,,,,,,5700,0.6,19,1.9,0,8274,-0.28443099,,,,,,,,,,
6000,3201,0,-0.03188193569891155,1.2,0.92,6000,,,,,,,-1.0050440287590028,0.019008072,-0.02204175293445587,0.2,0.12676136434078217,0.001,0.042819440364837646,95,0.1782739183306694,-0.03281516679096967
,,,,,,6000,0.67,20,1.75,0,8726,-0.29563187,,,,,,,,,,
6300,3364,0,-0.029088160721585155,1.2,0.94,6300,,,,,,,-0.9961546111106873,0.029948985,-0.041462138295173645,0.2,0.1899431812763214,0.001,-0.03091728687286377,100,0.19037203431129457,-0.043069731967989355
,,,,,,6300,0.65,21,1.85,0,9168,-0.30635651999999997,,,,,,,,,,
6600,3541,0,-0.08948628192767501,1.22,0.9,6600,,,,,,,-0.9970728659629822,0.01760668,0.006608802825212479,0.2,0.15477272748947143,0.001,0.013906896114349365,105,0.1705437508225441,-0.03689036547672003
,,,,,,6600,0.69,22,1.76,0,9641,-0.30849146,,,,,,,,,,
6900,3704,0,-0.04794909857679158,1.14,0.94,6900,,,,,,,-0.9092674970626831,0.030057397,-0.008777447044849396,0.2,0.19823863685131074,0.001,0.17906731367111206,110,0.17218441545963287,-0.03462112419307232
,,,,,,6900,0.67,23,1.8,0,10095,-0.28427427999999993,,,,,,,,,,
7200,3869,0,-0.13114303743466735,1.34,0.84,7200,,,,,,,-0.8100575399398804,0.02979081,0.0191546231508255,0.2,0.12892045557498932,0.001,-0.012978196144104004,115,0.18254395931959153,-0.029326166063547134
,,,,,,7200,0.69,24,1.74,0,10556,-0.27591438999999995,,,,,,,,,,
