env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
300,0,127,1.48,300,0.8,-0.19421441616956145,,,,,,,,,,,,,,,,
,,,,300,,,1,-0.58813924,0.39,2.35,0,456,,,,,,,,,,
600,0,273,1.32,600,0.88,-0.13055955608841033,,,,,,,0.010729618,0.001,-0.38828396797180176,0.25569276213645936,0.2,-0.03547423332929611,0.08534090965986252,5,-1.9393792963027954,-0.029767668712884186
,,,,600,,,2,-0.42219667,0.5,2.15,0,888,,,,,,,,,,
900,0,412,1.24,900,0.9,-0.10879109398461878,,,,,,,0.014178564,0.001,-0.03994274139404297,0.17482384115457536,0.2,-0.040968332439661026,0.23892045378684998,10,-1.9217023324966431,-0.04176881937775761
,,,,900,,,3,-0.48007669999999997,0.48,2.14,0,1307,,,,,,,,,,
1200,0,562,1.28,1200,0.9,-0.11120821529068053,,,,,,,0.011176225,0.001,-0.057421207427978516,0.17584183037281037,0.2,-0.016073282808065414,0.191477273106575,15,-1.902562084197998,-0.03688592399004847
,,,,1200,,,4,-0.43042767,0.54,2.06,0,1744,,,,,,,,,,
1500,0,711,1.44,1500,0.8,-0.17156301292125137,,,,,,,0.009005334,0.001,0.06911343336105347,0.16594935566186905,0.2,-0.026863303035497665,0.21630681902170182,20,-1.8571080780029297,-0.03651802569627762
,,,,1500,,,5,-0.4815390099999999,0.56,2.02,0,2161,,,,,,,,,,
1800,0,854,1.18,1800,0.94,-0.05374173268675804,,,,,,,0.015123235,0.001,-0.14128649234771729,0.1913105243444443,0.2,-0.02493518590927124,0.2765909081697464,25,-1.7928681421279906,-0.048755642250180246
,,,,1800,,,6,-0.43783492,0.5,2.13,0,2563,,,,,,,,,,
2100,0,1019,1.14,2100,0.96,-0.028243895135819912,,,,,,,0.012032783,0.001,-0.0024346113204956055,0.1843220239877701,0.2,-0.02476578578352928,0.26903409272432327,30,-1.680274658203125,-0.041561691164970396
,,,,2100,,,7,-0.26106841999999997,0.72,1.7,0,2975,,,,,,,,,,
2400,0,1166,1.26,2400,0.92,-0.09025665148627013,,,,,,,0.019204915,0.001,-0.09815800189971924,0.19086258262395858,0.2,-0.019821293652057648,0.3621590906381607,35,-1.5592402744293212,-0.0426659843698144
,,,,2400,,,8,-0.43489263,0.59,2.0,0,3416,,,,,,,,,,
2700,0,1322,1.2,2700,0.92,-0.08895264017861336,,,,,,,0.011195584,0.001,0.07241123914718628,0.18514291048049927,0.2,0.010021790862083435,0.16988636314868927,40,-1.4644616794586183,-0.030760577772744
,,,,2700,,,9,-0.37663406,0.62,1.93,0,3828,,,,,,,,,,
3000,0,1494,1.16,3000,0.96,-0.048707802817225455,,,,,,,0.011058862,0.001,0.056786537170410156,0.17814582735300064,0.2,0.01073995977640152,0.232727273106575,45,-1.364530873298645,-0.034732949435710904
,,,,3000,,,10,-0.26323620999999997,0.72,1.77,0,4246,,,,,,,,,,
3300,0,1664,1.14,3300,0.96,-0.04792936028447002,,,,,,,0.010912304,0.001,-0.2133885622024536,0.18050103217363359,0.2,0.007883049547672272,0.1443181824684143,50,-1.3157386779785156,-0.025250056982040404
,,,,3300,,,11,-0.3274796300000001,0.67,1.82,0,4669,,,,,,,,,,
3600,0,1843,1.32,3600,0.88,-0.13032447553239762,,,,,,,0.020875724,0.001,0.06366652250289917,0.17880161255598068,0.2,0.013592202216386795,0.1595454543828964,55,-1.3071904134750367,-0.029962649792432784
,,,,3600,,,12,-0.29851976999999996,0.72,1.74,0,5097,,,,,,,,,,
3900,0,2029,1.16,3900,0.94,-0.06837220352143049,,,,,,,0.015361503,0.001,0.13450324535369873,0.15153414845466615,0.2,-0.008793119341135025,0.12051136374473571,60,-1.1291877079010009,-0.021574419257231057
,,,,3900,,,13,-0.29758695,0.71,1.69,0,5514,,,,,,,,,,
4200,0,2200,1.22,4200,0.92,-0.049770800285041335,,,,,,,0.012082087,0.001,0.2203843593597412,0.15023275792598725,0.2,-4.374608397483826e-05,0.11039772808551788,65,-1.0364324760437011,-0.025935235042124985
,,,,4200,,,14,-0.21611417999999996,0.75,1.66,0,5975,,,,,,,,,,
4500,0,2377,1.16,4500,0.96,-0.008344094743952155,,,,,,,0.01017983,0.001,0.15782904624938965,0.18966216444969178,0.2,0.022383611649274826,0.06448863625526428,70,-1.0154830813407898,-0.024436714500188826
,,,,4500,,,15,-0.25300757,0.69,1.79,0,6418,,,,,,,,,,
4800,0,2542,1.12,4800,0.98,-0.027537667923606932,,,,,,,0.014423926,0.001,0.1356564164161682,0.13370213210582732,0.2,-0.023659635335206985,0.13778409123420715,75,-0.9656130456924439,-0.025586245376616717
,,,,4800,,,16,-0.24331611000000003,0.71,1.76,0,6895,,,,,,,,,,
5100,0,2699,1.16,5100,0.94,-0.06943575016688555,,,,,,,0.015003222,0.001,-0.015939950942993164,0.18505892664194107,0.2,0.029883917421102524,0.12340909093618393,80,-1.0446661281585694,-0.02634833090007305
,,,,5100,,,17,-0.37310113,0.6,1.89,0,7350,,,,,,,,,,
5400,0,2865,1.3,5400,0.88,-0.09069330570753664,,,,,,,0.024606625,0.001,0.04442882537841797,0.1848168855905533,0.2,-0.015102177858352661,0.20710227251052857,85,-1.0257776713371276,-0.032608268596231935
,,,,5400,,,18,-0.28491189,0.7,1.83,0,7809,,,,,,,,,,
5700,0,3036,1.08,5700,0.96,-0.047981202616356314,,,,,,,0.01344675,0.001,0.1558946967124939,0.16321791380643844,0.2,-0.004526473581790924,0.10022727310657502,90,-0.9989731168746948,-0.025031063326168806
,,,,5700,,,19,-0.25643966000000007,0.67,1.76,0,8241,,,,,,,,,,
6000,0,3218,1.2,6000,0.94,-0.04939267314504832,,,,,,,0.024928132,0.001,-0.05600583553314209,0.18755258858203888,0.2,0.05108562111854553,0.12698863714933395,95,-0.8293869805335998,-0.02524820397607982
,,,,6000,,,20,-0.28870571999999994,0.71,1.72,0,8674,,,,,,,,,,
6300,0,3403,1.22,6300,0.92,-0.07143087463919073,,,,,,,0.013327241,0.001,0.10722213983535767,0.16636353254318237,0.2,0.056268855929374695,0.13096590965986252,100,-0.841604449748993,-0.01690562062896788
,,,,6300,,,21,-0.21106455999999998,0.77,1.59,0,9117,,,,,,,,,,
6600,0,3591,1.28,6600,0.9,-0.09003975070081652,,,,,,,0.015756512,0.001,0.10395622253417969,0.16606888502836228,0.2,0.033164020627737045,0.1135795459151268,105,-0.6544770979881287,-0.020019540432840585
,,,,6600,,,22,-0.19344535999999998,0.8,1.55,0,9589,,,,,,,,,,
6900,0,3760,1.44,6900,0.8,-0.19300033924635498,,,,,,,0.017300058,0.001,0.12617021799087524,0.12825576081871987,0.2,0.031689487397670746,0.09465909123420715,110,-0.5925553297996521,-0.017916280757635832
,,,,6900,,,23,-0.30820090000000006,0.7,1.76,0,10092,,,,,,,,,,
7200,0,3939,1.24,7200,0.92,-0.02977993759792298,,,,,,,0.017087897,0.001,0.13477230072021484,0.16105398654937744,0.2,0.04575657099485397,0.07596590936183929,115,-0.5795313847064972,-0.016274734463659114
,,,,7200,,,24,-0.2535494,0.7,1.7,0,10555,,,,,,,,,,
7500,0,4112,1.24,7500,0.9,-0.09141949515324085,,,,,,,0.008828183,0.001,0.2172985076904297,0.1526574721932411,0.2,0.023350683972239494,0.056193182170391084,120,-0.4944720149040222,-0.014416418767068536
,,,,7500,,,25,-0.25477422,0.72,1.74,0,11049,,,,,,,,,,
7800,0,4297,1.16,7800,0.94,-0.05071905688382685,,,,,,,0.013102444,0.001,0.1265438199043274,0.16133320212364197,0.2,0.009157374501228333,0.0554545459151268,125,-0.4626798152923584,-0.013028635694645345
,,,,7800,,,26,-0.20925036,0.78,1.5,0,11497,,,,,,,,,,
8100,0,4478,1.3,8100,0.9,-0.11430440075229853,,,,,,,0.010331733,0.001,0.1580396294593811,0.1558324381709099,0.2,0.05806299299001694,0.08875000059604644,130,-0.4590360462665558,-0.013149698405759408
,,,,8100,,,27,-0.25433331000000003,0.72,1.68,0,11964,,,,,,,,,,
8400,0,4656,1.3,8400,0.88,-0.11013440040405839,,,,,,,0.024635423,0.001,0.15485167503356934,0.15681889027357102,0.2,0.004615452140569687,0.06125000029802322,135,-0.4035292625427246,-0.017682441752403976
,,,,8400,,,28,-0.20426235,0.79,1.6,0,12400,,,,,,,,,,
8700,0,4846,1.28,8700,0.88,-0.10958799187093973,,,,,,,0.010634842,0.001,0.12362140417098999,0.17065537244081497,0.2,0.03278011456131935,0.07545454621315002,140,-0.4694045853614807,-0.01739315340295434
,,,,8700,,,29,-0.18760641,0.8,1.56,0,12842,,,,,,,,,,
9000,0,5029,1.16,9000,0.92,-0.09311336102429778,,,,,,,0.016209124,0.001,0.14113521575927734,0.14912940710783004,0.2,0.007418030872941017,0.07869318217039108,145,-0.4074809789657593,-0.01788106791675091
,,,,9000,,,30,-0.26384181000000007,0.74,1.66,0,13271,,,,,,,,,,
9300,0,5208,1.2,9300,0.94,-0.06975804375950247,,,,,,,0.009405516,0.001,0.16427665948867798,0.15087598830461502,0.2,0.004206538200378418,0.06431818217039108,150,-0.4002147364616394,-0.016533281859010457
,,,,9300,,,31,-0.27641542999999996,0.72,1.68,0,13727,,,,,,,,,,
9600,0,5399,1.36,9600,0.84,-0.1350009418511763,,,,,,,0.019330714,0.001,0.22885239124298096,0.14818330049514772,0.2,0.025380384176969528,0.07528409123420715,155,-0.39757288813591,-0.016345160687342285
,,,,9600,,,32,-0.1912647,0.78,1.64,0,14167,,,,,,,,,,
9900,0,5590,1.22,9900,0.92,-0.08901105081196875,,,,,,,0.00854318,0.001,0.13865000009536743,0.13634903699159623,0.2,0.020384959876537323,0.045681818425655364,160,-0.3506731688976288,-0.009943412505090237
,,,,9900,,,33,-0.24441766999999995,0.75,1.62,0,14622,,,,,,,,,,
10200,0,5774,1.18,10200,0.94,-0.04903466702438891,,,,,,,0.008758209,0.001,0.25622040033340454,0.15640262573957442,0.2,0.030032996088266373,0.04556818217039108,165,-0.3173504161834717,-0.009726185463368892
,,,,10200,,,34,-0.19827210999999997,0.78,1.56,0,15092,,,,,,,,,,
10500,0,5957,1.32,10500,0.9,-0.09007133455481381,,,,,,,0.015930552,0.001,0.15264743566513062,0.16202454775571823,0.2,0.03170361742377281,0.038522727489471435,170,-0.3355821168422699,-0.00950432341080159
