eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.94,-0.055861879591830074,300,300,0,104,1.48,,,,,,,,,,,,,,,,
,,,300,,,,-0.4080963899999999,1,2.93,0.66,474,0,,,,,,,,,,
0.94,-0.0780541374720633,600,600,0,209,1.36,,,,,,,0.001,-0.026718959379941225,-1.9387676286697388,0.12011363655328751,-0.007805876433849335,0.012797314,0.23232314318418504,5,0.2,-0.11545324325561523
,,,600,,,,-0.37388264000000004,2,2.85,0.65,962,0,,,,,,,,,,
0.92,-0.07620781359728426,900,900,0,310,1.66,,,,,,,0.001,-0.0317927210777998,-1.9239558315277099,0.14482954651117325,0.003497231751680374,0.009341469,0.19238925337791443,10,0.2,-0.36654067039489746
,,,900,,,,-0.44995288,3,2.99,0.62,1424,0,,,,,,,,,,
0.88,-0.09617662990931422,1200,1200,0,419,1.62,,,,,,,0.001,-0.0386493070051074,-1.8877583980560302,0.19863636493682862,0.01283096894621849,0.010276245,0.1844663491845131,15,0.2,-0.17938196659088135
,,,1200,,,,-0.3443150300000001,4,2.68,0.74,1889,0,,,,,,,,,,
0.9,-0.0763776906300336,1500,1500,0,534,1.64,,,,,,,0.001,-0.04169546548277139,-1.8513508605957032,0.23517045497894287,-0.0051773786544799805,0.014561413,0.17760106503963471,20,0.2,-0.04990231990814209
,,,1500,,,,-0.33170170000000004,5,2.47,0.73,2363,0,,,,,,,,,,
0.98,-0.029211320043541492,1800,1800,0,639,1.14,,,,,,,0.001,-0.034820198672823606,-1.7990923118591309,0.13988636374473573,0.02358057349920273,0.012684895,0.15129373699426651,25,0.2,0.015221834182739258
,,,1800,,,,-0.41519887,6,2.88,0.63,2812,0,,,,,,,,,,
0.96,-0.05474412272684276,2100,2100,0,757,1.38,,,,,,,0.001,-0.04397326216101646,-1.7143705558776856,0.3113636362552643,-0.012874044477939606,0.013209134,0.1863957476615906,30,0.2,-0.04036378860473633
,,,2100,,,,-0.36555499,7,2.57,0.69,3267,0,,,,,,,,,,
0.96,-0.0535263431398198,2400,2400,0,872,1.38,,,,,,,0.001,-0.04877641350030899,-1.6412670707702637,0.26579545378685,-0.02713087946176529,0.017547686,0.18183500379323958,35,0.2,0.03569072484970093
