env/current_idx,eval/success_rate,eval/mean_reward,eval/mean_ep_length,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance
100,0.86,-0.16237415947951375,1.66,0,300,300,,,,,,,,,,,,,,,,
,,,,,,300,0.6262626262626263,-0.48699425252525247,0,1,3.0303030303030303,440,,,,,,,,,,
210,0.96,-0.055162423942238095,1.28,0,600,600,,,,,,,5,0.015834704,0.18687500089406966,-1.9351196050643922,-0.030374548798426985,0.27546282678842543,0.2,0.001,0.013344533741474152,-0.33141255378723145
,,,,,,600,0.67,-0.3836436999999999,0,2,2.7,847,,,,,,,,,,
322,0.9,-0.11547289542388171,1.44,0,900,900,,,,,,,10,0.014899796,0.271477273106575,-1.8886812162399291,-0.03221222639083862,0.16110436856746674,0.2,0.001,0.006179239600896835,-0.01542043685913086
,,,,,,900,0.67,-0.40821440000000003,0,3,2.7,1280,,,,,,,,,,
441,0.88,-0.10007678843103349,1.62,0,1200,1200,,,,,,,15,0.014654164,0.1646590918302536,-1.862107334136963,-0.03408814651775174,0.15798881381750107,0.2,0.001,-0.012473084032535553,0.07510995864868164
,,,,,,1200,0.74,-0.33472899,0,4,2.5,1733,,,,,,,,,,
557,0.94,-0.05208015291485935,1.26,0,1500,1500,,,,,,,20,0.01302287,0.1567613637447357,-1.8262453365325928,-0.036261501163244246,0.2066543146967888,0.2,0.001,-0.02788543701171875,-0.1451573371887207
,,,,,,1500,0.72,-0.34979893999999995,0,5,2.59,2144,,,,,,,,,,
671,0.94,-0.0781406975677237,1.54,0,1800,1800,,,,,,,25,0.031250216,0.3336363634467125,-1.7477527809143067,-0.03847886390984059,0.17154779374599458,0.2,0.001,-0.024622995406389236,0.08491277694702148
,,,,,,1800,0.74,-0.34162223999999997,0,6,2.55,2598,,,,,,,,,,
793,0.94,-0.07012452536728234,1.32,0,2100,2100,,,,,,,30,0.017142776,0.15056818187236787,-1.70671404838562,-0.02978413075208664,0.16908555448055268,0.2,0.001,-0.026395969092845917,0.10873913764953613
,,,,,,2100,0.78,-0.27592102,0,7,2.39,3017,,,,,,,,,,
912,0.94,-0.07576744765974582,1.26,0,2400,2400,,,,,,,35,0.018478423,0.2857386365532875,-1.5795631217956543,-0.040237333811819556,0.1427171166241169,0.2,0.001,0.00022295862436294556,0.0788617730140686
,,,,,,2400,0.77,-0.29255268,0,8,2.53,3449,,,,,,,,,,
1039,0.96,-0.05477386639453471,1.24,0,2700,2700,,,,,,,40,0.018761322,0.1868181824684143,-1.4503345918655395,-0.0292780714482069,0.17128897339105606,0.2,0.001,-0.0037889033555984497,0.04382479190826416
,,,,,,2700,0.84,-0.23221029,0,9,2.26,3857,,,,,,,,,,
1169,0.94,-0.07146453217137605,1.44,0,3000,3000,,,,,,,45,0.028673362,0.23744318157434463,-1.423791675567627,-0.02770433509722352,0.17897753447294235,0.2,0.001,0.014090605080127716,0.02673029899597168
,,,,,,3000,0.78,-0.26576245,0,10,2.28,4288,,,,,,,,,,
1301,0.88,-0.1368829486053437,1.56,0,3300,3300,,,,,,,50,0.023389509,0.23573863625526428,-1.2607758045196533,-0.040377366226166486,0.16720999300479888,0.2,0.001,-0.00016294419765472412,0.0942808985710144
,,,,,,3300,0.78,-0.28735061,0,11,2.36,4731,,,,,,,,,,
1431,0.96,-0.0501817884715274,1.24,0,3600,3600,,,,,,,55,0.015163064,0.1577840906381607,-1.1446569919586183,-0.03228537637740374,0.17181129842996598,0.2,0.001,-0.014802984893321991,-0.061551451683044434
,,,,,,3600,0.78,-0.25233108000000004,0,12,2.29,5151,,,,,,,,,,
1560,0.94,-0.07337353340350092,1.26,0,3900,3900,,,,,,,60,0.018709427,0.1272159093618393,-1.1179431653022767,-0.030237750113010407,0.12831957429647445,0.2,0.001,-0.045326389372348785,0.13092774152755737
,,,,,,3900,0.76,-0.31153373999999995,0,13,2.3,5569,,,,,,,,,,
1696,0.98,-0.029774390025995672,1.18,0,4200,4200,,,,,,,65,0.016805593,0.11852272778749466,-1.195955774784088,-0.025075823441147803,0.2073834642767906,0.2,0.001,0.050517477095127106,0.06932681798934937
,,,,,,4200,0.8,-0.26321024,0,14,2.11,6002,,,,,,,,,,
1821,0.92,-0.09553873147815466,1.5,0,4500,4500,,,,,,,70,0.018413156,0.13255681872367858,-1.0927868270874024,-0.02643459480255842,0.17685236424207687,0.2,0.001,-0.026622094213962555,0.04349797964096069
,,,,,,4500,0.77,-0.3249279,0,15,2.42,6464,,,,,,,,,,
1953,0.9,-0.12017775136046112,1.58,0,4800,4800,,,,,,,75,0.020334428,0.16272727340459825,-1.1264537644386292,-0.039879831627476964,0.15026463717222213,0.2,0.001,-0.03189869597554207,0.26223576068878174
,,,,,,4800,0.77,-0.32206123,0,16,2.36,6916,,,,,,,,,,
2082,0.96,-0.03078672619536519,1.26,0,5100,5100,,,,,,,80,0.027363788,0.23471590936183928,-1.136977822780609,-0.03716588508337736,0.14829153567552567,0.2,0.001,-0.024218160659074783,0.2066556215286255
,,,,,,5100,0.76,-0.30281716,0,17,2.37,7340,,,,,,,,,,
2218,0.9,-0.11942269227933139,1.48,0,5400,5400,,,,,,,85,0.018458594,0.13812500029802321,-1.0638502883911132,-0.027864191476255656,0.16227103799581527,0.2,0.001,-0.00370107963681221,0.1586185097694397
,,,,,,5400,0.79,-0.25786005,0,18,2.27,7801,,,,,,,,,,
2368,0.98,-0.010966737582348287,1.24,0,5700,5700,,,,,,,90,0.028724656,0.15573863595724105,-0.9852362799644471,-0.03225568594411016,0.14250685289502144,0.2,0.001,0.017511878162622452,0.07910811901092529
,,,,,,5700,0.84,-0.21558176999999998,0,19,1.99,8232,,,,,,,,,,
2513,0.92,-0.09270950002595782,1.42,0,6000,6000,,,,,,,95,0.016190736,0.12835227310657502,-0.9027336883544922,-0.02573291666805744,0.21424656957387925,0.2,0.001,-0.010420385748147964,-0.02353191375732422
,,,,,,6000,0.83,-0.23270761000000004,0,20,2.12,8697,,,,,,,,,,
2643,0.88,-0.1177437862381339,1.56,0,6300,6300,,,,,,,100,0.01786612,0.1084090906381607,-0.9014763116836548,-0.028057093117386103,0.16593321025371552,0.2,0.001,-0.001026589423418045,0.16356801986694336
,,,,,,6300,0.78,-0.28029923,0,21,2.19,9192,,,,,,,,,,
2772,0.98,-0.030126189100556075,1.2,0,6600,6600,,,,,,,105,0.012506617,0.08250000059604645,-0.8762919449806214,-0.019191379947587846,0.16371345907449722,0.2,0.001,0.006101831793785095,0.17038273811340332
,,,,,,6600,0.77,-0.28923306000000004,0,22,2.28,9640,,,,,,,,,,
2898,0.92,-0.09507637783419341,1.42,0,6900,6900,,,,,,,110,0.027864346,0.16681818217039107,-0.9537901830673218,-0.03362587566487491,0.15890953809022904,0.2,0.001,-0.04100344330072403,0.16845858097076416
,,,,,,6900,0.81,-0.25691141999999995,0,23,2.43,10133,,,,,,,,,,
3054,0.96,-0.05196963959373534,1.32,0,7200,7200,,,,,,,115,0.023549778,0.11170454621315003,-0.8009700489044189,-0.02649383989162743,0.17522680163383483,0.2,0.001,0.0021508224308490753,0.14674079418182373
,,,,,,7200,0.86,-0.18729603,0,24,1.9,10594,,,,,,,,,,
3196,0.94,-0.05241416499949992,1.3,0,7500,7500,,,,,,,120,0.038510248,0.17403409034013748,-0.8009887099266052,-0.022348024444654585,0.17366498619318008,0.2,0.001,-0.012995094060897827,-0.041472554206848145
,,,,,,7500,0.86,-0.14139168,0,25,1.98,11040,,,,,,,,,,
3338,0.94,-0.07238163342699408,1.4,0,7800,7800,,,,,,,125,0.02672385,0.14431818187236786,-0.7525003814697265,-0.025535940304398538,0.16771966427564622,0.2,0.001,-0.008735518902540207,-0.02190864086151123
,,,,,,7800,0.87,-0.17549848999999998,0,26,1.94,11488,,,,,,,,,,
3481,0.96,-0.035382962794974444,1.54,0,8100,8100,,,,,,,130,0.034472503,0.20988636314868928,-0.8778842568397522,-0.032383491545915605,0.1498494502902031,0.2,0.001,-0.026073895394802094,0.1791670322418213
,,,,,,8100,0.84,-0.20064087999999994,0,27,2.12,11937,,,,,,,,,,
3606,0.94,-0.07198904177173972,1.32,0,8400,8400,,,,,,,135,0.019330408,0.11619318187236786,-0.7762040209770202,-0.027319903820753097,0.14353904545307158,0.2,0.001,-0.010497506707906723,0.1421836018562317
,,,,,,8400,0.79,-0.27854558000000007,0,28,2.34,12370,,,,,,,,,,
3744,0.96,-0.052219032300636174,1.36,0,8700,8700,,,,,,,140,0.019530246,0.15244318217039107,-0.9200072646141052,-0.02667023170739412,0.17419985443353653,0.2,0.001,-0.023455098271369934,0.12924200296401978
,,,,,,8700,0.8,-0.26190637000000005,0,29,2.2,12793,,,,,,,,,,
3871,0.92,-0.09759174949955195,1.48,0,9000,9000,,,,,,,145,0.036620036,0.16045454531908035,-0.881223909854889,-0.03053727973252535,0.15729687988758087,0.2,0.001,0.002009797841310501,0.17157936096191406
,,,,,,9000,0.77,-0.29843328999999996,0,30,2.38,13248,,,,,,,,,,
4001,0.94,-0.07421034670434892,1.36,0,9300,9300,,,,,,,150,0.021118894,0.14738636404275895,-0.8893884110450745,-0.030644027553498744,0.16045638650655747,0.2,0.001,0.005938082933425903,0.20052558183670044
,,,,,,9300,0.82,-0.23147475,0,31,2.16,13691,,,,,,,,,,
4135,0.96,-0.05422647719271481,1.24,0,9600,9600,,,,,,,155,0.016972348,0.11375000059604645,-0.9121930646896362,-0.025859805922955274,0.19556499600410462,0.2,0.001,0.03814881294965744,0.01151895523071289
,,,,,,9600,0.79,-0.28667706,0,32,2.27,14140,,,,,,,,,,
4293,0.92,-0.09864100041333586,1.46,0,9900,9900,,,,,,,160,0.025844326,0.16670454502105714,-0.8406296515464783,-0.025043838963028975,0.18683083176612855,0.2,0.001,-0.0074091143906116486,0.052994728088378906
,,,,,,9900,0.83,-0.21778776,0,33,1.93,14579,,,,,,,,,,
4447,0.92,-0.09955990802962333,1.36,0,10200,10200,,,,,,,165,0.020982344,0.1581818178296089,-0.7734883546829223,-0.017796325739473106,0.15657683879137038,0.2,0.001,0.0037765614688396454,0.20434826612472534
,,,,,,10200,0.89,-0.15269429999999998,0,34,1.84,15040,,,,,,,,,,
4589,0.92,-0.10107186584733427,1.5,0,10500,10500,,,,,,,170,0.013088641,0.08363636404275894,-0.7089703392982483,-0.01746110636740923,0.15198163092136383,0.2,0.001,0.013043072074651718,0.10556334257125854
,,,,,,10500,0.79,-0.28727073999999997,0,35,2.13,15486,,,,,,,,,,
4727,0.96,-0.04904604918789118,1.24,0,10800,10800,,,,,,,175,0.023352161,0.14193181872367858,-0.8990675830841064,-0.021109620220959188,0.17841535866260527,0.2,0.001,0.03489471226930618,0.24486857652664185
,,,,,,10800,0.82,-0.21614753,0,36,2.19,15916,,,,,,,,,,
4877,0.94,-0.0730151797272265,1.5,0,11100,11100,,,,,,,180,0.014959028,0.09465909153223037,-0.8605475950241089,-0.024958988027647136,0.13899975687265395,0.2,0.001,0.00034042447805404663,0.2708238959312439
,,,,,,11100,0.81,-0.23041103999999998,0,37,2.1,16360,,,,,,,,,,
5019,0.96,-0.05102506549097598,1.38,0,11400,11400,,,,,,,185,0.021720875,0.11789772748947143,-0.8009940195083618,-0.02576642486033961,0.17481497198343277,0.2,0.001,0.008168857544660568,0.10909253358840942
,,,,,,11400,0.8,-0.25162284,0,38,2.15,16864,,,,,,,,,,
5149,0.86,-0.11806779941543936,1.74,0,11700,11700,,,,,,,190,0.026940268,0.1554545456171036,-0.7798627710342407,-0.030438676290214062,0.1958529156446457,0.2,0.001,0.034741323441267014,-0.036759257316589355
,,,,,,11700,0.77,-0.28422325,0,39,2.37,17360,,,,,,,,,,
5275,0.96,-0.05132936486043036,1.34,0,12000,12000,,,,,,,195,0.021027986,0.14272727310657501,-0.8213259196281433,-0.03014679905027151,0.19774140238761903,0.2,0.001,0.02603399008512497,0.12636977434158325
,,,,,,12000,0.77,-0.27311468,0,40,2.36,17804,,,,,,,,,,
5410,1.0,-0.009495212230831385,1.12,0,12300,12300,,,,,,,200,0.02906608,0.1774431821703911,-0.8530699348449707,-0.03130756754428148,0.19621663451194762,0.2,0.001,0.030050169676542282,0.06190800666809082
,,,,,,12300,0.82,-0.23762745,0,41,2.21,18240,,,,,,,,,,
5547,0.94,-0.06120237808674574,1.38,0,12600,12600,,,,,,,205,0.02530329,0.14659090965986252,-0.851858823299408,-0.02842059552669525,0.15620339006185532,0.2,0.001,-0.0037754960358142853,0.16647768020629883
,,,,,,12600,0.78,-0.28837192000000006,0,42,2.25,18675,,,,,,,,,,
5662,0.96,-0.0508839438855648,1.24,0,12900,12900,,,,,,,210,0.030025596,0.24818181812763215,-0.8365101504325867,-0.0270742142945528,0.19816070973873137,0.2,0.001,0.04606928303837776,0.08971911668777466
,,,,,,12900,0.73,-0.3126174200000001,0,43,2.59,19107,,,,,,,,,,
5796,0.92,-0.07467263617087155,1.46,0,13200,13200,,,,,,,215,0.039366405,0.209602273106575,-0.8009372520446777,-0.029918944146484137,0.16679590821266174,0.2,0.001,-0.00026901811361312866,0.15739089250564575
,,,,,,13200,0.82,-0.22503574,0,44,2.25,19562,,,,,,,,,,
5933,0.94,-0.05193384251091629,1.4,0,13500,13500,,,,,,,220,0.02140538,0.16704545468091964,-0.7955241799354553,-0.022175486283376813,0.14755815535783767,0.2,0.001,0.0003138519823551178,0.06269055604934692
,,,,,,13500,0.77,-0.29723966,0,45,2.33,20011,,,,,,,,,,
6074,0.98,-0.02807461322285235,1.14,0,13800,13800,,,,,,,225,0.032960027,0.1755681812763214,-0.8246593308448792,-0.028789049154147504,0.1487139356136322,0.2,0.001,-0.031137771904468536,0.29028987884521484
,,,,,,13800,0.83,-0.24125958000000003,0,46,2.11,20442,,,,,,,,,,
6212,0.9,-0.1197231033584103,1.64,0,14100,14100,,,,,,,230,0.03183318,0.20613636434078217,-0.7625586676597595,-0.039517454281449316,0.15239549428224564,0.2,0.001,-0.04032149538397789,0.22961199283599854
,,,,,,14100,0.81,-0.26163215000000006,0,47,2.2,20891,,,,,,,,,,
6349,0.94,-0.07409600039478391,1.3,0,14400,14400,,,,,,,235,0.021779783,0.114375,-0.6856477952003479,-0.024530639089643955,0.185070161819458,0.2,0.001,0.01879480481147766,0.29090416431427
,,,,,,14400,0.8,-0.24476711,0,48,2.13,21328,,,,,,,,,,
6485,1.0,-0.007843142193742096,1.16,0,14700,14700,,,,,,,240,0.023709942,0.11318181842565536,-0.651986026763916,-0.02751618526875973,0.2301396185159683,0.2,0.001,0.049480028450489044,0.04369044303894043
,,,,,,14700,0.78,-0.2986990200000001,0,49,2.24,21735,,,,,,,,,,
6630,0.98,-0.03466017636004835,1.3,0,15000,15000,,,,,,,245,0.027918484,0.1135795459151268,-0.6242597270011901,-0.02825652275234461,0.18730815827846528,0.2,0.001,0.037818387150764465,0.13982075452804565
,,,,,,15000,0.84,-0.18892401,0,50,1.99,22192,,,,,,,,,,
6780,0.9,-0.11839240747969598,1.64,0,15300,15300,,,,,,,250,0.03258579,0.16420454621315003,-0.6554524803161621,-0.032311138063669205,0.1612010070681572,0.2,0.001,-0.017387866973876953,0.25776952505111694
,,,,,,15300,0.83,-0.19438766999999998,0,51,2.09,22643,,,,,,,,,,
6936,1.0,-0.011958130467683077,1.22,0,15600,15600,,,,,,,255,0.018313501,0.12312500029802323,-0.6579499983787537,-0.01919940572232008,0.15926714539527892,0.2,0.001,0.0314386710524559,0.1032138466835022
,,,,,,15600,0.85,-0.19493049000000004,0,52,1.88,23093,,,,,,,,,,
7065,0.92,-0.0726504758745432,1.38,0,15900,15900,,,,,,,260,0.024348209,0.11812500029802322,-0.5595793747901916,-0.015020876377820968,0.15495263755321503,0.2,0.001,0.017102230340242386,0.20932579040527344
,,,,,,15900,0.77,-0.27696474,0,53,2.3,23552,,,,,,,,,,
7214,0.96,-0.0342241515731439,1.22,0,16200,16200,,,,,,,265,0.025337443,0.13789772748947143,-0.5621929097175599,-0.018488331008702518,0.16898802280426026,0.2,0.001,0.06078902631998062,0.12751305103302002
,,,,,,16200,0.86,-0.18322818999999996,0,54,1.84,23995,,,,,,,,,,
7373,0.98,-0.027311980961821972,1.1,0,16500,16500,,,,,,,270,0.012056952,0.06704545468091964,-0.5400665378570557,-0.020504368152469397,0.17916015028953552,0.2,0.001,0.05676408112049103,0.058499038219451904
,,,,,,16500,0.87,-0.17425210000000002,0,55,1.87,24413,,,,,,,,,,
7514,0.96,-0.05038507588673383,1.3,0,16800,16800,,,,,,,275,0.017939072,0.13551136434078218,-0.5907598781585693,-0.014579332731664181,0.15582600086927414,0.2,0.001,0.0003430023789405823,0.12318801879882812
,,,,,,16800,0.83,-0.18306332,0,56,1.99,24840,,,,,,,,,,
7664,0.94,-0.07634763271547854,1.36,0,17100,17100,,,,,,,280,0.012177238,0.11647727310657502,-0.4917312371730804,-0.0249282880499959,0.17327298134565353,0.2,0.001,0.012698255479335785,0.07696861028671265
,,,,,,17100,0.88,-0.15896054,0,57,1.99,25272,,,,,,,,,,
7800,0.96,-0.05194427726790309,1.4,0,17400,17400,,,,,,,285,0.02112033,0.09159090906381608,-0.41990865468978883,-0.020094586089253425,0.14790704488754272,0.2,0.001,0.021961435675621033,0.1099194884300232
,,,,,,17400,0.79,-0.21057832,0,58,2.15,25697,,,,,,,,,,
7946,0.92,-0.07543320470955223,1.44,0,17700,17700,,,,,,,290,0.014201378,0.10164772778749466,-0.4630799925327301,-0.009904641769826411,0.17120859324932097,0.2,0.001,0.027033958584070206,0.1501445174217224
,,,,,,17700,0.83,-0.23445365999999995,0,59,2.02,26117,,,,,,,,,,
8094,0.92,-0.07803458184935153,1.48,0,18000,18000,,,,,,,295,0.028781194,0.10715909123420715,-0.5054430317878723,-0.0278906103502959,0.19130480915307999,0.2,0.001,0.025489676743745804,0.011359214782714844
,,,,,,18000,0.81,-0.21916728,0,60,2.04,26533,,,,,,,,,,
8241,0.96,-0.030904953107237815,1.28,0,18300,18300,,,,,,,300,0.027943123,0.11715909123420715,-0.45286243796348574,-0.021594906486570836,0.19182844519615172,0.2,0.001,0.02216438576579094,-0.22608411312103271
,,,,,,18300,0.8,-0.24657583000000005,0,61,2.07,26960,,,,,,,,,,
8394,0.94,-0.0538113258080557,1.34,0,18600,18600,,,,,,,305,0.015989095,0.10568181842565537,-0.44427825570106505,-0.022222154596820472,0.18641875624656679,0.2,0.001,0.014176294207572937,0.11192739009857178
,,,,,,18600,0.84,-0.17700239999999995,0,62,1.93,27384,,,,,,,,,,
8535,0.92,-0.08061902529094368,1.5,0,18900,18900,,,,,,,310,0.022769466,0.11784090965986252,-0.5251092731952667,-0.025536220222711563,0.1441059896349907,0.2,0.001,0.0005579739809036255,0.13376253843307495
,,,,,,18900,0.78,-0.29055944999999994,0,63,2.31,27869,,,,,,,,,,
8703,0.94,-0.05556480013765395,1.44,0,19200,19200,,,,,,,315,0.019156277,0.1280681821703911,-0.5621718001365662,-0.02204837391152978,0.18508897066116334,0.2,0.001,0.03894956409931183,0.04808992147445679
,,,,,,19200,0.87,-0.14663096000000003,0,64,1.9,28320,,,,,,,,,,
8831,0.94,-0.07764120917767287,1.38,0,19500,19500,,,,,,,320,0.018734712,0.11659090965986252,-0.457737889289856,-0.02454948741942644,0.13282183080911636,0.2,0.001,0.011588599532842636,0.06496518850326538
,,,,,,19500,0.7,-0.31742335,0,65,2.41,28745,,,,,,,,,,
8987,0.92,-0.09182182090356945,1.42,0,19800,19800,,,,,,,325,0.022867788,0.09653409123420716,-0.4952702975273132,-0.02309150092303753,0.16515742629766464,0.2,0.001,0.013388428837060928,0.21961432695388794
,,,,,,19800,0.86,-0.19929959000000003,0,66,1.99,29171,,,,,,,,,,
9137,0.9,-0.09835620521102101,1.54,0,20100,20100,,,,,,,330,0.026064733,0.12363636404275895,-0.586458967924118,-0.026137336269021035,0.17047294557094575,0.2,0.001,0.035294629633426666,0.06923753023147583
,,,,,,20100,0.86,-0.17394663000000002,0,67,1.94,29599,,,,,,,,,,
9295,0.92,-0.07212873941287398,1.32,0,20400,20400,,,,,,,335,0.023740323,0.10988636374473572,-0.5135577130317688,-0.024775572158396243,0.14706429332494736,0.2,0.001,-0.003956567496061325,0.23029589653015137
,,,,,,20400,0.86,-0.16773641,0,68,1.79,30019,,,,,,,,,,
9453,0.92,-0.07685522540006787,1.44,0,20700,20700,,,,,,,340,0.011862939,0.10948863685131073,-0.39545131802558897,-0.013814182840287686,0.16948341310024262,0.2,0.001,0.04201734811067581,0.20372271537780762
,,,,,,20700,0.85,-0.1809908,0,69,1.82,30469,,,,,,,,,,
9616,0.96,-0.05186390537768602,1.32,0,21000,21000,,,,,,,345,0.015358487,0.07363636404275894,-0.37066477596759795,-0.014277782468125224,0.16800530076026918,0.2,0.001,0.02426779642701149,0.1570817232131958
,,,,,,21000,0.84,-0.21463616999999996,0,70,1.96,30904,,,,,,,,,,
9791,0.98,-0.009963773712515831,1.12,0,21300,21300,,,,,,,350,0.022066494,0.07289772778749466,-0.3149372035264969,-0.015439229179173708,0.14975010097026825,0.2,0.001,0.02766283228993416,0.21470242738723755
,,,,,,21300,0.89,-0.14342794,0,71,1.65,31316,,,,,,,,,,
9947,0.9,-0.11436668002046645,1.52,0,21600,21600,,,,,,,355,0.021920675,0.06903409123420716,-0.25997054159641264,-0.01570033695548773,0.16010324835777281,0.2,0.001,0.03357858210802078,0.050702691078186035
,,,,,,21600,0.9,-0.12913977999999998,0,72,1.86,31742,,,,,,,,,,
10087,0.9,-0.07756193316541612,1.52,0,21900,21900,,,,,,,360,0.01645484,0.05517045497894287,-0.21604153037071228,-0.012601366592571139,0.1556216299533844,0.2,0.001,0.0323239266872406,-0.027830123901367188
,,,,,,21900,0.79,-0.26331205,0,73,2.14,32205,,,,,,,,,,
10242,0.98,-0.03182646736036986,1.34,0,22200,22200,,,,,,,365,0.019961383,0.07386363685131073,-0.27124795496463777,-0.011342344172298909,0.17733601450920106,0.2,0.001,0.04111671447753906,0.17879831790924072
,,,,,,22200,0.81,-0.23393,0,74,1.9,32651,,,,,,,,,,
10391,0.94,-0.07056173522025347,1.3,0,22500,22500,,,,,,,370,0.02248786,0.09363636404275893,-0.3200963747501373,-0.013754921220242976,0.1599310427904129,0.2,0.001,0.049781106412410736,0.29758739471435547
,,,,,,22500,0.81,-0.23127900999999998,0,75,2.07,33095,,,,,,,,,,
10538,0.86,-0.11806526844389736,1.66,0,22800,22800,,,,,,,375,0.027144646,0.059488636553287504,-0.2650387704372406,-0.013010512543842197,0.12294035404920578,0.2,0.001,0.02522028610110283,0.4174152612686157
,,,,,,22800,0.82,-0.24103379,0,76,2.07,33557,,,,,,,,,,
10706,0.9,-0.1004634731542319,1.58,0,23100,23100,,,,,,,380,0.026968157,0.08534090965986252,-0.32555528163909914,-0.023602750301361084,0.16246602654457093,0.2,0.001,0.029322881251573563,0.24457532167434692
