env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.09673234089743346,102,1.5,300,300,0.92,,,,,,,,,,,,,,,,
,,,,300,,,0,0.6,1,469,2.97,-0.47963221000000006,,,,,,,,,,
0,-0.14800474689807744,202,1.66,600,600,0.86,,,,,,,0.2,0.21068181812763215,-1.9342124080657959,-0.03334641922265291,5,0.001,-0.40749895572662354,-0.025503769516944885,0.16545227229595183,0.011723615
,,,,600,,,0,0.63,2,919,3.0,-0.38939133000000004,,,,,,,,,,
0,-0.07139739281963557,307,1.42,900,900,0.94,,,,,,,0.2,0.18982954561710358,-1.9078492784500123,-0.028095675674558153,10,0.001,0.03823739290237427,0.01060328260064125,0.15908265620470047,0.011051585
,,,,900,,,0,0.66,3,1347,2.77,-0.38293441,,,,,,,,,,
0,-0.08042917924001813,409,1.44,1200,1200,0.92,,,,,,,0.2,0.1751704543828964,-1.8888657236099242,-0.03388260558247566,15,0.001,-0.11611711978912354,-0.038885340094566345,0.16107995316386223,0.014489202
,,,,1200,,,0,0.64,4,1765,2.9,-0.40155771000000007,,,,,,,,,,
0,-0.13683827427215875,519,1.58,1500,1500,0.88,,,,,,,0.2,0.14534090906381608,-1.858666558265686,-0.03357441700063646,20,0.001,-0.32379209995269775,-0.0016419142484664917,0.19282386362552642,0.010538949
,,,,1500,,,0,0.66,5,2222,2.75,-0.36433689,,,,,,,,,,
0,-0.04907063412480056,628,1.22,1800,1800,0.96,,,,,,,0.2,0.15755681931972504,-1.837979006767273,-0.03708670742809773,25,0.001,-0.03722524642944336,-0.03717953711748123,0.15133779883384704,0.014419511
,,,,1800,,,0,0.67,6,2639,2.72,-0.36323811999999994,,,,,,,,,,
0,-0.11442186831962317,741,1.46,2100,2100,0.9,,,,,,,0.2,0.17914772748947144,-1.8159952545166016,-0.03489888355135918,30,0.001,0.03718161582946777,-0.0350755900144577,0.1584819795191288,0.012543002
,,,,2100,,,0,0.7,7,3082,2.72,-0.3343897799999999,,,,,,,,,,
0,-0.051692032953724265,846,1.34,2400,2400,0.94,,,,,,,0.2,0.19198863685131073,-1.7612718152999878,-0.04592804331332445,35,0.001,0.024701058864593506,-0.07114218175411224,0.15869430512189864,0.014887972
,,,,2400,,,0,0.68,8,3528,2.79,-0.32855148,,,,,,,,,,
0,-0.11934623267967254,971,1.78,2700,2700,0.84,,,,,,,0.2,0.25176136374473573,-1.7211528635025024,-0.045245265886187554,40,0.001,0.017518937587738037,-0.03004247322678566,0.16292030692100526,0.017698929
,,,,2700,,,0,0.8,9,4010,2.28,-0.20502834999999997,,,,,,,,,,
0,-0.1013647017115727,1090,1.66,3000,3000,0.9,,,,,,,0.2,0.1965340906381607,-1.7021804141998291,-0.04772415481507778,45,0.001,0.10041552782058716,-0.031252432614564896,0.15398034781217576,0.02022424
,,,,3000,,,0,0.72,10,4464,2.55,-0.26128526,,,,,,,,,,
0,-0.14506951494608075,1209,1.66,3300,3300,0.88,,,,,,,0.2,0.20744318276643753,-1.6408898115158081,-0.04550600745715201,50,0.001,-0.16366052627563477,-0.017976395785808563,0.16605350852012635,0.019491626
,,,,3300,,,0,0.72,11,4895,2.61,-0.32226162,,,,,,,,,,
0,-0.09634040335658937,1333,1.38,3600,3600,0.92,,,,,,,0.2,0.30835227221250533,-1.6351941061019897,-0.05473920591175556,55,0.001,0.06092578172683716,-0.04774169251322746,0.166564938724041,0.031309254
,,,,3600,,,0,0.74,12,5314,2.45,-0.30987367,,,,,,,,,,
0,-0.00767689916305244,1453,1.12,3900,3900,1.0,,,,,,,0.2,0.11267045557498932,-1.6745060682296753,-0.040465335957705975,60,0.001,0.0945659875869751,-0.043372392654418945,0.15889008790254594,0.014923911
,,,,3900,,,0,0.77,13,5756,2.47,-0.26252654000000003,,,,,,,,,,
0,-0.0732678207475692,1573,1.32,4200,4200,0.94,,,,,,,0.2,0.1919318175315857,-1.6521770572662353,-0.04830114223062992,65,0.001,-0.017763853073120117,-0.03383616358041763,0.15421810388565063,0.017281923
,,,,4200,,,0,0.69,14,6204,2.57,-0.35119453000000006,,,,,,,,,,
0,-0.05186598070431501,1696,1.46,4500,4500,0.96,,,,,,,0.2,0.20272727251052858,-1.5365169763565063,-0.03757260255515575,70,0.001,0.10141092538833618,-0.028090886771678925,0.16976095050573348,0.030198049
