time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,env/current_idx,time/time_elapsed,time/fps,env/n_steps,rollout/ep_len_mean,env/completion_counter,time/iterations,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_range
30,0.8,-0.11128400000000002,21,43,0,30,1.5,0,1,,,,,,,,,,
60,0.8292682926829268,-0.09450341463414635,42,82,0,60,1.4634146341463414,0,2,0.061920298542827365,0.2366666838526726,-0.06486774030451965,0.03461744,-1.2579984664916992,-1.9330785632133485,-0.09511908888816833,10,0.001,0.2
90,0.8225806451612904,-0.09797564516129034,63,125,0,90,1.4516129032258065,0,3,0.018639551056548954,0.16000001057982444,-0.051870420761406424,0.025280215,-0.3898230791091919,-1.9204139590263367,-0.088541679084301,20,0.001,0.2
120,0.8804347826086957,-0.07516307608695653,93,170,0,120,1.3043478260869565,0,4,0.03951033791527152,0.35000001937150954,-0.05243196462591486,0.040714156,-0.7359774112701416,-1.8794704675674438,-0.06895208358764648,30,0.001,0.2
150,0.86,-0.07580532999999999,107,207,0,150,1.29,0,5,0.010521874902769924,0.1466666769236326,-0.03976692578755277,0.02242424,-19.243064880371094,-1.7975234270095826,-0.0764366015791893,40,0.001,0.2
180,0.9,-0.07989723000000001,135,246,0,180,1.27,0,6,0.096338452398777,0.173333340883255,-0.025347613415215166,0.03064987,-0.25831854343414307,-1.6807809114456176,-0.02698892541229725,50,0.001,0.2
210,0.91,-0.07400192,157,284,0,210,1.26,0,7,0.024672282766550778,0.2100000072270632,-0.03367148638392496,0.033715688,-0.07148849964141846,-1.566540789604187,-0.04896319657564163,60,0.001,0.2
240,0.89,-0.08354077,181,322,0,240,1.32,0,8,0.030296621099114417,0.13000000603497028,-0.043662677264461935,0.019522633,-1.578188419342041,-1.5338783502578734,-0.07818613201379776,70,0.001,0.2
270,0.91,-0.0747726,207,361,0,270,1.28,0,9,0.03090059794485569,0.4266666918992996,-0.04396836352845028,0.052023593,-1.0419366359710693,-1.366015076637268,-0.056534264236688614,80,0.001,0.2
300,0.87,-0.08685184,222,402,0,300,1.33,0,10,0.009432222926989198,0.3200000196695328,-0.038328067862118245,0.03469898,-0.8377478122711182,-1.4062726140022277,-0.07157831639051437,90,0.001,0.2
