env/current_idx,rollout/success_rate,time/fps,time/iterations,env/completion_counter,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/approx_kl
19,0.7777777777777778,0,1,0,30,30,-0.17197305555555553,38,1.6666666666666667,,,,,,,,,,
40,0.8717948717948718,0,2,0,60,60,-0.1341235641025641,75,1.5128205128205128,10,0.001,0.2,-0.08530376106500626,-1.930130422115326,0.34666669368743896,0.046440720558166504,-0.06903141157080768,0.16679440215229988,0.036145642
51,0.8,0,3,0,90,90,-0.17608671999999997,115,1.8,20,0.001,0.2,-0.07743582874536514,-1.930018949508667,0.1366666726768017,-2.0798168182373047,-0.04664976965636036,0.16925152838230134,0.019659685
68,0.7910447761194029,0,4,0,120,120,-0.16366616417910446,154,1.791044776119403,30,0.001,0.2,-0.05532602593302727,-1.897951877117157,0.20666667968034744,-0.370790958404541,-0.04928373156425851,0.10214016512036324,0.02488098
87,0.7906976744186046,0,5,0,150,150,-0.15929993023255812,190,1.744186046511628,40,0.001,0.2,-0.0552695170044899,-1.908651554584503,0.23333334363996983,-0.7921128273010254,-0.04114389453704152,0.08803700953722,0.02202865
104,0.79,0,6,0,180,180,-0.16592734,227,1.76,50,0.001,0.2,-0.07750306278467178,-1.9206737756729126,0.25333334133028984,0.07907521724700928,-0.04952933032531313,0.048349141143262386,0.031631656
124,0.77,0,7,0,210,210,-0.16055961,264,1.75,60,0.001,0.2,-0.023089699447155,-1.911644196510315,0.17333334423601626,0.261233925819397,-0.038277588489776096,0.21048442125320435,0.02121111
151,0.81,0,8,0,240,240,-0.11492559999999997,303,1.5,70,0.001,0.2,-0.045457787811756134,-1.9027896881103517,0.19333334378898143,-0.7501463890075684,-0.049171887145688056,0.1314709022641182,0.027775021
178,0.85,0,9,0,270,270,-0.08308252,342,1.31,80,0.001,0.2,-0.06414526700973511,-1.8820644855499267,0.23000001162290573,-2.1364245414733887,-0.036092371363967854,0.02470775516703725,0.025827112
199,0.86,0,10,0,300,300,-0.10472638,379,1.37,90,0.001,0.2,-0.08764025568962097,-1.8892592191696167,0.21333334483206273,-4.597132205963135,-0.05551712542772336,0.01050516557879746,0.036823776
220,0.9,0,11,0,330,330,-0.08976482000000002,418,1.26,100,0.001,0.2,0.06041119247674942,-1.8601009607315064,0.12333333939313888,-0.01588571071624756,-0.04340194607153549,0.48326336145401,0.021014078
243,0.88,0,12,0,360,360,-0.10633675000000001,456,1.3,110,0.001,0.2,-0.02564980834722519,-1.8601349234580993,0.21666667908430098,-0.02736508846282959,-0.05814862229240454,0.3337904825806618,0.033810038
269,0.9,0,13,0,390,390,-0.10618415,494,1.29,120,0.001,0.2,-0.07201636582612991,-1.7483259439468384,0.2566666767001152,0.02101290225982666,-0.04325966145222395,0.04910683874040842,0.021540139
285,0.87,0,14,0,420,420,-0.13607182,540,1.43,130,0.001,0.2,-0.10355482995510101,-1.8334576725959777,0.4333333559334278,0.04634732007980347,-0.06193594475587201,0.008560132817365229,0.058393423
305,0.85,0,15,0,450,450,-0.12303602,582,1.43,140,0.001,0.2,0.04507654905319214,-1.8345133304595946,0.10000000409781933,-0.24571120738983154,-0.027789723371776275,0.4154351562261581,0.02472238
327,0.87,0,16,0,480,480,-0.10360536999999999,616,1.4,150,0.001,0.2,-0.03354744613170624,-1.8529935956001282,0.16000000685453414,0.19555622339248657,-0.04188615596697929,0.13314832001924515,0.024762629
342,0.85,0,17,0,510,510,-0.10860762000000002,651,1.48,160,0.001,0.2,-0.08649903535842896,-1.84591646194458,0.20666667595505714,0.14164036512374878,-0.0578005564026534,0.02907241601496935,0.030537266
365,0.83,0,18,0,540,540,-0.12099876999999998,687,1.57,170,0.001,0.2,-0.08937330543994904,-1.846006202697754,0.2766666807234287,0.0782209038734436,-0.06914204188933012,0.08896963894367219,0.04759674
381,0.83,0,19,0,570,570,-0.13650848,727,1.61,180,0.001,0.2,-0.1199968159198761,-1.7968116283416748,0.38000001944601536,-1.2080879211425781,-0.08363173402845839,0.02794897332787514,0.092490666
406,0.84,0,20,0,600,600,-0.10072707999999998,766,1.44,190,0.001,0.2,0.005855962634086609,-1.7623779058456421,0.173333340883255,0.06045663356781006,-0.047070650632182874,0.3278441056609154,0.01981546
418,0.81,0,21,0,630,630,-0.12510107999999998,799,1.6,200,0.001,0.2,-0.07073980569839478,-1.6642603993415832,0.29333335496485236,-1.6768994331359863,-0.05836494989072207,0.11403458788990975,0.060011916
428,0.79,0,22,0,660,660,-0.17262185999999996,841,1.78,210,0.001,0.2,-0.06077934801578522,-1.6450042247772216,0.1600000098347664,0.011240780353546143,-0.053543527703732254,0.15451156720519066,0.033395164
