eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/n_steps,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/learning_rate
-0.0913820089865476,16,1.24,30,0.9,30,0,,,,,,,,,,,,,,,,
,,,30,,,,2.0,-0.45756520000000006,1,0,132,0.5333333333333333,,,,,,,,,,
-0.11372047197539359,29,1.28,60,0.88,60,0,,,,,,,10,-0.08469084650278091,-0.1646885871887207,-1.9395191073417664,0.4724736373871565,-0.05895399501547231,0.12666667029261588,0.021799902,0.2,0.001
,,,60,,,,2.107142857142857,-0.5587606785714285,2,0,248,0.4642857142857143,,,,,,,,,,
-0.24051571326330304,43,1.56,90,0.76,90,0,,,,,,,20,-0.04888604208827019,-0.15885698795318604,-1.9351640820503235,0.1984546363353729,-0.04952996188619476,0.11000000201165676,0.017925799,0.2,0.001
,,,90,,,,2.119047619047619,-0.5129443571428571,3,0,380,0.4523809523809524,,,,,,,,,,
-0.21476832196116447,56,1.54,120,0.74,120,0,,,,,,,30,-0.1143103688955307,0.026350677013397217,-1.9282976269721985,0.12145682070404291,-0.06692160780852063,0.21666667312383653,0.024145823,0.2,0.001
,,,120,,,,2.1818181818181817,-0.5227734727272728,4,0,502,0.43636363636363634,,,,,,,,,,
-0.0897970261797309,68,1.28,150,0.9,150,0,,,,,,,40,-0.09813268482685089,-0.3409569263458252,-1.9239060163497925,0.19004422947764396,-0.061698957389841436,0.24000000692903994,0.03507955,0.2,0.001
,,,150,,,,2.2388059701492535,-0.5823584776119403,5,0,624,0.40298507462686567,,,,,,,,,,
-0.07245328248944133,80,1.26,180,0.9,180,0,,,,,,,50,-0.04958250746130943,-0.4661898612976074,-1.9252389311790465,0.17880618944764137,-0.04109287692389137,0.1300000064074993,0.01873075,0.2,0.001
,,,180,,,,2.2531645569620253,-0.587943417721519,6,0,732,0.3924050632911392,,,,,,,,,,
-0.15361092309467494,95,1.44,210,0.8,210,0,,,,,,,60,-0.09210402518510818,-1.1655898094177246,-1.914467716217041,0.17722854502499102,-0.05133307712152604,0.17000000476837157,0.016469141,0.2,0.001
,,,210,,,,2.234042553191489,-0.5779255425531914,7,0,851,0.4148936170212766,,,,,,,,,,
-0.0495438057789579,106,1.2,240,0.92,240,0,,,,,,,70,-0.09719149768352509,-0.48841309547424316,-1.8894000768661499,0.21273616291582584,-0.06378320857261635,0.19666667208075522,0.041071493,0.2,0.001
,,,240,,,,2.29,-0.57460633,8,0,959,0.4,,,,,,,,,,
-0.04898055631201714,120,1.2,270,0.94,270,0,,,,,,,80,-0.04442402720451355,-0.31771230697631836,-1.820063865184784,0.1679074063897133,-0.04496844351912541,0.38666667193174364,0.047433384,0.2,0.001
,,,270,,,,2.32,-0.58249141,9,0,1072,0.39,,,,,,,,,,
-0.04857359929475933,133,1.14,300,0.96,300,0,,,,,,,90,-0.05353673920035362,0.13245797157287598,-1.719464111328125,0.14636149555444716,-0.04967974239572266,0.2433333359658718,0.03878467,0.2,0.001
,,,300,,,,2.3,-0.55021813,10,0,1174,0.4,,,,,,,,,,
-0.15322702532168478,144,1.38,330,0.86,330,0,,,,,,,100,-0.02462945505976677,-1.5040943622589111,-1.6514673113822937,0.2919882841408253,-0.0389420506979028,0.126666671410203,0.030766152,0.2,0.001
,,,330,,,,2.38,-0.6229805499999999,11,0,1300,0.36,,,,,,,,,,
-0.1306017004046589,156,1.32,360,0.86,360,0,,,,,,,110,-0.03313469886779785,-2.4322879314422607,-1.6997228384017944,0.12176855690777302,-0.0364553043091048,0.3033333390951157,0.023140924,0.2,0.001
,,,360,,,,2.4,-0.63042279,12,0,1414,0.34,,,,,,,,,,
-0.11158074345439672,173,1.3,390,0.88,390,0,,,,,,,120,0.035298220813274384,-0.1316220760345459,-1.5895514726638793,0.2463989958167076,-0.02442973841117535,0.08666666820645333,0.019488934,0.2,0.001
,,,390,,,,2.3,-0.56682948,13,0,1523,0.4,,,,,,,,,,
-0.04846313633956015,188,1.18,420,0.94,420,0,,,,,,,130,-0.01929117739200592,0.05264180898666382,-1.4990293383598328,0.19732396453619003,-0.046130587072111685,0.20666666962206365,0.03485172,0.2,0.001
,,,420,,,,2.26,-0.55723559,14,0,1627,0.42,,,,,,,,,,
-0.17836515653878451,203,1.4,450,0.8,450,0,,,,,,,140,-0.04158519580960274,0.18657582998275757,-1.4723519563674927,0.16558687910437583,-0.06240565642714504,0.31000000312924386,0.058650374,0.2,0.001
,,,450,,,,2.18,-0.54670332,15,0,1747,0.44,,,,,,,,,,
-0.08944566115736961,217,1.28,480,0.88,480,0,,,,,,,150,-0.07551327347755432,0.11750274896621704,-1.371128499507904,0.15232474207878113,-0.04730631553257503,0.07333333604037762,0.01983703,0.2,0.001
,,,480,,,,2.16,-0.53734486,16,0,1861,0.45,,,,,,,,,,
-0.04829028379637748,233,1.18,510,0.92,510,0,,,,,,,160,-0.06187542900443077,-0.04621577262878418,-1.5374589920043946,0.18180304169654846,-0.05547553728024148,0.22666667252779008,0.040174358,0.2,0.001
,,,510,,,,2.11,-0.5058958299999999,17,0,1982,0.49,,,,,,,,,,
-0.09073697500862181,247,1.34,540,0.86,540,0,,,,,,,170,-0.0631214901804924,0.040799617767333984,-1.2987187266349793,0.19238577112555505,-0.05872387607892353,0.21000000312924386,0.03475762,0.2,0.001
,,,540,,,,2.03,-0.4620545,18,0,2096,0.53,,,,,,,,,,
-0.09101075401064009,263,1.3,570,0.88,570,0,,,,,,,180,-0.06989705562591553,-0.2936561107635498,-1.5896357774734498,0.19459413588047028,-0.05736948507837951,0.17666667103767394,0.024257319,0.2,0.001
,,,570,,,,1.99,-0.42686778999999997,19,0,2208,0.55,,,,,,,,,,
-0.02865353931672871,284,1.18,600,0.94,600,0,,,,,,,190,-0.062215205281972885,-0.030754923820495605,-1.550151538848877,0.18550319150090216,-0.0732445062634846,0.32333333864808084,0.078125514,0.2,0.001
,,,600,,,,1.86,-0.35345546999999994,20,0,2323,0.62,,,,,,,,,,
