eval/success_rate,eval/mean_reward,env/completion_counter,env/n_steps,time/total_timesteps,eval/mean_ep_length,env/current_idx,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss
0.74,-0.23589904393535108,0,30,30,1.52,16,,,,,,,,,,,,,,,,
,,,,30,,,1.9333333333333333,0.6,159,-0.36887119999999995,1,0,,,,,,,,,,
0.84,-0.1558457698021084,0,60,60,1.38,28,,,,,,,10,0.08799525741487742,-0.06996983191619313,-1.9337068438529967,0.034332406,0.29333333522081373,0.001,0.2,-0.10432612895965576,-0.09767809510231018
,,,,60,,,2.2222222222222223,0.48148148148148145,276,-0.5320311851851852,2,0,,,,,,,,,,
0.94,-0.06733544886112214,0,90,90,1.14,40,,,,,,,20,0.1392876461148262,-0.04718302727987371,-1.9019110441207885,0.021516854,0.10666666962206364,0.001,0.2,-0.059938907623291016,-0.07455030083656311
,,,,90,,,2.2564102564102564,0.4358974358974359,382,-0.5690480256410257,3,0,,,,,,,,,,
0.96,-0.047371885487809774,0,120,120,1.08,54,,,,,,,30,0.10916488468647004,-0.059811043770362816,-1.8063307762145997,0.04871564,0.3166666716337204,0.001,0.2,0.0037439465522766113,-0.07154993712902069
,,,,120,,,2.2452830188679247,0.4339622641509434,483,-0.5458704150943395,4,0,,,,,,,,,,
0.94,-0.07067546448670328,0,150,150,1.22,69,,,,,,,40,0.1239554800093174,-0.031719902170201306,-1.7390361070632934,0.0290447,0.2400000050663948,0.001,0.2,0.32517504692077637,-0.03949872404336929
,,,,150,,,2.2058823529411766,0.45588235294117646,597,-0.5016786764705882,5,0,,,,,,,,,,
0.96,-0.028631300018168986,0,180,180,1.16,85,,,,,,,50,0.19428435415029527,-0.02048715103029588,-1.7273336172103881,0.01671916,0.09666666984558106,0.001,0.2,-0.1243283748626709,-0.0171976238489151
,,,,180,,,2.130952380952381,0.4880952380952381,700,-0.4875425833333332,6,0,,,,,,,,,,
0.9,-0.09105241319630294,0,210,210,1.28,100,,,,,,,60,0.21930878162384032,-0.04361245073998976,-1.741859793663025,0.02050841,0.10000000298023223,0.001,0.2,-0.6971333026885986,-0.05631394684314728
,,,,210,,,2.121212121212121,0.494949494949495,808,-0.49896710101010094,7,0,,,,,,,,,,
