env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,15,-0.25616763999685643,30,0.76,1.5,30,,,,,,,,,,,,,,,,
,,,30,,,,1,0.5714285714285714,145,0,2.0714285714285716,-0.3749047142857143,,,,,,,,,,
0,27,-0.06900507992133498,60,0.92,1.18,60,,,,,,,0.10666667148470879,0.2,0.018458737,-0.05126106693098951,0.001,0.23381089866161348,-1.9415178656578065,-0.054528605192899704,-0.41144514083862305,10
,,,60,,,,2,0.46153846153846156,247,0,2.230769230769231,-0.5533961923076923,,,,,,,,,,
0,39,-0.15320393952541053,90,0.84,1.44,90,,,,,,,0.20333333685994148,0.2,0.024802871,-0.07026618204390007,0.001,0.06130866063758731,-1.9277095675468445,-0.11565963923931122,0.05454277992248535,20
,,,90,,,,3,0.39473684210526316,378,0,2.3421052631578947,-0.6086992105263157,,,,,,,,,,
0,52,-0.09201944560743869,120,0.9,1.34,120,,,,,,,0.17666666805744172,0.2,0.023072021,-0.03300442504851766,0.001,0.2031372830271721,-1.9318574786186218,-0.03991606831550598,-0.8217431306838989,30
,,,120,,,,4,0.43137254901960786,487,0,2.3333333333333335,-0.5886260980392157,,,,,,,,,,
0,67,-0.1537611709255725,150,0.78,1.48,150,,,,,,,0.3366666682064533,0.2,0.03952928,-0.07128243558108807,0.001,0.1716350108385086,-1.9299162030220032,-0.08649693429470062,-0.10790121555328369,40
,,,150,,,,5,0.4696969696969697,618,0,2.242424242424242,-0.5657920909090909,,,,,,,,,,
0,83,-0.13133123974315822,180,0.84,1.38,180,,,,,,,0.14333333671092988,0.2,0.0168171,-0.046646884689107534,0.001,0.14371529668569566,-1.9063151478767395,-0.06985609978437424,0.14302271604537964,50
,,,180,,,,6,0.4878048780487805,727,0,2.182926829268293,-0.5462136097560977,,,,,,,,,,
0,97,-0.1924176444206387,210,0.8,1.4,210,,,,,,,0.1366666689515114,0.2,0.023433406,-0.03902559415825344,0.001,0.2192987434566021,-1.873325765132904,-0.02539694681763649,0.11468231678009033,60
,,,210,,,,7,0.4791666666666667,858,0,2.1875,-0.5260564375,,,,,,,,,,
0,109,-0.13156505323946477,240,0.86,1.38,240,,,,,,,0.19666667133569718,0.2,0.02779516,-0.04193581309790408,0.001,0.18093080669641495,-1.8199741005897523,-0.03264417499303818,-0.11159515380859375,70
,,,240,,,,8,0.47,974,0,2.21,-0.52417932,,,,,,,,,,
0,125,-0.13173858426976948,270,0.88,1.32,270,,,,,,,0.15666667073965074,0.2,0.019848721,-0.03830832093954086,0.001,0.23254540041089058,-1.748259389400482,-0.03007388859987259,-0.6959085464477539,80
,,,270,,,,9,0.48,1089,0,2.18,-0.5136746799999999,,,,,,,,,,
0,139,-0.0888701898790896,300,0.92,1.2,300,,,,,,,0.19000000655651092,0.2,0.024492063,-0.052601950357978565,0.001,0.24525926411151885,-1.7468382954597472,-0.05702478438615799,-0.3215442895889282,90
,,,300,,,,10,0.53,1209,0,2.09,-0.46260155,,,,,,,,,,
0,154,-0.09057218520902097,330,0.92,1.26,330,,,,,,,0.4266666680574417,0.2,0.04188384,-0.07486831684907269,0.001,0.1958317682147026,-1.6532932996749878,-0.09337404370307922,-0.3039579391479492,100
,,,330,,,,11,0.55,1316,0,2.03,-0.43057060999999996,,,,,,,,,,
