time/time_elapsed,env/n_steps,env/current_idx,rollout/ep_len_mean,env/completion_counter,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
35,30,21,1.5,0,0,30,0.9,-0.06515555,1,,,,,,,,,,,,,
74,60,46,1.3333333333333333,0,0,60,0.9555555555555556,-0.03400153333333335,2,0.001,0.2012913178652525,0.2,0.026050974,-0.05618514914686479,-1.7915325164794922,-0.0300498865544796,-1.9365571856498718,10,0.23333333879709245,,,
108,90,68,1.2985074626865671,0,0,90,0.9552238805970149,-0.040916955223880606,3,0.001,0.03521654978394508,0.2,0.025993394,-0.05831524481996908,-1212.0093994140625,-0.09656234830617905,-1.9072718739509582,20,0.21333333626389503,,,
151,120,83,1.451219512195122,0,0,120,0.9146341463414634,-0.0504648780487805,4,0.001,0.07469387575984002,0.2,0.0319114,-0.06080512197067338,-0.5389090776443481,-0.07580474019050598,-1.9198768258094787,30,0.32000000327825545,,,
186,150,102,1.46,0,0,150,0.91,-0.053366839999999985,5,0.001,0.027810592018067837,0.2,0.019691745,-0.05257710109464817,-0.633918285369873,-0.10138370841741562,-1.9165010929107666,40,0.10000000335276127,,,
219,180,119,1.53,0,0,180,0.89,-0.08458257,6,0.001,0.14642453826963903,0.2,0.043906197,-0.07345531186709806,-0.3909018039703369,-0.10379941016435623,-1.8653442025184632,50,0.3433333311229944,,,
253,210,142,1.53,0,0,210,0.87,-0.10563591999999998,7,0.001,0.15718394070863723,0.2,0.022705933,-0.05451016648051645,0.12727642059326172,-0.09748129546642303,-1.8491026639938355,60,0.1566666703671217,,,
284,240,160,1.61,0,0,240,0.85,-0.12001851000000002,8,0.001,0.07960835173726082,0.2,0.03349781,-0.056917146939473806,0.26062774658203125,-0.09956089407205582,-1.815542709827423,70,0.2133333370089531,,,
319,270,182,1.52,0,0,270,0.88,-0.11796679999999998,9,0.001,0.1379686687141657,0.2,0.0408631,-0.05830368251229316,-0.2726588249206543,-0.09184404462575912,-1.8327739834785461,80,0.3333333358168602,,,
353,300,199,1.52,0,0,300,0.88,-0.12909135999999996,10,0.001,0.05864397995173931,0.2,0.03959643,-0.055849178265780355,-0.3072681427001953,-0.09066299349069595,-1.821450161933899,90,0.38333333730697633,,,
