Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.001_ns30_bs256_ep10_ia0_el4_ftno_shot_20250326-102803
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 19       |
|    n_steps            | 30       |
| rollout/              |          |
|    ep_len_mean        | 1.67     |
|    ep_rew_mean        | -0.127   |
|    success_rate       | 0.889    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 39       |
|    total_timesteps    | 30       |
------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 39          |
|    n_steps              | 60          |
| rollout/                |             |
|    ep_len_mean          | 1.55        |
|    ep_rew_mean          | -0.12       |
|    success_rate         | 0.895       |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 74          |
|    total_timesteps      | 60          |
| train/                  |             |
|    approx_kl            | 0.027571252 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.94       |
|    explained_variance   | -0.176      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0576     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0606     |
|    value_loss           | 0.152       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 58          |
|    n_steps              | 90          |
| rollout/                |             |
|    ep_len_mean          | 1.58        |
|    ep_rew_mean          | -0.121      |
|    success_rate         | 0.877       |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 113         |
|    total_timesteps      | 90          |
| train/                  |             |
|    approx_kl            | 0.025742957 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.9        |
|    explained_variance   | 0.135       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0782     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0535     |
|    value_loss           | 0.0715      |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 76         |
|    n_steps              | 120        |
| rollout/                |            |
|    ep_len_mean          | 1.6        |
|    ep_rew_mean          | -0.136     |
|    success_rate         | 0.867      |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 4          |
|    time_elapsed         | 148        |
|    total_timesteps      | 120        |
| train/                  |            |
|    approx_kl            | 0.03865498 |
|    clip_fraction        | 0.357      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.84      |
|    explained_variance   | 0.21       |
|    learning_rate        | 0.001      |
|    loss                 | -0.0698    |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.056     |
|    value_loss           | 0.0744     |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 97          |
|    n_steps              | 150         |
| rollout/                |             |
|    ep_len_mean          | 1.55        |
|    ep_rew_mean          | -0.119      |
|    success_rate         | 0.885       |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 186         |
|    total_timesteps      | 150         |
| train/                  |             |
|    approx_kl            | 0.034590952 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.8        |
|    explained_variance   | -0.0964     |
|    learning_rate        | 0.001       |
|    loss                 | -0.076      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0531     |
|    value_loss           | 0.132       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 112         |
|    n_steps              | 180         |
| rollout/                |             |
|    ep_len_mean          | 1.6         |
|    ep_rew_mean          | -0.156      |
|    success_rate         | 0.85        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 220         |
|    total_timesteps      | 180         |
| train/                  |             |
|    approx_kl            | 0.025143217 |
|    clip_fraction        | 0.08        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.0262      |
|    learning_rate        | 0.001       |
|    loss                 | -0.0512     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0274     |
|    value_loss           | 0.0869      |
-----------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 134        |
|    n_steps              | 210        |
| rollout/                |            |
|    ep_len_mean          | 1.59       |
|    ep_rew_mean          | -0.155     |
|    success_rate         | 0.85       |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 7          |
|    time_elapsed         | 251        |
|    total_timesteps      | 210        |
| train/                  |            |
|    approx_kl            | 0.03485263 |
|    clip_fraction        | 0.223      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.75      |
|    explained_variance   | 0.303      |
|    learning_rate        | 0.001      |
|    loss                 | -0.0661    |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0527    |
|    value_loss           | 0.132      |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 151         |
|    n_steps              | 240         |
| rollout/                |             |
|    ep_len_mean          | 1.58        |
|    ep_rew_mean          | -0.156      |
|    success_rate         | 0.85        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 8           |
|    time_elapsed         | 282         |
|    total_timesteps      | 240         |
| train/                  |             |
|    approx_kl            | 0.025522292 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.78       |
|    explained_variance   | 0.274       |
|    learning_rate        | 0.001       |
|    loss                 | -0.0535     |
