rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,env/n_steps,time/total_timesteps,time/fps,env/current_idx,time/time_elapsed,env/completion_counter,train/n_updates,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
-0.12684405555555556,1,1.6666666666666667,0.8888888888888888,30,30,0,19,39,0,,,,,,,,,,,,,
-0.12025352631578946,2,1.5526315789473684,0.8947368421052632,60,60,0,39,74,0,10,-0.17635416984558105,-0.057598013430833817,0.027571252,0.15190976429730654,0.18666666559875011,-1.9374497532844543,0.001,0.2,-0.06056446151807906,,,
-0.12116808771929823,3,1.5789473684210527,0.8771929824561403,90,90,0,58,113,0,20,0.13464975357055664,-0.07819996029138565,0.025742957,0.0714687891304493,0.1666666693985462,-1.901003611087799,0.001,0.2,-0.053501342441886736,,,
-0.13586710666666665,4,1.6,0.8666666666666667,120,120,0,76,148,0,30,0.21036648750305176,-0.06975308060646057,0.03865498,0.07442541364580393,0.35666666775941847,-1.8436721205711364,0.001,0.2,-0.056048578899353704,,,
-0.11930376041666668,5,1.5520833333333333,0.8854166666666666,150,150,0,97,186,0,40,-0.09640061855316162,-0.07604359090328217,0.034590952,0.13182236291468144,0.2266666680574417,-1.8014491319656372,0.001,0.2,-0.05311636198932934,,,
-0.15573809,6,1.6,0.85,180,180,0,112,220,0,50,0.026241838932037354,-0.05122377723455429,0.025143217,0.08688171096146106,0.08000000156462192,-1.7778996586799622,0.001,0.2,-0.02735953868599612,,,
-0.15530201999999999,7,1.59,0.85,210,210,0,134,251,0,60,0.30344074964523315,-0.06613789498806,0.03485263,0.13156316317617894,0.22333333790302276,-1.7549511790275574,0.001,0.2,-0.05268150993001974,,,
-0.15586540000000004,8,1.58,0.85,240,240,0,151,282,0,70,0.27372199296951294,-0.053510501980781555,0.025522292,0.08306902833282948,0.15000000186264514,-1.7779361009597778,0.001,0.2,-0.033569116265668345,,,
-0.15652946,9,1.62,0.85,270,270,0,170,314,0,80,0.46663063764572144,-0.038404349237680435,0.021842642,0.08753729201853275,0.11000000312924385,-1.7297978043556212,0.001,0.2,-0.032932268753647784,,,
-0.16600032000000003,10,1.62,0.84,300,300,0,189,345,0,90,-0.8020496368408203,-0.08695493638515472,0.011491483,0.08072115816175937,0.09666666947305202,-1.7038252353668213,0.001,0.2,-0.043830620509882935,,,
-0.1448206,11,1.56,0.86,330,330,0,209,376,0,100,0.11040240526199341,-0.07059065997600555,0.021626217,0.11547675579786301,0.18000000454485415,-1.7598965764045715,0.001,0.2,-0.04197203003490948,,,
-0.16634737000000002,12,1.63,0.84,360,360,0,224,407,0,110,0.0043558478355407715,-0.03908701241016388,0.027926378,0.1461204893887043,0.17000000402331353,-1.7297099590301515,0.001,0.2,-0.02985894554760309,,,
-0.16591835,13,1.62,0.85,390,390,0,243,440,0,120,0.30913227796554565,-0.06710727512836456,0.029647581,0.12918034195899963,0.27000000327825546,-1.778191041946411,0.001,0.2,-0.05558150960753352,,,
-0.16675321999999998,14,1.64,0.84,420,420,0,263,474,0,130,0.24627536535263062,-0.10832945257425308,0.06911777,0.1079875748604536,0.39999999590218066,-1.8183763384819032,0.001,0.2,-0.07862667964150508,,,
-0.1245071,15,1.5,0.87,450,450,0,287,508,0,140,0.12121564149856567,-0.04652766138315201,0.085862175,0.07627560570836067,0.31333333924412726,-1.8616493940353394,0.001,0.2,-0.03888094267031796,,,
-0.09387785999999998,16,1.45,0.89,480,480,0,311,555,0,150,0.114876389503479,-0.05425750091671944,0.047356263,0.039519486390054225,0.27000000029802323,-1.8428304672241211,0.001,0.2,-0.03917768720071777,,,
-0.05218914999999999,17,1.31,0.93,510,510,0,335,587,0,160,0.5909168124198914,-0.09783560782670975,0.0364925,0.018987319711595774,0.2000000037252903,-1.81703941822052,0.001,0.2,-0.05364783247932792,,,
-0.05135641,18,1.32,0.93,540,540,0,356,620,0,170,-0.02314746379852295,-0.058335766196250916,0.025631538,0.0699154643341899,0.24666666910052298,-1.7939175724983216,0.001,0.2,-0.03521435375014943,,,
-0.08370537,19,1.4,0.91,570,570,0,371,655,0,180,-0.42321979999542236,-0.05757823586463928,0.013068515,0.09572435356676579,0.09000000283122063,-1.7799155831336975,0.001,0.2,-0.03603898467185616,,,
-0.07371286,20,1.4,0.92,600,600,0,395,690,0,190,-0.14498960971832275,-0.021795444190502167,0.014539475,0.26432305574417114,0.0833333358168602,-1.7861689805984498,0.001,0.2,-0.04078955532362052,,,
-0.08408891,21,1.44,0.92,630,630,0,417,727,0,200,-94.89888763427734,-0.05764758586883545,0.028066467,0.11668775118887424,0.11000000201165676,-1.7721062541007995,0.001,0.2,-0.045832630737374244,,,
-0.09431004000000001,22,1.44,0.91,660,660,0,441,760,0,210,0.2676883339881897,-0.02813074178993702,0.02817219,0.09495851285755634,0.16000000350177288,-1.7598143458366393,0.001,0.2,-0.033134148263634346,,,
-0.06144353,23,1.29,0.95,690,690,0,467,794,0,220,0.1548302173614502,-0.054838746786117554,0.04517011,0.1466772325336933,0.31000000834465025,-1.7184398293495178,0.001,0.2,-0.06371173037836933,,,
-0.04165476,24,1.26,0.97,720,720,0,492,832,0,230,-13.599886894226074,-0.07598406076431274,0.024705512,0.04007398560643196,0.12333333455026149,-1.6464492678642273,0.001,0.2,-0.03526516388945922,,,
-0.04671117999999999,25,1.27,0.96,750,750,0,512,864,0,240,-19.774154663085938,-0.08202432096004486,0.06286049,0.016971686203032733,0.4099999971687794,-1.4178259372711182,0.001,0.2,-0.058853994266440515,,,
-0.06656258999999999,26,1.33,0.94,780,780,0,528,897,0,250,-0.09089624881744385,-0.007068842649459839,0.028693669,0.15891046524047853,0.19000000283122062,-1.329661500453949,0.001,0.2,-0.04221929659446104,,,
-0.09861653000000001,27,1.43,0.91,810,810,0,548,941,0,260,0.05354362726211548,-0.0015320032835006714,0.013767191,0.216313698887825,0.0900000024586916,-1.36430504322052,0.001,0.2,-0.0380093408717463,,,
-0.10885858000000001,28,1.46,0.9,840,840,0,571,981,0,270,0.19166332483291626,-0.021967735141515732,0.028287675,0.17182982042431832,0.12666666842997074,-1.2500588297843933,0.001,0.2,-0.036868856500756664,,,
-0.11976668,29,1.47,0.88,870,870,0,594,1015,0,280,0.28267085552215576,-0.05195161700248718,0.031857144,0.07216850854456425,0.1966666705906391,-1.2715228199958801,0.001,0.2,-0.040795663564155406,,,
-0.10540514999999999,30,1.4,0.9,900,900,0,616,1047,0,290,0.3917771577835083,-0.06696155667304993,0.019854987,0.03879504585638642,0.09333333596587182,-1.3047112226486206,0.001,0.2,-0.03659062774231003,,,
-0.08564107000000001,31,1.42,0.91,930,930,0,633,1078,0,300,0.3533034920692444,-0.08726974576711655,0.024277503,0.07289654910564422,0.14000000283122063,-1.2356993079185485,0.001,0.2,-0.05174556376412509,,,
-0.05626154,32,1.36,0.94,960,960,0,657,1114,0,310,-1.3675577640533447,-0.03796076402068138,0.016836073,0.15373383536934854,0.0866666678339243,-1.1693975806236268,0.001,0.2,-0.04193829082263019,,,
-0.06768665,33,1.47,0.92,990,990,0,674,1150,0,320,-1.039254903793335,-0.07280079275369644,0.020567328,0.018062003911472856,0.1066666692495346,-1.0483206748962401,0.001,0.2,-0.04435544073892146,,,
-0.07767632000000001,34,1.51,0.91,1020,1020,0,693,1181,0,330,0.042745888233184814,-0.047004446387290955,0.098939314,0.07595505639910698,0.5166666612029076,-1.1962446331977845,0.001,0.2,-0.05977901309728626,,,
-0.09020316,35,1.57,0.9,1050,1050,0,713,1217,0,340,-0.021820783615112305,-0.0005927681922912598,0.04406679,0.17561209350824356,0.46666666120290756,-1.1245689392089844,0.001,0.2,-0.046900104470551,,,
-0.08770535999999998,36,1.47,0.91,1080,1080,0,733,1255,0,350,0.2926521897315979,-0.005514230579137802,0.046347912,0.11821446195244789,0.443333325535059,-1.1886860251426696,0.001,0.2,-0.034050356578081864,,,
-0.10670964,37,1.5,0.89,1110,1110,0,757,1288,0,360,-0.054262757301330566,-0.008060399442911148,0.03892062,0.14479120671749116,0.43000000193715093,-1.1433405876159668,0.001,0.2,-0.03378419056534767,,,
-0.11678138,38,1.48,0.89,1140,1140,0,776,1324,0,370,-0.17571401596069336,-0.04618297889828682,0.022372108,0.06905655730515718,0.12000000290572643,-1.0472005367279054,0.001,0.2,-0.032596325228611535,,,
-0.11574364000000001,39,1.48,0.89,1170,1170,0,795,1357,0,380,0.5634733438491821,-0.012302665039896965,0.030366892,0.06718403175473213,0.3799999959766865,-0.9349227964878082,0.001,0.2,-0.023188320367286595,,,
-0.09298537,40,1.38,0.91,1200,1200,0,820,1395,0,390,0.46820563077926636,-0.03850581869482994,0.020071661,0.06582666542381048,0.08000000305473805,-0.9021319806575775,0.001,0.2,-0.028597496970711945,,,
-0.08503793,41,1.39,0.92,1230,1230,0,843,1428,0,400,0.3376777172088623,-0.045982979238033295,0.07446356,0.05416438896209001,0.27333333864808085,-0.9215875566005707,0.001,0.2,-0.03501258775902301,,,
-0.07518506000000001,42,1.42,0.91,1260,1260,0,861,1459,0,410,-0.2876906394958496,-0.053843166679143906,0.025913069,0.06854404713958502,0.14000000543892382,-0.9475434005260468,0.001,0.2,-0.03946919370442625,,,
-0.08450332999999997,43,1.41,0.9,1290,1290,0,881,1491,0,420,-0.38853955268859863,-0.024819888174533844,0.032174487,0.1161634422838688,0.36000000424683093,-1.004105281829834,0.001,0.2,-0.03975530499592424,,,
-0.08402366,44,1.4,0.9,1320,1320,0,904,1529,0,430,0.008388161659240723,-0.012896407395601273,0.022202838,0.12931327223777772,0.2966666709631681,-1.0512177705764771,0.001,0.2,-0.03062897088626997,,,
-0.08136842,45,1.4,0.9,1350,1350,0,925,1562,0,440,-0.32911109924316406,0.018570974469184875,0.022452034,0.19799497425556184,0.0900000013411045,-1.0857176184654236,0.001,0.2,-0.023936373055136427,,,
-0.09148595,46,1.38,0.9,1380,1380,0,952,1599,0,450,0.21135133504867554,-0.04879333823919296,0.036274206,0.10731481537222862,0.17000000551342964,-1.1072509765625,0.001,0.2,-0.04347058140672751,,,
-0.07011953,47,1.27,0.94,1410,1410,0,972,1639,0,460,-0.10363471508026123,-0.06749580800533295,0.03607913,0.10587232708930969,0.18000000417232515,-1.0949179470539092,0.001,0.2,-0.06188404703512802,,,
-0.08137944,48,1.33,0.93,1440,1440,0,995,1675,0,470,-0.2673773765563965,-0.03382086753845215,0.0112897735,0.09176077246665955,0.1833333417773247,-0.8353493452072144,0.001,0.2,-0.02312839469561965,,,
-0.09235621999999999,49,1.37,0.92,1470,1470,0,1013,1707,0,480,0.2842406630516052,-0.020429613068699837,0.00932923,0.07711618281900882,0.13000000342726709,-0.9291341304779053,0.001,0.2,-0.021087173779184454,,,
-0.10318476999999998,50,1.39,0.91,1500,1500,0,1033,1741,0,490,-0.024420857429504395,-0.04137812554836273,0.01984993,0.11880546100437642,0.07000000216066837,-0.9208267033100128,0.001,0.2,-0.029640722133529352,,,
-0.11742619,51,1.5,0.9,1530,1530,0,1052,1772,0,500,0.28254902362823486,-0.03591768443584442,0.01466103,0.11046203598380089,0.10000000335276127,-0.8715338289737702,0.001,0.2,-0.038266622889786814,,,
-0.10642332999999998,52,1.45,0.9,1560,1560,0,1074,1806,0,510,-0.3157668113708496,-0.05562857538461685,0.028346356,0.09004868045449257,0.1533333346247673,-0.8843731462955475,0.001,0.2,-0.04639914393424984,,,
