env/current_idx,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/success_rate,env/n_steps,time/fps,env/completion_counter,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
23,37,1.3636363636363635,-0.10307277272727271,1,30,0.9090909090909091,30,0,0,,,,,,,,,,,,,
44,73,1.3953488372093024,-0.1310478604651163,2,60,0.8837209302325582,60,0,0,0.001,-0.051061602750172595,-1.9400004982948302,-0.4713987112045288,-0.08538296818733215,0.016792895,10,0.2,0.1442253171466291,0.09666666947305202,,,
65,104,1.390625,-0.12481001562500002,3,90,0.890625,90,0,0,0.001,-0.046449449905194486,-1.9263599157333373,0.09384757280349731,-0.06526592373847961,0.019038837,20,0.2,0.14164983239024878,0.1033333357423544,,,
85,145,1.3928571428571428,-0.12226580952380954,4,120,0.8928571428571429,120,0,0,0.001,-0.05293580852914594,-1.8726932168006898,-0.12443375587463379,-0.09040575474500656,0.027041635,30,0.2,0.11853544488549232,0.18000000566244126,,,
102,180,1.48,-0.13623858000000003,5,150,0.87,150,0,0,0.001,-0.06413943356523895,-1.8139900803565978,-0.14336097240447998,-0.10638201236724854,0.03109888,40,0.2,0.09745830791071057,0.27333333939313886,,,
118,213,1.58,-0.15816,6,180,0.85,180,0,0,0.001,-0.06671245013363655,-1.819454288482666,0.15004408359527588,-0.12406042963266373,0.025166577,50,0.2,0.08841369673609734,0.2033333383500576,,,
135,248,1.62,-0.13885721,7,210,0.85,210,0,0,0.001,-0.04154930338515737,-1.7704298138618468,-0.16563022136688232,-0.05774208903312683,0.034537252,60,0.2,0.1338582832366228,0.19000000245869159,,,
159,279,1.57,-0.11567044000000001,8,240,0.87,240,0,0,0.001,-0.04192185586163157,-1.6890563249588013,-0.8048301935195923,-0.07077545672655106,0.028288765,70,0.2,0.08919251970946789,0.21000000163912774,,,
183,314,1.53,-0.09510212,9,270,0.89,270,0,0,0.001,-0.05062156791488333,-1.6515193104743957,-0.04285001754760742,-0.0993412584066391,0.036878195,80,0.2,0.05245771165937185,0.21333333626389503,,,
209,351,1.37,-0.06292514,10,300,0.93,300,0,0,0.001,-0.06437933735549457,-1.6065977334976196,-3.506484031677246,-0.12333168089389801,0.036953248,90,0.2,0.01629040655680001,0.2100000075995922,,,
229,388,1.24,-0.04148391,11,330,0.96,330,0,0,0.001,-0.058640983843555004,-1.6206785798072816,0.11525404453277588,-0.096895731985569,0.03383333,100,0.2,0.03576619094237685,0.22666666880249978,,,
256,422,1.24,-0.04134764,12,360,0.96,360,0,0,0.001,-0.0399332815408707,-1.3730811595916748,-0.11905479431152344,-0.06563449651002884,0.018678125,110,0.2,0.047179488465189934,0.2833333402872086,,,
274,457,1.31,-0.07293561999999999,13,390,0.93,390,0,0,0.001,-0.03620481570561722,-1.4509653806686402,-0.2530994415283203,-0.05239921063184738,0.028969968,120,0.2,0.030920184589922427,0.25333334021270276,,,
290,495,1.39,-0.10236317000000002,14,420,0.9,420,0,0,0.001,-0.023313102349638903,-1.444887065887451,-0.07619965076446533,-0.018964793533086777,0.021697154,130,0.2,0.19749905616045,0.09000000320374965,,,
317,528,1.39,-0.09219649000000002,15,450,0.9,450,0,0,0.001,-0.046810214947909136,-1.2880647659301758,0.0426250696182251,-0.03754505142569542,0.028723408,140,0.2,0.18985414877533913,0.2900000050663948,,,
335,562,1.4,-0.11317834000000002,16,480,0.89,480,0,0,0.001,-0.04578754225124917,-1.364915931224823,-163.7618865966797,-0.07131209224462509,0.041952617,150,0.2,0.09684255626052618,0.19333333261311053,,,
356,596,1.5,-0.14415871000000002,17,510,0.85,510,0,0,0.001,-0.04781017028416192,-1.5039586424827576,0.4243650436401367,-0.04278567433357239,0.037755672,160,0.2,0.15101272687315942,0.26333334036171435,,,
372,631,1.54,-0.15421105000000002,18,540,0.83,540,0,0,0.001,-0.05769426390528678,-1.528320574760437,0.39427655935287476,-0.08651101589202881,0.036080815,170,0.2,0.10112139433622361,0.2600000072270632,,,
392,667,1.46,-0.13305055999999998,19,570,0.86,570,0,0,0.001,-0.03652717694795378,-1.4194460391998291,-0.017470240592956543,-0.03357192873954773,0.028655212,180,0.2,0.19139039218425752,0.14000000283122063,,,
412,700,1.55,-0.15487171000000002,20,600,0.84,600,0,0,0.001,-0.0660642014692229,-1.3211645007133483,0.17958331108093262,-0.10137830674648285,0.056535363,190,0.2,0.07172536207363009,0.21666667386889457,,,
434,733,1.54,-0.13602057,21,630,0.86,630,0,0,0.001,-0.07793958924710757,-1.3838776111602784,-0.5403150320053101,-0.1034693643450737,0.057567693,200,0.2,0.1681429672986269,0.23000000417232513,,,
455,767,1.49,-0.12799226,22,660,0.88,660,0,0,0.001,-0.045243604859958174,-1.1718027949333192,0.14831364154815674,-0.05826561897993088,0.026231695,210,0.2,0.07329958863556385,0.1700000062584877,,,
481,800,1.32,-0.06530978999999998,23,690,0.95,690,0,0,0.001,-0.06458214663589996,-1.34651620388031,0.2552652359008789,-0.10985683649778366,0.031554434,220,0.2,0.09329311735928059,0.20333334058523178,,,
498,836,1.39,-0.08683875999999997,24,720,0.93,720,0,0,0.001,-0.05848087986931212,-1.136941409111023,-7054.4306640625,-0.10269033908843994,0.04252358,230,0.2,0.02553697074763477,0.15000000409781933,,,
524,869,1.36,-0.07641666,25,750,0.94,750,0,0,0.001,-0.05854253541678176,-1.3462268233299255,0.09787529706954956,-0.035563819110393524,0.051912494,240,0.2,0.2256932333111763,0.20000000521540642,,,
545,903,1.32,-0.06355893999999998,26,780,0.95,780,0,0,0.001,-0.05863482336203276,-1.388630247116089,-25.42031478881836,-0.09407247602939606,0.034626435,250,0.2,0.07992258053272963,0.16666667200624943,,,
565,938,1.38,-0.09441205,27,810,0.92,810,0,0,0.001,-0.04192057889575764,-1.497982430458069,0.08812475204467773,-0.017549343407154083,0.017228957,260,0.2,0.1716478243470192,0.1700000051409006,,,
579,969,1.52,-0.12847680999999997,28,840,0.88,840,0,0,0.001,-0.08833628809700408,-1.629819405078888,0.32751697301864624,-0.09813962876796722,0.056304257,270,0.2,0.1282256469130516,0.4133333429694176,,,
600,1002,1.47,-0.11704787000000001,29,870,0.89,870,0,0,0.001,-0.07576808203632641,-1.5394938468933106,-0.20855188369750977,-0.08656978607177734,0.047015406,280,0.2,0.19022323340177535,0.24333333894610404,,,
623,1034,1.52,-0.12855656000000001,30,900,0.88,900,0,0,0.001,-0.06783294582739474,-1.6153445959091186,0.42235684394836426,-0.08306176960468292,0.064870186,290,0.2,0.0942918997257948,0.2866666652262211,,,
639,1066,1.61,-0.15889711,31,930,0.85,930,0,0,0.001,-0.04547559303697213,-1.6606847405433656,0.12190121412277222,-0.08385023474693298,0.019974211,300,0.2,0.06939357295632362,0.16000000536441802,,,
660,1107,1.61,-0.17082494000000004,32,960,0.84,960,0,0,0.001,-0.044208738698313654,-1.7438346147537231,-0.40825486183166504,-0.013971269130706787,0.049589038,310,0.2,0.28478856533765795,0.14333333522081376,,,
685,1139,1.4,-0.10591242999999999,33,990,0.91,990,0,0,0.001,-0.06849504549056284,-1.6387332797050476,0.09557950496673584,-0.04121571034193039,0.04985953,320,0.2,0.19573497772216797,0.44666666984558107,,,
705,1170,1.43,-0.10560767,34,1020,0.91,1020,0,0,0.001,-0.04409325213947639,-1.5746442556381226,-55.8730583190918,-0.07662464678287506,0.024233084,330,0.2,0.08125644419342279,0.09000000283122063,,,
726,1212,1.47,-0.11628126999999999,35,1050,0.9,1050,0,0,0.001,-0.048547938469176447,-1.6323989868164062,0.11405295133590698,-0.02765585482120514,0.032765105,340,0.2,0.1849716231226921,0.16333333775401115,,,
747,1249,1.42,-0.09706158999999999,36,1080,0.92,1080,0,0,0.001,-0.05174353433462482,-1.6403132200241088,-0.08347606658935547,-0.06085392087697983,0.050153103,350,0.2,0.10183146819472313,0.2766666729003191,,,
766,1282,1.42,-0.08507633,37,1110,0.93,1110,0,0,0.001,-0.062480035675689646,-1.6560610771179198,0.2010313868522644,-0.07625457644462585,0.04185276,360,0.2,0.12941686660051346,0.2666666701436043,,,
789,1315,1.43,-0.09533008999999999,38,1140,0.92,1140,0,0,0.001,-0.07772155534476041,-1.5672981500625611,0.04764896631240845,-0.12546783685684204,0.066156246,370,0.2,0.1199872687458992,0.2933333426713943,,,
805,1349,1.5,-0.11691814,39,1170,0.89,1170,0,0,0.001,-0.057585246693342904,-1.6786529898643494,0.3398863673210144,-0.07541202753782272,0.02579632,380,0.2,0.10412235371768475,0.16000000536441802,,,
830,1390,1.46,-0.10615469000000002,40,1200,0.89,1200,0,0,0.001,-0.059648595737914235,-1.589666736125946,0.218583345413208,-0.0700543224811554,0.035920814,390,0.2,0.13094141259789466,0.32333333790302277,,,
854,1427,1.39,-0.09367064000000001,41,1230,0.9,1230,0,0,0.001,-0.050850384260217395,-1.5897958397865295,-57.52056121826172,-0.09747374057769775,0.026843853,400,0.2,0.04166508372873068,0.2533333394676447,,,
874,1466,1.36,-0.08285526999999998,42,1260,0.91,1260,0,0,0.001,-0.06401620483646786,-1.4431448340415955,0.4841008186340332,-0.07488735020160675,0.068551354,410,0.2,0.055069904401898385,0.4266666665673256,,,
899,1502,1.31,-0.07082271000000001,43,1290,0.93,1290,0,0,0.001,-0.05899074515948701,-1.217654013633728,-0.03411054611206055,-0.02684958279132843,0.026355047,420,0.2,0.23149125128984452,0.23666667118668555,,,
917,1534,1.38,-0.10652641000000002,44,1320,0.9,1320,0,0,0.001,-0.06135212795188032,-1.1618968725204468,0.20725011825561523,-0.060066353529691696,0.103152975,430,0.2,0.12216934636235237,0.2433333370834589,,,
941,1574,1.38,-0.11640602000000001,45,1350,0.9,1350,0,0,0.001,-0.038670321752627856,-0.8982793509960174,0.29154181480407715,-0.012127876281738281,0.025840806,440,0.2,0.27548044770956037,0.18666667342185975,,,
957,1617,1.45,-0.13745396999999998,46,1380,0.88,1380,0,0,0.001,-0.01588864874870808,-0.8374803960323334,-0.40401434898376465,0.014913644641637802,0.005114424,450,0.2,0.2570076175034046,0.036666668578982355,,,
984,1658,1.37,-0.10625733000000002,47,1410,0.91,1410,0,0,0.001,-0.05455581764380133,-0.8429710745811463,0.23484361171722412,-0.041866518557071686,0.033546176,460,0.2,0.23410970121622085,0.1333333369344473,,,
