env/completion_counter,time/total_timesteps,eval/success_rate,env/current_idx,eval/mean_ep_length,env/n_steps,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,train/entropy_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate
0,30,0.86,12,1.82,30,-0.14355534370057285,,,,,,,,,,,,,,,,
,30,,,,,,2.6363636363636362,-0.4767610909090909,0,1,177,0.6363636363636364,,,,,,,,,,
0,60,0.88,19,1.66,60,-0.11704742314293981,,,,,,,-1.9375300407409668,-0.22259044647216797,0.02458321,-0.058135940792660004,10,-0.06610612571239471,0.21000000275671482,0.5820725239813328,0.2,0.001
,60,,,,,,3.111111111111111,-0.5064633888888888,0,2,371,0.5555555555555556,,,,,,,,,,
0,90,0.84,31,1.78,90,-0.12655376829206944,,,,,,,-1.9209914684295655,-0.1417996883392334,0.011439415,-0.04116573388222609,20,-0.07643099129199982,0.046666668727993965,0.14148357026278974,0.2,0.001
,90,,,,,,3.0,-0.43348906666666664,0,3,514,0.6333333333333333,,,,,,,,,,
0,120,0.98,40,1.3,120,-0.03234085959848017,,,,,,,-1.9039406418800353,-0.45251190662384033,0.026274206,-0.06736730869859457,30,-0.09569625556468964,0.2700000025331974,0.1621972355991602,0.2,0.001
,120,,,,,,3.051282051282051,-0.47579389743589745,0,4,631,0.6153846153846154,,,,,,,,,,
0,150,0.94,53,1.42,150,-0.07520753193646669,,,,,,,-1.904598593711853,0.2912260890007019,0.030474711,-0.0581800741322029,40,-0.09031297266483307,0.19666667208075522,0.13042083010077477,0.2,0.001
,150,,,,,,2.8461538461538463,-0.38660075000000005,0,5,750,0.6923076923076923,,,,,,,,,,
