env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
30,2.04,30,0.8,7,0,-0.2342706343252212,,,,,,,,,,,,,,,,
,,30,,,,,0,-1.130923,190,4.5,1,0.16666666666666666,,,,,,,,,,
60,1.96,60,0.78,16,0,-0.24664515778422355,,,,,,,10,-0.11968851089477539,0.4399283237755299,0.001,-0.04298439621925354,-0.06009933069348339,0.2266666702926159,0.2,-1.9339267134666442,0.035425495
,,60,,,,,0,-0.7182990666666665,326,3.7333333333333334,2,0.4,,,,,,,,,,
90,1.96,90,0.78,25,0,-0.20072699923999607,,,,,,,20,-0.25131726264953613,0.14102918617427349,0.001,-0.07610077410936356,-0.04711582692960894,0.12000000402331353,0.2,-1.9060394644737244,0.018062718
,,90,,,,,0,-0.7138648333333334,485,3.625,3,0.4166666666666667,,,,,,,,,,
120,1.72,120,0.88,36,0,-0.12318395275156944,,,,,,,30,0.13335198163986206,0.08618346638977528,0.001,-0.1009301170706749,-0.060711129326373306,0.18666667230427264,0.2,-1.8894311785697937,0.026011882
,,120,,,,,0,-0.6677831142857144,614,3.4285714285714284,4,0.45714285714285713,,,,,,,,,,
150,1.24,150,0.96,46,0,-0.04971940613351762,,,,,,,40,-0.24138212203979492,0.17774531580507755,0.001,-0.06983549147844315,-0.049388748548614816,0.13666666932404042,0.2,-1.8864815711975098,0.025645932
,,150,,,,,0,-0.6326402666666666,721,3.311111111111111,5,0.5111111111111111,,,,,,,,,,
180,1.26,180,0.96,58,0,-0.02963851884007454,,,,,,,50,-0.22503960132598877,0.22453825771808625,0.001,-0.06916980445384979,-0.06262668643146752,0.26666666492819785,0.2,-1.845737910270691,0.039555177
,,180,,,,,0,-0.5589994210526316,840,3.1228070175438596,6,0.5789473684210527,,,,,,,,,,
210,1.26,210,0.96,66,0,-0.03143162039108574,,,,,,,60,-0.10961806774139404,0.1754606246948242,0.001,-0.05213982239365578,-0.037736380199591225,0.1500000037252903,0.2,-1.753439152240753,0.015351927
,,210,,,,,0,-0.5771826153846153,957,3.230769230769231,7,0.5538461538461539,,,,,,,,,,
240,1.44,240,0.94,77,0,-0.0328447685437277,,,,,,,70,0.11125344038009644,0.13232021555304527,0.001,-0.07174866646528244,-0.046149970307014954,0.14000000320374967,0.2,-1.7969355940818788,0.02432728
,,240,,,,,0,-0.5652277631578947,1073,3.1578947368421053,8,0.5657894736842105,,,,,,,,,,
270,1.66,270,0.88,91,0,-0.096187728443183,,,,,,,80,0.3732476830482483,0.13059876337647439,0.001,-0.08830896764993668,-0.06591193263108544,0.29000000432133677,0.2,-1.8327154397964478,0.034258164
,,270,,,,,0,-0.5048163555555556,1199,2.988888888888889,9,0.6,,,,,,,,,,
300,1.46,300,0.92,100,0,-0.09404215031303466,,,,,,,90,-1.6850285530090332,0.21606484726071357,0.001,-0.05610175430774689,-0.05411382492631676,0.46333333253860476,0.2,-1.7409355521202088,0.016556853
,,300,,,,,0,-0.4666333737373737,1316,2.98989898989899,10,0.6161616161616161,,,,,,,,,,
