eval/mean_reward,env/current_idx,eval/mean_ep_length,env/n_steps,time/total_timesteps,eval/success_rate,env/completion_counter,time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/n_updates,train/loss,train/clip_fraction,train/clip_range,train/value_loss
-0.07736488263122737,10,1.58,30,30,0.9,0,,,,,,,,,,,,,,,,
,,,,30,,,0,1,138,3.111111111111111,0.5555555555555556,-0.5187434444444445,,,,,,,,,,
-0.13621739329770208,17,1.64,60,60,0.88,0,,,,,,,-1.9422896385192872,-1.3782155513763428,-0.05480713753650588,0.012871975,0.001,10,-0.08991681039333344,0.11000000275671482,0.2,0.21024263706058263
,,,,60,,,0,2,266,3.5625,0.4375,-0.630078625,,,,,,,,,,
-0.12453646442387253,27,1.5,90,90,0.9,0,,,,,,,-1.9383710980415345,0.04618728160858154,-0.04722773982522384,0.01942742,0.001,20,-0.06407888978719711,0.17333333417773247,0.2,0.16025641262531282
,,,,90,,,0,3,392,3.423076923076923,0.5,-0.607025923076923,,,,,,,,,,
-0.19181471525225788,34,2.0,120,120,0.82,0,,,,,,,-1.9179495692253112,0.08516907691955566,-0.060681921237458705,0.028687505,0.001,30,-0.06085799261927605,0.20666666850447654,0.2,0.15852672308683396
,,,,120,,,0,4,539,3.515151515151515,0.45454545454545453,-0.6520566060606061,,,,,,,,,,
-0.13036201192997396,42,1.56,150,150,0.9,0,,,,,,,-1.8691815972328185,0.3689610958099365,-0.043085892467740194,0.031593144,0.001,40,-0.06973779946565628,0.14000000208616256,0.2,0.16168829537928103
,,,,150,,,0,5,665,3.5609756097560976,0.43902439024390244,-0.6152026585365854,,,,,,,,,,
-0.20734146528411657,53,1.98,180,180,0.82,0,,,,,,,-1.8265299439430236,-0.11041462421417236,-0.05877102726449586,0.030134583,0.001,50,-0.07915005087852478,0.2933333322405815,0.2,0.1462827082723379
,,,,180,,,0,6,814,3.4615384615384617,0.5,-0.5363924423076922,,,,,,,,,,
-0.05345914968289435,61,1.22,210,210,0.96,0,,,,,,,-1.8604967832565307,-0.21826207637786865,-0.05306515909265723,0.05550191,0.001,60,-0.06043168902397156,0.39999999590218066,0.2,0.17718432247638702
,,,,210,,,0,7,923,3.5,0.5,-0.5471595166666667,,,,,,,,,,
-0.05302531303372234,71,1.36,240,240,0.94,0,,,,,,,-1.8383210062980653,-1.4475617408752441,-0.05498713312049688,0.033507038,0.001,70,-0.018840692937374115,0.26000000461935996,0.2,0.3548525184392929
,,,,240,,,0,8,1040,3.4,0.5285714285714286,-0.5078776857142858,,,,,,,,,,
-0.07297510576434434,82,1.34,270,270,0.94,0,,,,,,,-1.8259022235870361,0.4622434973716736,-0.04421760183138144,0.018599363,0.001,80,-0.07705268263816833,0.09666666947305202,0.2,0.09957169219851494
,,,,270,,,0,9,1154,3.3209876543209877,0.5555555555555556,-0.4810341358024692,,,,,,,,,,
-0.09386651173699648,93,1.58,300,300,0.92,0,,,,,,,-1.8204211831092834,0.3385224938392639,-0.046178030724016494,0.027279543,0.001,90,-0.062474362552165985,0.17666666805744172,0.2,0.1294183973222971
,,,,300,,,0,10,1297,3.25,0.5760869565217391,-0.4653377826086956,,,,,,,,,,
-0.05196037421468645,109,1.44,330,330,0.94,0,,,,,,,-1.7233375906944275,-0.8977079391479492,-0.0417419034708292,0.028602334,0.001,100,-0.024284273386001587,0.2633333373814821,0.2,0.25260127931833265
,,,,330,,,0,11,1411,3.05,0.62,-0.42253622,,,,,,,,,,
-0.07859050781000405,122,1.36,360,360,0.94,0,,,,,,,-1.7086828470230102,0.20453131198883057,-0.04544603126899638,0.018603815,0.001,110,-0.05189106985926628,0.11000000424683094,0.2,0.19483110085129737
,,,,360,,,0,12,1526,2.87,0.65,-0.37994466000000005,,,,,,,,,,
-0.07808450885582716,134,1.46,390,390,0.92,0,,,,,,,-1.6819347143173218,0.11118173599243164,-0.05976684753938279,0.042840388,0.001,120,0.000797659158706665,0.3466666653752327,0.2,0.25428793430328367
,,,,390,,,0,13,1642,2.73,0.7,-0.32473606,,,,,,,,,,
-0.07202861457597465,146,1.3,420,420,0.94,0,,,,,,,-1.4808425426483154,-0.33899998664855957,-0.05956701303987462,0.06314532,0.001,130,-0.04781744256615639,0.2900000050663948,0.2,0.21164586171507835
,,,,420,,,0,14,1762,2.57,0.74,-0.30375643,,,,,,,,,,
-0.028926885863766075,161,1.2,450,450,0.98,0,,,,,,,-1.2376942873001098,0.15962845087051392,-0.03994534871851414,0.03346028,0.001,140,-0.03094981610774994,0.2733333379030228,0.2,0.10283910930156707
,,,,450,,,0,15,1870,2.39,0.76,-0.27356425999999995,,,,,,,,,,
-0.09165006566327065,175,1.38,480,480,0.92,0,,,,,,,-1.1778890013694763,-0.2047591209411621,-0.03322351955149046,0.018852018,0.001,150,-0.03459620103240013,0.10000000335276127,0.2,0.213187175989151
,,,,480,,,0,16,1990,2.27,0.78,-0.25438066000000004,,,,,,,,,,
-0.029441513186320663,187,1.18,510,510,0.98,0,,,,,,,-1.1077138900756835,-0.643619179725647,-0.03448552644501142,0.01772521,0.001,160,-0.021627791225910187,0.13000000454485416,0.2,0.20693173334002496
,,,,510,,,0,17,2094,2.21,0.79,-0.24129777,,,,,,,,,,
-0.049988420042209325,198,1.3,540,540,0.94,0,,,,,,,-1.1241642475128173,-0.8591947555541992,-0.01001873761570704,0.012022076,0.001,170,0.06123335286974907,0.06000000275671482,0.2,0.2983036920428276
,,,,540,,,0,18,2209,2.31,0.78,-0.24912438,,,,,,,,,,
-0.0962577767111361,214,1.42,570,570,0.92,0,,,,,,,-1.098401916027069,-0.17285263538360596,-0.020607203131852093,0.021635734,0.001,180,0.010845459997653961,0.09333333373069763,0.2,0.20370473489165306
,,,,570,,,0,19,2323,2.3,0.79,-0.24625000000000002,,,,,,,,,,
-0.10206850232556462,228,1.54,600,600,0.92,0,,,,,,,-1.2905130505561828,0.01278609037399292,-0.04176186618395148,0.025374433,0.001,190,-0.078385129570961,0.1500000048428774,0.2,0.11656861156225204
,,,,600,,,0,20,2452,2.22,0.8,-0.21695348000000003,,,,,,,,,,
-0.02974476053379476,239,1.24,630,630,0.98,0,,,,,,,-1.3881998896598815,0.146844744682312,-0.046377916711693244,0.011102182,0.001,200,-0.07635984569787979,0.21000000201165675,0.2,0.12081538997590542
,,,,630,,,0,21,2569,2.23,0.8,-0.22337273,,,,,,,,,,
-0.0704396840557456,251,1.36,660,660,0.94,0,,,,,,,-1.2453720569610596,0.33148193359375,-0.04876261904525272,0.054787707,0.001,210,-0.049675147980451584,0.2200000047683716,0.2,0.13632086366415025
,,,,660,,,0,22,2692,2.32,0.8,-0.22984771,,,,,,,,,,
-0.0305021828180179,260,1.3,690,690,0.98,0,,,,,,,-1.2037326097488403,0.4275524616241455,-0.0505807699014742,0.022363689,0.001,220,-0.0645032674074173,0.2566666714847088,0.2,0.09063581265509128
,,,,690,,,0,23,2804,2.39,0.78,-0.2517849,,,,,,,,,,
-0.07175492781214415,276,1.36,720,720,0.94,0,,,,,,,-1.3701555848121643,-0.21172964572906494,-0.03049330785560116,0.035039783,0.001,230,0.03041037917137146,0.1400000039488077,0.2,0.32274602353572845
,,,,720,,,0,24,2929,2.38,0.78,-0.25265165,,,,,,,,,,
-0.07369333338458091,290,1.52,750,750,0.92,0,,,,,,,-1.4032634139060973,0.31841152906417847,-0.024714692192307198,0.019780936,0.001,240,0.010743580758571625,0.09333333745598793,0.2,0.1941697269678116
,,,,750,,,0,25,3057,2.31,0.81,-0.22900699000000002,,,,,,,,,,
-0.07063485191669315,306,1.28,780,780,0.94,0,,,,,,,-1.1477655053138733,0.01711273193359375,-0.06152526418368005,0.06691547,0.001,250,-0.03562384098768234,0.4100000012665987,0.2,0.17561284452676773
,,,,780,,,0,26,3166,2.26,0.81,-0.22637115000000005,,,,,,,,,,
-0.05180887918453664,320,1.28,810,810,0.96,0,,,,,,,-1.1134298324584961,-0.04769313335418701,-0.014304905615669484,0.020543264,0.001,260,0.005681317299604416,0.08333333618938923,0.2,0.16223596259951592
,,,,810,,,0,27,3279,2.28,0.8,-0.23463686,,,,,,,,,,
-0.006872625881806016,332,1.08,840,840,1.0,0,,,,,,,-1.072905993461609,0.200658917427063,-0.04197685750822222,0.016130764,0.001,270,-0.027537189424037933,0.1366666704416275,0.2,0.15036996677517891
,,,,840,,,0,28,3382,2.22,0.82,-0.22870199,,,,,,,,,,
-0.05256387630477548,346,1.34,870,870,0.96,0,,,,,,,-1.1086580157279968,-0.46483588218688965,-0.041872538006864524,0.020518577,0.001,280,-0.048821017146110535,0.08333333730697631,0.2,0.17534329742193222
,,,,870,,,0,29,3500,2.23,0.81,-0.23542924000000007,,,,,,,,,,
