rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.8571428571428571,38,1.4285714285714286,1,-0.15992804761904764,30,22,0,30,0,,,,,,,,,,,,,
0.8648648648648649,75,1.5405405405405406,2,-0.1514143783783784,60,38,0,60,0,0.2,50,-0.1392862463022272,-1.920615975856781,-0.1783914566040039,0.03848103832351626,0.7533333322405815,0.10952966,0.001,-0.16575008630752563,,,
0.8620689655172413,108,1.5344827586206897,3,-0.1359078275862069,90,59,0,90,0,0.2,100,-0.13650225454568862,-1.8685030436515808,0.1756630539894104,0.014438233554537874,0.7966666580736637,0.15652934,0.001,-0.15015093982219696,,,
0.8421052631578947,144,1.5789473684210527,4,-0.1644231710526316,120,77,0,120,0,0.2,150,-0.14881473480165006,-1.7897739672660828,-0.1320880651473999,0.023779843970551155,0.8246666541695595,0.14320733,0.001,-0.16310501098632812,,,
0.8556701030927835,183,1.5463917525773196,5,-0.15202949484536082,150,98,0,150,0,0.2,200,-0.17290727037688092,-1.785034499168396,0.14530080556869507,0.036866310507466554,0.8866666632890702,0.2129397,0.001,-0.18755348026752472,,,
0.88,215,1.49,6,-0.12610960999999998,180,123,0,180,0,0.2,250,-0.14894426086048285,-1.7375719380378722,-0.26767075061798096,0.030139195644878783,0.8639999939501286,0.25890458,0.001,-0.16084329783916473,,,
0.89,258,1.46,7,-0.12580801,210,142,0,210,0,0.2,300,-0.11477740634481115,-1.630846116542816,0.21943026781082153,0.012271627363807056,0.8113333312422037,0.3047113,0.001,-0.12287677824497223,,,
0.87,290,1.52,8,-0.13765505000000003,240,158,0,240,0,0.2,350,-0.151654389547805,-1.5834252262115478,-0.22251629829406738,0.037308052737498654,0.8419999971985817,0.23156117,0.001,-0.16866722702980042,,,
0.9,332,1.46,9,-0.10390792000000001,270,181,0,270,0,0.2,400,-0.174362418529888,-1.587524845600128,-0.19597959518432617,0.056293394258245824,0.8846666628122329,0.318672,0.001,-0.190369114279747,,,
0.88,371,1.53,10,-0.11453338,300,195,0,300,0,0.2,450,-0.1241490938315789,-1.4789805316925049,-1.061514139175415,0.029558205083594656,0.7493333321809769,0.4630984,0.001,-0.13662855327129364,,,
0.87,406,1.56,11,-0.12473485000000001,330,218,0,330,0,0.2,500,-0.16224098639438547,-1.5400338912010192,0.12417447566986084,0.053162225952837615,0.7999999868869782,0.1758013,0.001,-0.18645353615283966,,,
0.88,442,1.49,12,-0.11394325,360,243,0,360,0,0.2,550,-0.14443560233712197,-1.3859255337715148,-0.09880852699279785,0.022975569125264883,0.8113333237171173,0.28258523,0.001,-0.15358471870422363,,,
0.92,480,1.37,13,-0.08132648999999999,390,268,0,390,0,0.2,600,-0.12121486022075016,-1.065393433570862,0.028421401977539062,0.020735536588763353,0.819333316758275,0.46978325,0.001,-0.12818948924541473,,,
