env/current_idx,env/completion_counter,env/n_steps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
18,0,30,30,0.8823529411764706,1.7647058823529411,42,1,0,-0.13984582352941177,,,,,,,,,,,,,
41,0,60,60,0.9,1.5,81,2,0,-0.09230849999999999,50,0.2,0.7266666645556689,-0.13962417467186838,-1.9256453967094422,0.2695627808570862,0.001,-0.1614075005054474,0.085686445,0.02721003677754197,,,
59,0,90,90,0.8620689655172413,1.5517241379310345,113,3,0,-0.1205424482758621,100,0.2,0.8199999977648258,-0.12605109746505816,-1.8829502987861633,-0.33954906463623047,0.001,-0.13761551678180695,0.11123792,0.011147357034351444,,,
82,0,120,120,0.8765432098765432,1.4814814814814814,148,4,0,-0.11509875308641977,150,0.2,0.8186666658520698,-0.16416202288866047,-1.8139594411849975,-0.14958178997039795,0.001,-0.1859641671180725,0.14275959,0.02932280651119072,,,
106,0,150,150,0.89,1.41,184,5,0,-0.10470231999999999,200,0.2,0.8666666629910469,-0.15344076198587817,-1.6751562476158142,-0.4120122194290161,0.001,-0.16589275002479553,0.16886288,0.034714599163271485,,,
126,0,180,180,0.89,1.41,216,6,0,-0.10340778,250,0.2,0.6913333275914192,-0.11090598397701981,-1.5568230056762695,-0.07793307304382324,0.001,-0.129649356007576,0.11762988,0.012400833325518761,,,
142,0,210,210,0.87,1.48,246,7,0,-0.12392882999999999,300,0.2,0.8386666661500931,-0.15012571912258862,-1.5108492755889893,-0.16885972023010254,0.001,-0.16730166971683502,0.17328188,0.043275832664221525,,,
165,0,240,240,0.92,1.38,277,8,0,-0.08357259,350,0.2,0.8706666615605354,-0.15885813671847182,-1.6017091393470764,0.3857669234275818,0.001,-0.1725967824459076,0.35293138,0.022696687334100716,,,
186,0,270,270,0.92,1.41,316,9,0,-0.08423253000000001,400,0.2,0.886666659116745,-0.13608580132325493,-1.5918675684928894,0.029764950275421143,0.001,-0.14605925977230072,0.17229702,0.014046985188615508,,,
207,0,300,300,0.9,1.46,348,10,0,-0.10468833999999999,450,0.2,0.8319999960809946,-0.11918662492930888,-1.5285008573532104,0.03961193561553955,0.001,-0.1329275667667389,0.21368322,0.014658524614933412,,,
225,0,330,330,0.88,1.52,380,11,0,-0.13004461,500,0.2,0.8393333182483912,-0.153536488801241,-1.5879290461540223,-0.3043431043624878,0.001,-0.1692928522825241,0.1501188,0.03795811777061317,,,
240,0,360,360,0.87,1.56,412,12,0,-0.14047242999999998,550,0.2,0.8706666673719883,-0.15711137227714062,-1.4683413696289063,-0.457568883895874,0.001,-0.17188403010368347,0.1862533,0.04786950290552341,,,
253,0,390,390,0.83,1.65,447,13,0,-0.17498734999999999,600,0.2,0.8586666631698608,-0.14717833869159222,-1.3341105890274048,0.01642686128616333,0.001,-0.1627897173166275,0.40193173,0.022328621652559378,,,
274,0,420,420,0.83,1.66,480,14,0,-0.1731504,650,0.2,0.7593333329260349,-0.1546282006303469,-1.1074083471298217,-1.1639463901519775,0.001,-0.17971520125865936,0.18977784,0.09529711255687288,,,
296,0,450,450,0.82,1.67,515,15,0,-0.18284058000000003,700,0.2,0.7993333226442337,-0.13708602364361286,-1.13742604970932,-0.062052369117736816,0.001,-0.1573120802640915,0.33053312,0.023584357503568753,,,
313,0,480,480,0.84,1.64,549,16,0,-0.15852396,750,0.2,0.8766666480153799,-0.15681749299665299,-1.1248173213005066,0.214491605758667,0.001,-0.16821758449077606,0.40868208,0.03063596194551792,,,
340,0,510,510,0.87,1.5,582,17,0,-0.13679067,800,0.2,0.6873333363980055,-0.14604341452444594,-0.7795379495620728,-0.23974931240081787,0.001,-0.16833166778087616,0.2581881,0.060106362629448996,,,
362,0,540,540,0.91,1.37,615,18,0,-0.10141613999999999,850,0.2,0.5786666711419821,-0.10797072290877502,-0.7830732762813568,0.07657492160797119,0.001,-0.11660152673721313,0.20821498,0.009420764661044814,,,
381,0,570,570,0.9,1.4,647,19,0,-0.11240122,900,0.2,0.6060000045597553,-0.11861077470953262,-0.8204128134250641,-0.2496892213821411,0.001,-0.14292937517166138,0.21669684,0.06924421619391069,,,
400,0,600,600,0.89,1.46,681,20,0,-0.11579477999999996,950,0.2,0.6120000109821558,-0.13114894759655,-0.6557892668247223,0.043696820735931396,0.001,-0.14887581765651703,0.27746627,0.029275968880392612,,,
419,0,630,630,0.89,1.44,712,21,0,-0.10545604000000001,1000,0.2,0.6453333367407322,-0.12761646075050037,-0.6388979911804199,-0.34926319122314453,0.001,-0.1378360390663147,0.50691146,0.03214409368578344,,,
438,0,660,660,0.87,1.52,745,22,0,-0.12662101,1050,0.2,0.2673333416879177,-0.08506474847408625,-0.3044011256098747,-0.06939089298248291,0.001,-0.1072709932923317,0.12384281,0.05199203259544447,,,
462,0,690,690,0.89,1.49,778,23,0,-0.10621584999999997,1100,0.2,0.22266666784882547,-0.056965883220235505,-0.16164683431386948,-0.12399899959564209,0.001,-0.06269247084856033,0.2701159,0.07451822661212645,,,
