time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
30,30,1,0,1.3333333333333333,22,0,40,0.9047619047619048,-0.06949938095238095,,,,,,,,,,,,,
60,60,2,0,1.3043478260869565,47,0,76,0.9347826086956522,-0.03718936956521739,0.7106666658073664,0.04269265006267233,50,-1.916773977279663,0.001,0.114439614,-0.5793930292129517,-0.12500366275136668,-0.14946280419826508,0.2,,,
90,90,3,0,1.3432835820895523,68,0,111,0.9253731343283582,-0.05908671641791045,0.8093333221971989,0.0027005500072118595,100,-1.8687715649604797,0.001,0.18583794,-61.068241119384766,-0.15058462962011496,-0.165054053068161,0.2,,,
120,120,4,0,1.4457831325301205,84,0,144,0.9036144578313253,-0.08935469879518072,0.8559999977052212,0.019205006415431852,150,-1.8202983927726746,0.001,0.1543292,0.07723647356033325,-0.15294919280956187,-0.16958723962306976,0.2,,,
150,150,5,0,1.5463917525773196,98,0,176,0.8762886597938144,-0.12130288659793814,0.8739999982714654,0.03350467216951074,200,-1.7874068760871886,0.001,0.1906821,-0.14101862907409668,-0.16495462635656197,-0.18212082982063293,0.2,,,
180,180,6,0,1.44,126,0,209,0.9,-0.10450374999999999,0.8933333292603493,0.03204744352144189,250,-1.689373004436493,0.001,0.26213792,0.09853124618530273,-0.1690075370321671,-0.18238061666488647,0.2,,,
210,210,7,0,1.48,149,0,243,0.89,-0.12582755,0.8713333258032798,0.013717999023210723,300,-1.611501588821411,0.001,0.2800055,-378.26055908203125,-0.16179624930024147,-0.17492248117923737,0.2,,,
240,240,8,0,1.57,164,0,272,0.86,-0.13755023,0.8379999978840351,0.03488007064501289,350,-1.5407996916770934,0.001,0.21476415,0.08837831020355225,-0.15343366096913816,-0.1730034500360489,0.2,,,
270,270,9,0,1.53,182,0,310,0.86,-0.1368247,0.8619999999552965,0.030116684486856685,400,-1.5353730010986328,0.001,0.19531654,0.05167752504348755,-0.153844218082726,-0.1698758602142334,0.2,,,
300,300,10,0,1.45,203,0,342,0.88,-0.11568756000000001,0.8086666615307331,0.05298766278545372,450,-1.3418655586242676,0.001,0.3636152,-0.052280426025390625,-0.16230988047023615,-0.1842508763074875,0.2,,,
330,330,11,0,1.43,229,0,375,0.88,-0.10497525999999999,0.8673333317786455,0.025421157840755767,500,-1.153958876132965,0.001,0.3261158,0.021075844764709473,-0.14499091827869415,-0.15808552503585815,0.2,,,
360,360,12,0,1.48,251,0,418,0.88,-0.10547298,0.8033333306014537,0.0029205979368998668,550,-1.120606973171234,0.001,0.419715,-298.6016845703125,-0.12830166096488635,-0.13969799876213074,0.2,,,
390,390,13,0,1.38,272,0,455,0.92,-0.08214242,0.770666661709547,0.025621200259774924,600,-1.1444751000404358,0.001,0.39151382,0.029700636863708496,-0.11694706435998277,-0.13111285865306854,0.2,,,
420,420,14,0,1.25,298,0,490,0.96,-0.04095465000000001,0.6500000045448542,0.011476766746782233,650,-0.7145592665672302,0.001,0.29356664,0.2071775197982788,-0.11008323402206104,-0.11880987137556076,0.2,,,
450,450,15,0,1.3,318,0,525,0.95,-0.061926369999999994,0.6673333296179771,0.024181378311186563,700,-0.6366330826282501,0.001,0.5168097,-0.004673480987548828,-0.1071440973281861,-0.12090712785720825,0.2,,,
480,480,16,0,1.36,339,0,560,0.93,-0.07274665000000001,0.4533333507180214,0.036818610173068006,750,-0.47975830495357513,0.001,0.53555125,0.017219185829162598,-0.10781134210526944,-0.12902218103408813,0.2,,,
510,510,17,0,1.44,357,0,594,0.92,-0.08351845000000001,0.388000003695488,0.021153155633364805,800,-0.33038668394088744,0.001,0.37507093,-0.9451580047607422,-0.07730085807417829,-0.09280871599912643,0.2,,,
540,540,18,0,1.38,381,0,630,0.92,-0.08154093,0.4380000086128712,0.04265920873149298,850,-0.4363638561964035,0.001,0.21980505,0.011451423168182373,-0.10892482336858912,-0.1384844183921814,0.2,,,
570,570,19,0,1.42,402,0,665,0.92,-0.07163952,0.3893333378434181,0.026801551848184318,900,-0.2743333250284195,0.001,0.39500558,0.04823046922683716,-0.07914697787662348,-0.08751784265041351,0.2,,,
600,600,20,0,1.38,428,0,697,0.93,-0.060928430000000006,0.4713333502411842,0.0016825330417486839,950,-0.2877410599589348,0.001,1.59469,-79.0733871459961,-0.07378245977809034,-0.0810277909040451,0.2,,,
630,630,21,0,1.24,454,0,741,0.95,-0.04926284000000001,0.2460000091791153,0.02396819876739755,1000,-0.2579966965317726,0.001,0.49264213,0.0029838085174560547,-0.05975430000076691,-0.08386501669883728,0.2,,,
660,660,22,0,1.3,474,0,774,0.93,-0.06013164,0.16733333662152292,0.015433743027970195,1050,-0.2003375682234764,0.001,0.08025778,0.3732749819755554,-0.05431319221341982,-0.07012727111577988,0.2,,,
690,690,23,0,1.34,492,0,815,0.9,-0.07072717999999999,0.14800000451505185,0.02620184389874339,1100,-0.2738939008116722,0.001,0.25507775,0.6381921768188477,-0.04292261042259632,-0.04371103644371033,0.2,,,
720,720,24,0,1.34,514,0,861,0.9,-0.07078461,0.1606666699796915,0.03217281931720208,1150,-0.2588924549520016,0.001,0.04520781,0.05923348665237427,-0.04196711211798052,-0.06005482003092766,0.2,,,
750,750,25,0,1.34,540,0,899,0.9,-0.06052370000000001,0.1553333380818367,0.018945547292823904,1200,-0.06875883653759957,0.001,0.12773928,-0.6381943225860596,-0.027828147041300967,-0.028728889301419258,0.2,,,
780,780,26,0,1.4,561,0,935,0.89,-0.07191307999999999,0.02200000114738941,0.003026778836792801,1250,-0.048727923668920994,0.001,0.031881932,-75.20491790771484,-0.008486351143801585,-0.011342102661728859,0.2,,,
810,810,27,0,1.33,585,0,975,0.91,-0.08092876,0.0,0.06029391714779195,1300,-0.008082151506096124,0.001,1.7881394e-08,-0.013379216194152832,-2.749149022901243e-05,0.00016656398656778038,0.2,,,
840,840,28,0,1.28,608,0,1013,0.94,-0.06034143000000001,0.0,0.033745028278208335,1350,-0.008527974532917142,0.001,3.6756197e-07,-0.029829740524291992,-0.00015607553648763428,-0.00037067546509206295,0.2,,,
