env/n_steps,eval/mean_ep_length,time/total_timesteps,env/current_idx,eval/success_rate,eval/mean_reward,env/completion_counter,rollout/ep_rew_mean,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/success_rate,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
30,1.46,30,16,0.82,-0.13181750567629932,0,,,,,,,,,,,,,,,,
,,30,,,,,-0.46458699999999997,148,1,2.0,0,0.5333333333333333,,,,,,,,,,
60,1.28,60,29,0.88,-0.0911297915270552,0,,,,,,,0.08853128552436829,0.0042670327,0.001,-1.9441486835479735,5,0.2,0.38903755098581316,0.0,-0.025385962401826844,-0.3604379892349243
,,60,,,,,-0.48997525000000003,261,2,2.0714285714285716,0,0.5,,,,,,,,,,
90,1.32,90,42,0.86,-0.13066865137778222,0,,,,,,,0.09749497473239899,0.0023676394,0.001,-1.9345487117767335,10,0.2,0.32433808147907256,0.0,-0.0070823031376737065,-0.21457600593566895
,,90,,,,,-0.5471384878048781,381,3,2.1463414634146343,0,0.4634146341463415,,,,,,,,,,
120,1.3,120,54,0.88,-0.05048520315438509,0,,,,,,,-0.007541004568338394,0.0062745055,0.001,-1.9216988801956176,15,0.2,0.1748831734061241,0.020000000298023225,-0.027613740501304385,-0.3711735010147095
,,120,,,,,-0.6148659811320756,503,4,2.2264150943396226,0,0.41509433962264153,,,,,,,,,,
150,1.14,150,74,0.94,-0.04831423652824014,0,,,,,,,0.05192263424396515,0.005155885,0.001,-1.87957603931427,20,0.2,0.18590103685855866,0.026666668057441712,-0.006183205094033273,-0.5332134962081909
,,150,,,,,-0.4949527671232877,629,5,2.041095890410959,0,0.5205479452054794,,,,,,,,,,
180,1.44,180,91,0.8,-0.2036021614773199,0,,,,,,,0.07880682498216629,0.0045297304,0.001,-1.8430776834487914,25,0.2,0.5111160546541214,0.0,-0.010562595529481734,0.10548073053359985
,,180,,,,,-0.45413879999999995,751,6,1.988888888888889,0,0.5444444444444444,,,,,,,,,,
210,1.12,210,107,0.96,-0.027988054743036627,0,,,,,,,0.09466411173343658,0.008706775,0.001,-1.799284315109253,30,0.2,0.32234783172607423,0.0,-0.024244507278005402,-0.2665804624557495
,,210,,,,,-0.44153572999999996,853,7,1.95,0,0.56,,,,,,,,,,
