eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,eval/mean_reward,env/completion_counter,time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_range,train/clip_fraction,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance
1.48,0.78,14,30,-0.1804530767025426,0,30,,,,,,,,,,,,,,,,
,,,,,,30,146,0.46153846153846156,1,-0.5971947692307691,0,2.230769230769231,,,,,,,,,,
1.38,0.86,28,60,-0.153986878041178,0,60,,,,,,,0.2,0.0,-0.040197212249040604,5,-1.943240213394165,0.2852739155292511,-0.03709045045077808,0.00811398,0.001,-0.15801966190338135
,,,,,,60,264,0.48148148148148145,2,-0.5778521481481482,0,2.1481481481481484,,,,,,,,,,
1.26,0.88,42,90,-0.06954313435126096,0,90,,,,,,,0.2,0.013333334028720856,0.015262842178344727,10,-1.9223327875137328,0.19488182663917542,-0.01559203239157796,0.004214412,0.001,-0.38435840606689453
,,,,,,90,378,0.4634146341463415,3,-0.5201893902439024,0,2.1707317073170733,,,,,,,,,,
1.2,0.92,54,120,-0.0497850595600903,0,120,,,,,,,0.2,0.0,0.01537979394197464,15,-1.9001802682876587,0.3561793237924576,-0.0307029425849517,0.007927958,0.001,-1.4224402904510498
,,,,,,120,488,0.41509433962264153,4,-0.5682430188679246,0,2.2641509433962264,,,,,,,,,,
1.34,0.86,68,150,-0.09094813177362085,0,150,,,,,,,0.2,0.020000000298023225,0.0689748227596283,20,-1.8613949298858643,0.24313609004020692,-0.01296082189306631,0.009689605,0.001,-0.24361634254455566
,,,,,,150,606,0.4626865671641791,5,-0.5338318358208956,0,2.2238805970149254,,,,,,,,,,
1.12,0.96,83,180,-0.05019986453466117,0,180,,,,,,,0.2,0.03333333432674408,0.10878072679042816,25,-1.7775823593139648,0.4479925334453583,-0.015969940908253478,0.0104408525,0.001,-0.7177886962890625
,,,,,,180,707,0.47560975609756095,6,-0.5201483292682926,0,2.1951219512195124,,,,,,,,,,
1.18,0.92,100,210,-0.08826926837675274,0,210,,,,,,,0.2,0.006666667014360428,0.10029254108667374,30,-1.6637199878692628,0.34496029913425447,-0.008268639814729539,0.008891044,0.001,-0.5791696310043335
,,,,,,210,830,0.5252525252525253,7,-0.4751438282828283,0,2.111111111111111,,,,,,,,,,
1.28,0.9,119,240,-0.07079337756615132,0,240,,,,,,,0.2,0.026666668057441712,0.06631375104188919,35,-1.4891099691390992,0.3495354771614075,-0.03240903103103232,0.016060429,0.001,-0.5625920295715332
,,,,,,240,943,0.58,8,-0.41184446,0,2.0,,,,,,,,,,
1.24,0.9,134,270,-0.09152712068054825,0,270,,,,,,,0.2,0.013333334028720856,0.09679652750492096,40,-1.2695314407348632,0.26730755269527434,-0.002170925562580095,0.0082997,0.001,-0.20625758171081543
,,,,,,270,1050,0.57,9,-0.4059975899999999,0,2.01,,,,,,,,,,
1.24,0.9,152,300,-0.07487998681142927,0,300,,,,,,,0.2,0.006666667014360428,0.07791486382484436,45,-1.1522815465927123,0.2393437922000885,-0.012009333142389523,0.003551072,0.001,0.06723880767822266
,,,,,,300,1158,0.66,10,-0.3315066699999999,0,1.84,,,,,,,,,,
1.28,0.88,171,330,-0.09242798715364188,0,330,,,,,,,0.2,0.09333333671092987,0.0320582240819931,50,-0.9799281835556031,0.24336954057216645,-0.043641161620617194,0.020098696,0.001,-0.11657679080963135
,,,,,,330,1271,0.69,11,-0.28993984000000006,0,1.74,,,,,,,,,,
1.3,0.9,186,360,-0.08920843861997127,0,360,,,,,,,0.2,0.0,0.14331181347370148,55,-0.7635305285453796,0.3223868191242218,0.004361238808681378,0.0011566599,0.001,-0.6105891466140747
,,,,,,360,1378,0.7,12,-0.27122461000000003,0,1.74,,,,,,,,,,
1.3,0.88,202,390,-0.05218618744518608,0,390,,,,,,,0.2,0.0,0.09513025730848312,60,-0.7150879859924316,0.23329295814037324,-0.002321418494297234,0.00059667823,0.001,-0.024960994720458984
,,,,,,390,1491,0.67,13,-0.29142693000000003,0,1.77,,,,,,,,,,
1.26,0.88,226,420,-0.0906495038792491,0,420,,,,,,,0.2,0.006666667014360428,0.09265697002410889,65,-0.6434776425361634,0.22632356286048888,-0.005482526880999572,0.0021840592,0.001,0.04816150665283203
,,,,,,420,1603,0.73,14,-0.25401458,0,1.66,,,,,,,,,,
1.2,0.94,242,450,-0.05031443496234715,0,450,,,,,,,0.2,0.020000000298023225,0.024218900129199028,70,-0.5484221696853637,0.16219602227211,-0.00927905833348639,0.0040428797,0.001,0.058938443660736084
,,,,,,450,1710,0.72,15,-0.25779998,0,1.7,,,,,,,,,,
1.26,0.88,259,480,-0.10937562740873545,0,480,,,,,,,0.2,0.0,0.24975940585136414,75,-0.46587371826171875,0.5376776933670044,-0.0009940953847639377,0.00052643416,0.001,-0.1225968599319458
,,,,,,480,1818,0.73,16,-0.26173851,0,1.67,,,,,,,,,,
1.44,0.82,277,510,-0.1522610170766711,0,510,,,,,,,0.2,0.0,0.10138075798749924,80,-0.41414437294006345,0.3452626347541809,-0.0005454933592893951,0.0009438376,0.001,0.1452203392982483
,,,,,,510,1937,0.7,17,-0.30088584,0,1.69,,,,,,,,,,
1.2,0.94,289,540,-0.049531180476769805,0,540,,,,,,,0.2,0.0,0.13121770322322845,85,-0.3680330991744995,0.26142919063568115,-0.0035177508415657143,0.0006852448,0.001,0.056187331676483154
,,,,,,540,2040,0.69,18,-0.31376654,0,1.73,,,,,,,,,,
1.06,1.0,309,570,-0.006606242107227445,0,570,,,,,,,0.2,0.0,0.07692292332649231,90,-0.3168382585048676,0.16824195086956023,-0.0014909684797750344,0.0006367346,0.001,0.05134022235870361
