eval/mean_reward,env/n_steps,env/completion_counter,eval/success_rate,eval/mean_ep_length,time/total_timesteps,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/clip_range
-0.11378911287523806,30,0,0.9,1.28,30,13,,,,,,,,,,,,,,,,
,,,,,30,,2.4166666666666665,-0.4985233333333335,1,0.4166666666666667,142,0,,,,,,,,,,
-0.02934707884211093,60,0,0.96,1.16,60,28,,,,,,,-0.0298060815036294,-1.045954942703247,0.38565734773874283,0.0,0.00509032,0.001,5,-1.9444042205810548,0.014934740960597992,0.2
,,,,,60,,2.1481481481481484,-0.3583983333333333,2,0.5555555555555556,247,0,,,,,,,,,,
-0.028062452888116242,90,0,0.96,1.16,90,44,,,,,,,-0.02647028313328832,0.15031331777572632,0.09768143817782401,0.013333334028720856,0.009463058,0.001,10,-1.929094624519348,-0.038167595863342285,0.2
,,,,,90,,2.046511627906977,-0.3821297906976744,3,0.5581395348837209,348,0,,,,,,,,,,
-0.11268219183664768,120,0,0.86,1.32,120,58,,,,,,,-0.00648622572887696,-0.1478896141052246,0.29894316494464873,0.0,0.0066191675,0.001,15,-1.8967971324920654,0.09303025156259537,0.2
,,,,,120,,2.1052631578947367,-0.4287275614035088,4,0.5263157894736842,459,0,,,,,,,,,,
-0.052155984845012424,150,0,0.92,1.24,150,74,,,,,,,-0.007467056317254972,-0.5982068777084351,0.29576775133609773,0.0,0.0019857327,0.001,20,-1.8731428146362306,0.07706864178180695,0.2
,,,,,150,,2.0273972602739727,-0.40309749315068494,5,0.5753424657534246,572,0,,,,,,,,,,
-0.11123983778059482,180,0,0.88,1.3,180,88,,,,,,,-0.009758057326543935,0.027450859546661377,0.2099906623363495,0.0,0.004310332,0.001,25,-1.8482010126113892,0.0460539385676384,0.2
,,,,,180,,2.0689655172413794,-0.42972263218390805,6,0.5517241379310345,692,0,,,,,,,,,,
-0.090498655452393,210,0,0.92,1.18,210,103,,,,,,,-0.00960947696274772,-0.4371997117996216,0.3231815338134766,0.0,0.0023383002,0.001,30,-1.81350257396698,0.10330642759799957,0.2
,,,,,210,,2.03,-0.4291201000000001,7,0.56,795,0,,,,,,,,,,
-0.11103447408881038,240,0,0.9,1.34,240,115,,,,,,,-0.007150350440448605,-0.06586503982543945,0.21603829860687257,0.0,0.004989491,0.001,35,-1.7595766067504883,0.06228402629494667,0.2
,,,,,240,,2.05,-0.46379013999999996,8,0.55,920,0,,,,,,,,,,
-0.0724213108420372,270,0,0.88,1.28,270,129,,,,,,,-0.026017138399183893,-0.023198366165161133,0.18609610497951506,0.020000000298023225,0.007843409,0.001,40,-1.694322395324707,0.015319280326366425,0.2
,,,,,270,,2.09,-0.49581566000000005,9,0.52,1032,0,,,,,,,,,,
-0.06949182281736284,300,0,0.94,1.22,300,144,,,,,,,-0.018282954841852474,-0.06044304370880127,0.30000669956207277,0.12666666507720947,0.015806831,0.001,45,-1.5794201135635375,0.08301593363285065,0.2
,,,,,300,,2.11,-0.4963622099999999,10,0.52,1142,0,,,,,,,,,,
-0.11033263942226768,330,0,0.9,1.26,330,160,,,,,,,-0.012709070264051192,0.034248292446136475,0.21559740602970123,0.0,0.009246411,0.001,50,-1.4404131412506103,0.055584728717803955,0.2
,,,,,330,,2.06,-0.48574345,11,0.54,1253,0,,,,,,,,,,
-0.04794702793005854,360,0,0.96,1.12,360,178,,,,,,,-0.027399052244921764,-0.019517183303833008,0.26181564629077914,0.0866666704416275,0.016518643,0.001,55,-1.2679598093032838,0.06507442891597748,0.2
,,,,,360,,2.01,-0.47634899,12,0.55,1360,0,,,,,,,,,,
-0.11283637971151621,390,0,0.86,1.3,390,195,,,,,,,-0.005035509218772205,-0.06893861293792725,0.27641741931438446,0.026666668057441712,0.00994068,0.001,60,-1.0917719602584839,0.10541331768035889,0.2
,,,,,390,,1.97,-0.45834937,13,0.57,1474,0,,,,,,,,,,
-0.08786945983767509,420,0,0.92,1.18,420,212,,,,,,,-0.006650092173367738,-0.16049599647521973,0.2802018642425537,0.08666666746139526,0.015806837,0.001,65,-0.8932464957237244,0.11177429556846619,0.2
,,,,,420,,1.87,-0.37963114000000003,14,0.62,1575,0,,,,,,,,,,
-0.02816975139081478,450,0,0.96,1.1,450,229,,,,,,,-0.0008271395060001297,-0.042775869369506836,0.1875498503446579,0.0,0.0012936811,0.001,70,-0.7704063296318054,0.07467403262853622,0.2
,,,,,450,,1.8,-0.3445419899999999,15,0.65,1674,0,,,,,,,,,,
-0.11340315866284073,480,0,0.9,1.28,480,247,,,,,,,-0.005874619251117252,0.4012221693992615,0.14793145954608916,0.006666667014360428,0.0016584079,0.001,75,-0.7104450702667237,0.052489299327135086,0.2
,,,,,480,,1.74,-0.31194861,16,0.68,1796,0,,,,,,,,,,
-0.12974827346391976,510,0,0.86,1.32,510,261,,,,,,,-0.026868781968951084,0.2593533992767334,0.19135770797729493,0.04666666761040687,0.009096954,0.001,80,-0.5968395233154297,0.028368312865495682,0.2
,,,,,510,,1.76,-0.31724456999999995,17,0.66,1905,0,,,,,,,,,,
-0.09007425508461893,540,0,0.92,1.22,540,281,,,,,,,0.00510299912343406,-0.12166464328765869,0.23642734587192535,0.0,0.001381129,0.001,85,-0.47226130962371826,0.10673904418945312,0.2
,,,,,540,,1.75,-0.30495377,18,0.67,2018,0,,,,,,,,,,
-0.11040027072187514,570,0,0.9,1.24,570,296,,,,,,,-3.029088145307668e-05,0.027697741985321045,0.25353047251701355,0.0,5.908807e-06,0.001,90,-0.4413674473762512,0.11713649332523346,0.2
,,,,,570,,1.76,-0.31331703000000005,19,0.66,2134,0,,,,,,,,,,
-0.03124581973068416,600,0,0.98,1.14,600,315,,,,,,,-3.7626425886116976e-06,-0.2203582525253296,0.26938610076904296,0.0,4.1206677e-06,0.001,95,-0.42568575143814086,0.11504478752613068,0.2
,,,,,600,,1.75,-0.30427378,20,0.66,2237,0,,,,,,,,,,
-0.0703761372063309,630,0,0.9,1.24,630,327,,,,,,,-0.004658787666510023,0.2716040015220642,0.24680276215076447,0.0,0.0004188478,0.001,100,-0.40890519618988036,0.06510769575834274,0.2
,,,,,630,,1.84,-0.35936450999999997,21,0.62,2345,0,,,,,,,,,,
-0.11223232166841626,660,0,0.86,1.36,660,343,,,,,,,-0.0064297062034405885,-0.05920398235321045,0.4587689459323883,0.0,0.0017783125,0.001,105,-0.3647668957710266,0.2044278234243393,0.2
,,,,,660,,1.88,-0.36824809000000003,22,0.6,2470,0,,,,,,,,,,
-0.10978341621346771,690,0,0.88,1.24,690,363,,,,,,,-1.1142094935578939e-06,0.11425870656967163,0.22273377776145936,0.0,1.9860268e-05,0.001,110,-0.32519025802612306,0.10293270647525787,0.2
,,,,,690,,1.75,-0.29856454000000004,23,0.67,2592,0,,,,,,,,,,
-0.008753046570345759,720,0,0.96,1.14,720,375,,,,,,,-0.0026945296628401393,-0.14568638801574707,0.26170589923858645,0.0,0.0011188388,0.001,115,-0.2941315770149231,0.11084238439798355,0.2
,,,,,720,,1.88,-0.35818555999999996,24,0.61,2694,0,,,,,,,,,,
-0.08931198038626462,750,0,0.92,1.22,750,397,,,,,,,0.006959356330334998,0.06862974166870117,0.28397494554519653,0.0,0.00074530445,0.001,120,-0.25130058228969576,0.11754447966814041,0.2
,,,,,750,,1.79,-0.30988763999999996,25,0.66,2819,0,,,,,,,,,,
-0.09099554765969514,780,0,0.88,1.32,780,418,,,,,,,-7.107059197153376e-06,0.23917096853256226,0.3028191804885864,0.0,3.2583873e-07,0.001,125,-0.24650948643684387,0.14402681589126587,0.2
,,,,,780,,1.72,-0.29057331999999997,26,0.69,2937,0,,,,,,,,,,
-0.04900371605530381,810,0,0.94,1.18,810,438,,,,,,,-0.005736638992093646,0.16848862171173096,0.18213727176189423,0.006666667014360428,0.007655978,0.001,130,-0.2754753053188324,0.06850464642047882,0.2
,,,,,810,,1.6,-0.24446534999999997,27,0.76,3046,0,,,,,,,,,,
-0.0719621726963669,840,0,0.86,1.34,840,455,,,,,,,0.0001396544782135578,0.09418380260467529,0.20598609149456024,0.0,0.0006920934,0.001,135,-0.28951151967048644,0.08833549171686172,0.2
,,,,,840,,1.61,-0.23635174000000003,28,0.75,3171,0,,,,,,,,,,
-0.08995266990736127,870,0,0.9,1.28,870,473,,,,,,,-0.00502819806803032,0.18708163499832153,0.20422104001045227,0.020000000298023225,0.002635628,0.001,140,-0.2987354874610901,0.08648090809583664,0.2
,,,,,870,,1.54,-0.17956259,29,0.79,3294,0,,,,,,,,,,
-0.07026689634658397,900,0,0.9,1.28,900,489,,,,,,,-0.0008558563368083582,0.11214423179626465,0.14029856622219086,0.026666668057441712,0.004048373,0.001,145,-0.34216737747192383,0.06293659657239914,0.2
,,,,,900,,1.58,-0.18318922999999998,30,0.78,3406,0,,,,,,,,,,
-0.05004299857188016,930,0,0.92,1.2,930,508,,,,,,,-0.0004155619921707654,-0.05640840530395508,0.1838869869709015,0.0,0.0002120018,0.001,150,-0.38568190932273866,0.07792297750711441,0.2
,,,,,930,,1.64,-0.23367373,31,0.74,3518,0,,,,,,,,,,
-0.11421793051995337,960,0,0.9,1.26,960,527,,,,,,,-0.0017268299645122553,0.35851413011550903,0.1708631694316864,0.0,0.00048534074,0.001,155,-0.4142494797706604,0.06765656918287277,0.2
,,,,,960,,1.67,-0.23238114999999998,32,0.73,3625,0,,,,,,,,,,
-0.06853779789060355,990,0,0.94,1.14,990,547,,,,,,,-0.004293014413366691,-0.06931412220001221,0.2118724465370178,0.0,0.0021695674,0.001,160,-0.3889149188995361,0.0788213461637497,0.2
,,,,,990,,1.61,-0.19740699999999997,33,0.77,3729,0,,,,,,,,,,
-0.04774742363486439,1020,0,0.96,1.12,1020,567,,,,,,,0.003033294746031601,0.1360359787940979,0.12909925282001494,0.0,0.00014365514,0.001,165,-0.3272930204868317,0.0592796616256237,0.2
,,,,,1020,,1.6,-0.18633278,34,0.78,3831,0,,,,,,,,,,
-0.09131090456619859,1050,0,0.86,1.34,1050,586,,,,,,,-0.0028583427968744248,0.45396602153778076,0.07870976105332375,0.0,0.0006427169,0.001,170,-0.32951045632362364,0.021340057253837585,0.2
,,,,,1050,,1.56,-0.20644968,35,0.79,3951,0,,,,,,,,,,
-0.068750827210024,1080,0,0.92,1.18,1080,607,,,,,,,-0.010497696542491396,0.24160587787628174,0.14440158009529114,0.013333334028720856,0.002872787,0.001,175,-0.2802068829536438,0.03720260038971901,0.2
,,,,,1080,,1.52,-0.16888479,36,0.82,4069,0,,,,,,,,,,
-0.1132910843193531,1110,0,0.88,1.32,1110,629,,,,,,,-0.005980794423570401,0.3671135902404785,0.10708671808242798,0.020000001043081285,0.00357548,0.001,180,-0.19932665526866913,0.03464420139789581,0.2
,,,,,1110,,1.47,-0.15555636,37,0.84,4195,0,,,,,,,,,,
-0.047878238311968746,1140,0,0.96,1.16,1140,648,,,,,,,2.4096170955445474e-06,-0.13676893711090088,0.22392722964286804,0.0,1.6923745e-05,0.001,185,-0.14650152623653412,0.08965512365102768,0.2
,,,,,1140,,1.48,-0.15758117,38,0.83,4299,0,,,,,,,,,,
-0.049766021678224207,1170,0,0.94,1.14,1170,668,,,,,,,-2.0001332018182437e-06,-0.5674769878387451,0.2114638864994049,0.0,3.7153561e-06,0.001,190,-0.12146149724721908,0.08937081694602966,0.2
,,,,,1170,,1.48,-0.16719695999999998,39,0.82,4407,0,,,,,,,,,,
-0.028786606811918317,1200,0,0.92,1.24,1200,686,,,,,,,-0.00021003365487501924,0.2416006326675415,0.17168368101119996,0.0,0.00016116301,0.001,195,-0.10836713761091232,0.0722164511680603,0.2
,,,,,1200,,1.5,-0.18047315,40,0.81,4517,0,,,,,,,,,,
-0.06987339832819998,1230,0,0.92,1.18,1230,709,,,,,,,-0.005418331651016928,0.021886467933654785,0.24540579319000244,0.013333334028720856,0.0027652185,0.001,200,-0.09641917049884796,0.10086002945899963,0.2
,,,,,1230,,1.48,-0.16678763,41,0.82,4626,0,,,,,,,,,,
-0.06898445402272045,1260,0,0.9,1.26,1260,727,,,,,,,-1.0474523069348151e-06,0.03920423984527588,0.15479942709207534,0.0,9.655953e-07,0.001,205,-0.08229668587446212,0.044180285185575485,0.2
,,,,,1260,,1.52,-0.17862593000000002,42,0.8,4734,0,,,,,,,,,,
-0.07010162822902202,1290,0,0.92,1.26,1290,742,,,,,,,-3.2500425518833254e-06,0.08046120405197144,0.4213802695274353,0.0,2.4239222e-07,0.001,210,-0.07493973523378372,0.19000433385372162,0.2
,,,,,1290,,1.62,-0.19812567,43,0.75,4849,0,,,,,,,,,,
-0.07023739840835333,1320,0,0.92,1.22,1320,761,,,,,,,-3.389517530649755e-07,-0.036989569664001465,0.1849684774875641,0.0,1.1920929e-07,0.001,215,-0.07074057906866074,0.08764293789863586,0.2
,,,,,1320,,1.59,-0.19878955000000004,44,0.76,4965,0,,,,,,,,,,
-0.1294915140606463,1350,0,0.88,1.32,1350,778,,,,,,,-3.7302573652198134e-07,0.17940294742584229,0.1604681968688965,0.0,0.0,0.001,220,-0.06825152784585953,0.0667305588722229,0.2
,,,,,1350,,1.65,-0.22549542000000003,45,0.74,5094,0,,,,,,,,,,
-0.11102454893290997,1380,0,0.88,1.3,1380,792,,,,,,,8.545319035491161e-07,0.12966632843017578,0.29787200689315796,0.0,0.0,0.001,225,-0.06740405261516572,0.12054593116044998,0.2
,,,,,1380,,1.71,-0.25294318,46,0.71,5211,0,,,,,,,,,,
-0.15360052016563713,1410,0,0.8,1.44,1410,811,,,,,,,-9.560227413523137e-05,0.08521229028701782,0.1889575183391571,0.0,2.2341808e-05,0.001,230,-0.0658078670501709,0.0947113111615181,0.2
,,,,,1410,,1.75,-0.27331248,47,0.69,5333,0,,,,,,,,,,
-0.06839479256886989,1440,0,0.94,1.2,1440,825,,,,,,,-1.2516975402832032e-07,-0.13779985904693604,0.44719058871269224,0.0,0.0,0.001,235,-0.06341676265001298,0.1788853406906128,0.2
,,,,,1440,,1.81,-0.26519346000000005,48,0.67,5443,0,,,,,,,,,,
-0.07066969189792871,1470,0,0.9,1.26,1470,846,,,,,,,-1.3979276069164826e-06,-0.2513538599014282,0.22829902172088623,0.0,0.0,0.001,240,-0.06258454322814941,0.08552096039056778,0.2
,,,,,1470,,1.73,-0.26361818,49,0.72,5560,0,,,,,,,,,,
-0.07095317021943628,1500,0,0.88,1.34,1500,866,,,,,,,-2.3444493990609773e-08,0.056383371353149414,0.18375387489795686,0.0,0.0,0.001,245,-0.06092233434319496,0.08182407170534134,0.2
,,,,,1500,,1.72,-0.24069848,50,0.72,5673,0,,,,,,,,,,
-0.07089448724873364,1530,0,0.9,1.24,1530,883,,,,,,,-9.377797489662499e-08,0.10340577363967896,0.13340034186840058,0.0,0.0,0.001,250,-0.06036451011896134,0.06597333401441574,0.2
,,,,,1530,,1.7,-0.20948729000000005,51,0.74,5782,0,,,,,,,,,,
