env/current_idx,env/completion_counter,eval/success_rate,eval/mean_reward,time/total_timesteps,env/n_steps,eval/mean_ep_length,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/approx_kl
11,0,0.94,-0.07551680706907064,30,30,1.54,,,,,,,,,,,,,,,,
,,,,30,,,1,164,0.8,-0.2858599,2.7,0,,,,,,,,,,
18,0,0.96,-0.054785454478114844,60,60,1.34,,,,,,,0.0,-0.034488719751437455,5,-0.5029473304748535,0.2,0.001,-1.943433666229248,-0.023900572210550308,0.1322374828159809,0.0069939476
,,,,60,,,2,292,0.5882352941176471,-0.5559954705882353,3.5294117647058822,0,,,,,,,,,,
30,0,0.96,-0.05513922713696957,90,90,1.38,,,,,,,0.0,-0.007905128014584406,10,-0.4122300148010254,0.2,0.001,-1.9252887964248657,0.04556376487016678,0.24905046224594116,0.00420205
,,,,90,,,3,417,0.6206896551724138,-0.4532667586206896,3.0689655172413794,0,,,,,,,,,,
40,0,0.92,-0.08755664913915098,120,120,1.6,,,,,,,0.013333334028720856,-0.020682905955860954,15,-0.33332717418670654,0.2,0.001,-1.902599024772644,0.035812366753816605,0.25001456439495084,0.005537341
,,,,120,,,4,548,0.6153846153846154,-0.4365562307692308,3.076923076923077,0,,,,,,,,,,
48,0,0.9,-0.11751713769044728,150,150,1.52,,,,,,,0.046666666865348816,-0.028114746722082317,20,-0.1845303773880005,0.2,0.001,-1.850195860862732,0.009544450789690018,0.22483014762401582,0.01385186
,,,,150,,,5,682,0.5957446808510638,-0.46200025531914884,3.1914893617021276,0,,,,,,,,,,
56,0,0.98,-0.028325777710415424,180,180,1.14,,,,,,,0.08666666820645333,-0.05240349762141712,25,-0.2775251865386963,0.2,0.001,-1.7439094543457032,-0.020259030163288116,0.23270630538463594,0.020840364
,,,,180,,,6,790,0.5818181818181818,-0.4880392181818181,3.2545454545454544,0,,,,,,,,,,
64,0,0.9,-0.11726089173927903,210,210,1.7,,,,,,,0.0,0.011565526102979895,30,-0.8064495325088501,0.2,0.001,-1.631312656402588,0.14938797056674957,0.36131511330604554,0.0013592541
,,,,210,,,7,930,0.5714285714285714,-0.5003213174603175,3.2857142857142856,0,,,,,,,,,,
75,0,0.96,-0.060807243604212996,240,240,1.24,,,,,,,0.0,0.0019276531351110292,35,-0.14135336875915527,0.2,0.001,-1.6456570625305176,0.050775084644556046,0.15756836533546448,0.00056791306
,,,,240,,,8,1052,0.581081081081081,-0.49236937837837824,3.2162162162162162,0,,,,,,,,,,
87,0,0.96,-0.05434782349038869,270,270,1.32,,,,,,,0.0,-0.0032885217369766906,40,0.14977657794952393,0.2,0.001,-1.617176079750061,0.0717909187078476,0.20798749029636382,0.0011416157
,,,,270,,,9,1167,0.5930232558139535,-0.47750022093023253,3.127906976744186,0,,,,,,,,,,
96,0,0.92,-0.09560180729720741,300,300,1.36,,,,,,,0.0,-0.01592209694907041,45,-0.24627912044525146,0.2,0.001,-1.6056812763214112,0.044830940663814545,0.23369797468185424,0.0069925804
,,,,300,,,10,1293,0.5894736842105263,-0.48707090526315777,3.1157894736842104,0,,,,,,,,,,
109,0,0.96,-0.04991432155948132,330,330,1.22,,,,,,,0.13999999761581422,-0.04098142626384878,50,0.1462855339050293,0.2,0.001,-1.4801555633544923,-6.528198719024658e-05,0.1868875116109848,0.022045225
,,,,330,,,11,1404,0.61,-0.4595867299999999,3.05,0,,,,,,,,,,
121,0,0.98,-0.03138739289715886,360,360,1.34,,,,,,,0.0,0.003973641370733106,55,-0.29726552963256836,0.2,0.001,-1.300746989250183,0.10903170704841614,0.22933318912982942,0.005314372
,,,,360,,,12,1517,0.61,-0.43517605000000004,2.97,0,,,,,,,,,,
133,0,0.9,-0.1174279129318893,390,390,1.48,,,,,,,0.0,-0.003521694315131896,60,-0.0822376012802124,0.2,0.001,-1.2226080179214478,0.09956183284521103,0.25751836597919464,0.0017633021
,,,,390,,,13,1639,0.63,-0.44032499,2.88,0,,,,,,,,,,
145,0,0.88,-0.13471172547899188,420,420,1.62,,,,,,,0.0,-0.008667918900027872,65,0.17280042171478271,0.2,0.001,-1.1572792768478393,0.07076628506183624,0.21320751309394836,0.0042637787
,,,,420,,,14,1793,0.64,-0.41831972000000006,2.8,0,,,,,,,,,,
159,0,0.92,-0.0764363905461505,450,450,1.6,,,,,,,0.04000000208616257,-0.014738773523519554,70,0.16241973638534546,0.2,0.001,-0.9752026557922363,0.11650803685188293,0.33801875710487367,0.0075591444
,,,,450,,,15,1923,0.69,-0.36579737,2.6,0,,,,,,,,,,
