eval/mean_reward,env/n_steps,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/value_loss
-0.24838682792615147,30,9,0,30,2.12,0.76,,,,,,,,,,,,,,,,
,,,,30,,,0,-0.6552804999999999,192,0.375,1,3.75,,,,,,,,,,
-0.14544729386456312,60,18,0,60,1.66,0.88,,,,,,,-1.9445008039474487,0.001,0.004273063,0.0,-0.02720379331459668,0.2,-1.6250197887420654,5,-0.0044002532958984375,0.4763810053467751
,,,,60,,,0,-0.6264583529411765,322,0.47058823529411764,2,3.2941176470588234,,,,,,,,,,
-0.02834283172618598,90,27,0,90,1.12,0.98,,,,,,,-1.935255265235901,0.001,0.00433285,0.0,-0.013686381980465966,0.2,-0.23899877071380615,10,0.04375389218330383,0.3628751188516617
,,,,90,,,0,-0.6527577307692309,427,0.4230769230769231,3,3.423076923076923,,,,,,,,,,
-0.07575613166671247,120,37,0,120,1.26,0.94,,,,,,,-1.9198084354400635,0.001,0.0071259993,0.04666666835546494,-0.03493203982710842,0.2,-0.07747626304626465,15,-0.02819468453526497,0.14735397845506668
,,,,120,,,0,-0.61246075,554,0.4722222222222222,4,3.3055555555555554,,,,,,,,,,
-0.07618279954884201,150,49,0,150,1.38,0.92,,,,,,,-1.8726020812988282,0.001,0.013833386,0.046666666865348816,-0.04142769475777967,0.2,0.14799022674560547,20,-0.02411683276295662,0.17247270196676254
,,,,150,,,0,-0.50317125,666,0.5208333333333334,5,3.125,,,,,,,,,,
-0.07281380341388285,180,66,0,180,1.5,0.9,,,,,,,-1.7903561353683473,0.001,0.0108586745,0.026666668057441712,-0.005621717348694766,0.2,-1.7716877460479736,25,0.1413181722164154,0.4674245536327362
,,,,180,,,0,-0.39471275384615384,785,0.6153846153846154,6,2.769230769230769,,,,,,,,,,
-0.05033997445367277,210,74,0,210,1.24,0.96,,,,,,,-1.695105791091919,0.001,0.00837132,0.0,-0.01096661554339029,0.2,0.04641467332839966,30,0.01748594455420971,0.1356400042772293
,,,,210,,,0,-0.4265249315068493,895,0.6027397260273972,7,2.8493150684931505,,,,,,,,,,
-0.07262915930710732,240,89,0,240,1.38,0.92,,,,,,,-1.5464090347290038,0.001,0.011896026,0.020000000298023225,-0.014054972374190556,0.2,0.006005227565765381,35,0.06935051083564758,0.2922467052936554
,,,,240,,,0,-0.37132227272727275,1015,0.6590909090909091,8,2.727272727272727,,,,,,,,,,
-0.02932362852618098,270,101,0,270,1.16,0.98,,,,,,,-1.3895004272460938,0.001,0.0064160186,0.006666667014360428,-0.0022587736253626644,0.2,-0.1911308765411377,40,0.14220520853996277,0.5371150970458984
,,,,270,,,0,-0.34557063,1127,0.68,9,2.69,,,,,,,,,,
-0.03311415349133313,300,115,0,300,1.4,0.98,,,,,,,-1.252350640296936,0.001,0.007561602,0.026666668057441712,-0.008753949596236054,0.2,-0.19009768962860107,45,0.0745992660522461,0.17521622478961946
,,,,300,,,0,-0.30035775000000003,1249,0.72,10,2.54,,,,,,,,,,
-0.03099329070188105,330,124,0,330,1.3,0.98,,,,,,,-1.162956428527832,0.001,0.0007358511,0.0,-0.0024157015156617946,0.2,-0.012267112731933594,50,0.10566273331642151,0.3701770961284637
,,,,330,,,0,-0.29172407,1356,0.73,11,2.54,,,,,,,,,,
-0.053456731219775976,360,141,0,360,1.32,0.96,,,,,,,-1.0914153575897216,0.001,0.0013728738,0.0,-0.005332277930962448,0.2,-0.03406333923339844,55,0.12531620264053345,0.27848957777023314
,,,,360,,,0,-0.22048824999999997,1467,0.78,12,2.3,,,,,,,,,,
-0.04923147314228118,390,155,0,390,1.22,0.96,,,,,,,-1.1388363122940064,0.001,0.0013480048,0.0,-0.00028865625538543327,0.2,0.03038203716278076,60,0.13507699966430664,0.3441514015197754
,,,,390,,,0,-0.24627378,1581,0.77,13,2.3,,,,,,,,,,
-0.1009123014472425,420,168,0,420,1.56,0.92,,,,,,,-1.067456340789795,0.001,0.004247995,0.013333334028720856,-0.004776013300676496,0.2,-0.04711902141571045,65,0.09207737445831299,0.22061003744602203
,,,,420,,,0,-0.26427014000000004,1706,0.77,14,2.34,,,,,,,,,,
-0.07672437003348023,450,182,0,450,1.36,0.94,,,,,,,-0.9986764430999756,0.001,0.003325987,0.013333334028720856,-0.011419299480815681,0.2,0.03953677415847778,70,0.07251817733049393,0.20863037407398224
,,,,450,,,0,-0.22463258000000003,1817,0.8,15,2.21,,,,,,,,,,
-0.029951136405579747,480,194,0,480,1.22,0.98,,,,,,,-0.9276218414306641,0.001,0.0061578075,0.026666668057441712,-0.013687356486916612,0.2,0.016061604022979736,75,0.07607948780059814,0.21326104700565338
,,,,480,,,0,-0.24408504,1922,0.79,16,2.26,,,,,,,,,,
-0.11623987795785069,510,209,0,510,1.6,0.88,,,,,,,-0.810541319847107,0.001,0.0010100484,0.0,-0.0029778111462164247,0.2,0.07345753908157349,80,0.07219584286212921,0.1910783350467682
,,,,510,,,0,-0.25151043,2076,0.78,17,2.21,,,,,,,,,,
-0.0820207168115303,540,225,0,540,1.42,0.92,,,,,,,-0.7481269001960754,0.001,0.0019287686,0.013333334028720856,-0.0054162995020549335,0.2,0.08347892761230469,85,0.08180419355630875,0.20536644756793976
,,,,540,,,0,-0.18983755,2198,0.82,18,2.07,,,,,,,,,,
-0.12225288005080075,570,240,0,570,1.5,0.9,,,,,,,-0.668824315071106,0.001,0.0011271059,0.0,-0.0037495938626420865,0.2,-7.470925331115723,90,0.011644288897514343,0.10408055186271667
,,,,570,,,0,-0.21297332000000002,2330,0.81,19,2.15,,,,,,,,,,
-0.03357904796488583,600,257,0,600,1.22,0.96,,,,,,,-0.5840515613555908,0.001,0.00061642926,0.0,0.005727685913443281,0.2,-0.30266308784484863,95,0.17516052722930908,0.44379045367240905
,,,,600,,,0,-0.18451785,2442,0.83,20,2.04,,,,,,,,,,
-0.0491409168113023,630,274,0,630,1.2,0.96,,,,,,,-0.5708266019821167,0.001,0.0005768875,0.0,-0.0010585379544259866,0.2,0.027960240840911865,100,0.06495504081249237,0.16274381279945374
,,,,630,,,0,-0.16738788,2551,0.84,21,1.93,,,,,,,,,,
-0.09409974772017449,660,291,0,660,1.4,0.92,,,,,,,-0.7306637048721314,0.001,0.018894602,0.03333333432674408,-0.014547730175157269,0.2,0.06503802537918091,105,0.06196444481611252,0.22314834892749785
,,,,660,,,0,-0.17294357000000002,2669,0.84,22,1.87,,,,,,,,,,
-0.11584250275511294,690,302,0,690,1.56,0.88,,,,,,,-0.8147606372833252,0.001,0.0009870032,0.0,-0.004860182112703804,0.2,0.13890749216079712,110,0.07975859940052032,0.20961835980415344
,,,,690,,,0,-0.18137835999999996,2796,0.83,23,1.93,,,,,,,,,,
-0.07225277440156788,720,316,0,720,1.44,0.94,,,,,,,-0.738504946231842,0.001,0.002136898,0.006666667014360428,-0.00717001288353174,0.2,-0.10332810878753662,115,0.1042468249797821,0.26097233295440675
,,,,720,,,0,-0.18477016000000002,2916,0.84,24,1.99,,,,,,,,,,
-0.029568567224778235,750,329,0,750,1.16,0.96,,,,,,,-0.7468573570251464,0.001,0.008315793,0.0800000011920929,-0.008378191413358138,0.2,-0.2610081434249878,120,0.053671132773160934,0.2476770758628845
,,,,750,,,0,-0.21212115999999998,3021,0.83,25,2.0,,,,,,,,,,
-0.031948505113832654,780,344,0,780,1.24,0.98,,,,,,,-0.8704725861549377,0.001,0.017791228,0.0800000011920929,-0.008116962785522475,0.2,-0.10990321636199951,125,0.19427651166915894,0.416031551361084
,,,,780,,,0,-0.21289086999999998,3128,0.83,26,2.0,,,,,,,,,,
-0.0304179312242195,810,362,0,810,1.28,0.98,,,,,,,-0.937459659576416,0.001,0.0028600534,0.006666667014360428,-0.010822093126674304,0.2,-0.043618083000183105,130,0.08571113646030426,0.2846094936132431
,,,,810,,,0,-0.21187160000000002,3240,0.84,27,1.99,,,,,,,,,,
-0.10008480687625707,840,374,0,840,1.4,0.92,,,,,,,-0.8639407634735108,0.001,0.00428502,0.006666667014360428,-0.005808240530702058,0.2,0.36597782373428345,135,0.0797143280506134,0.21154142022132874
,,,,840,,,0,-0.23366640000000005,3374,0.82,28,2.09,,,,,,,,,,
-0.008807373624294996,870,386,0,870,1.14,0.98,,,,,,,-0.8237295627593995,0.001,0.021632306,0.03333333432674408,-0.011815427181621273,0.2,0.0746954083442688,140,0.07561314105987549,0.20803983509540558
,,,,870,,,0,-0.2561144,3481,0.8,29,2.17,,,,,,,,,,
-0.07197438393719495,900,396,0,900,1.36,0.92,,,,,,,-0.8528483986854554,0.001,0.0037567874,0.006666667014360428,-0.011108560257902411,0.2,0.2658170461654663,145,0.040711697190999985,0.18845470249652863
,,,,900,,,0,-0.30269473,3592,0.77,30,2.26,,,,,,,,,,
-0.0736461125826463,930,411,0,930,1.34,0.94,,,,,,,-0.8412160992622375,0.001,0.009997454,0.03333333432674408,-0.005240991388758687,0.2,0.18072998523712158,150,0.07474212348461151,0.19332717061042787
,,,,930,,,0,-0.29847889999999994,3701,0.77,31,2.21,,,,,,,,,,
-0.049119608988985416,960,426,0,960,1.3,0.96,,,,,,,-0.5981452941894532,0.001,0.0028983057,0.006666667014360428,-0.0026352226353864696,0.2,0.32976293563842773,155,0.11322098970413208,0.32564743161201476
,,,,960,,,0,-0.28175959,3817,0.78,32,2.11,,,,,,,,,,
-0.07378850345499814,990,444,0,990,1.44,0.94,,,,,,,-0.49369877576828003,0.001,0.006295381,0.03333333432674408,-0.009199574900169694,0.2,0.19906800985336304,160,0.06748312711715698,0.22155189216136933
,,,,990,,,0,-0.26997643,3947,0.79,33,2.08,,,,,,,,,,
-0.03151432959362865,1020,461,0,1020,1.28,0.96,,,,,,,-0.4533872425556183,0.001,0.0003185908,0.0,-0.0014337617217094589,0.2,0.277133584022522,165,0.061595767736434937,0.1530867636203766
,,,,1020,,,0,-0.28092522,4058,0.77,34,2.16,,,,,,,,,,
-0.0285133191710338,1050,477,0,1050,1.2,0.98,,,,,,,-0.4598192095756531,0.001,0.000102041166,0.0,0.0009041726104136672,0.2,0.15991663932800293,170,0.08927909284830093,0.18550518453121184
,,,,1050,,,0,-0.26395768999999997,4165,0.79,35,2.04,,,,,,,,,,
-0.049297426254488526,1080,489,0,1080,1.2,0.96,,,,,,,-0.45161767601966857,0.001,0.0001386722,0.0,-0.0013506531769719387,0.2,0.2627987861633301,175,0.0933748111128807,0.22928517758846284
,,,,1080,,,0,-0.27494249000000004,4274,0.79,36,2.06,,,,,,,,,,
