env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/n_steps,eval/mean_reward,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
0,9,1.58,30,0.88,30,-0.13978697829414158,,,,,,,,,,,,,,,,
,,,30,,,,1,3.5,139,-0.5176268749999999,0,0.625,,,,,,,,,,
0,20,1.22,60,0.96,60,-0.04936209555249661,,,,,,,-1.945093297958374,0.25804898142814636,5,0.0,0.7908093929290771,0.001,0.0023889323,0.2,0.0007405877113342285,-0.015845352324346605
,,,60,,,,2,3.0526315789473686,243,-0.4075685263157894,0,0.6842105263157895,,,,,,,,,,
0,31,1.64,90,0.86,90,-0.16039439116138965,,,,,,,-1.9395068883895874,-0.018521029502153397,10,0.0,0.2438763976097107,0.001,0.0052277585,0.2,-0.7365492582321167,-0.0268117793028555
,,,90,,,,3,3.0,381,-0.38635936666666665,0,0.6666666666666666,,,,,,,,,,
0,41,1.56,120,0.88,120,-0.1473377541359514,,,,,,,-1.9281057596206665,0.002312060445547104,15,0.020000000298023225,0.19844601750373841,0.001,0.007156485,0.2,-0.3054227828979492,-0.020157504025846863
,,,120,,,,4,2.975,515,-0.4454982,0,0.65,,,,,,,,,,
0,51,1.52,150,0.92,150,-0.0992379458853975,,,,,,,-1.9111595153808594,0.1342284381389618,20,0.0,0.37620202302932737,0.001,0.0040709395,0.2,-0.17276978492736816,-0.0068876728120571325
,,,150,,,,5,2.98,639,-0.42507996,0,0.64,,,,,,,,,,
0,64,1.58,180,0.88,180,-0.11476031825877726,,,,,,,-1.9103759288787843,0.07544700056314468,25,0.0,0.4122451663017273,0.001,0.003921876,0.2,-0.013853311538696289,-0.006326972460374236
,,,180,,,,6,2.857142857142857,765,-0.39113047619047625,0,0.6666666666666666,,,,,,,,,,
0,74,1.5,210,0.9,210,-0.11577642331831157,,,,,,,-1.9008897066116333,0.06073570251464844,30,0.0,0.2777134209871292,0.001,0.004321156,0.2,-0.18677783012390137,-0.01836650257309245
,,,210,,,,7,2.8767123287671232,882,-0.4090053698630137,0,0.6575342465753424,,,,,,,,,,
0,81,1.94,240,0.78,240,-0.2040751603106037,,,,,,,-1.8867681741714477,0.05240454524755478,35,0.0,0.2356136828660965,0.001,0.0038044176,0.2,0.1490485668182373,-0.012375950206381247
,,,240,,,,8,2.975,1030,-0.44402705000000003,0,0.625,,,,,,,,,,
0,92,2.18,270,0.74,270,-0.24043068264145404,,,,,,,-1.8836490869522096,-0.02421671524643898,40,0.026666668057441712,0.08977131992578506,0.001,0.011046976,0.2,0.10396254062652588,-0.02673908120642139
,,,270,,,,9,2.923076923076923,1184,-0.4316021318681319,0,0.6373626373626373,,,,,,,,,,
0,101,1.38,300,0.92,300,-0.09161250379867852,,,,,,,-1.8712125778198243,0.03515971451997757,45,0.04666666761040687,0.2502365469932556,0.001,0.010645213,0.2,-0.13021361827850342,-0.026997101667026513
,,,300,,,,10,3.0,1302,-0.43549514,0,0.63,,,,,,,,,,
0,109,1.42,330,0.9,330,-0.09273239861242473,,,,,,,-1.8408543348312378,-0.0050772130489349365,50,0.07333333492279052,0.17841354310512542,0.001,0.014429976,0.2,0.01683521270751953,-0.03451490857948851
,,,330,,,,11,3.0,1414,-0.44509777,0,0.61,,,,,,,,,,
0,124,1.38,360,0.94,360,-0.0514661674015224,,,,,,,-1.7972129583358765,0.04342201352119446,55,0.046666666865348816,0.2623185575008392,0.001,0.0092530465,0.2,-0.2071906328201294,-0.02680024976531641
,,,360,,,,12,2.83,1537,-0.40467787,0,0.66,,,,,,,,,,
0,139,1.36,390,0.92,390,-0.07221003124956042,,,,,,,-1.7840201377868652,0.17618237435817719,60,0.006666667014360428,0.5159399628639221,0.001,0.004818048,0.2,0.20856153964996338,-0.015330711534866736
,,,390,,,,13,2.73,1662,-0.37418834999999995,0,0.68,,,,,,,,,,
0,149,1.16,420,0.96,420,-0.047500647646375,,,,,,,-1.79239342212677,0.06423185765743256,65,0.05333333387970925,0.2279936820268631,0.001,0.012293805,0.2,0.004075169563293457,-0.01970552465568005
,,,420,,,,14,2.79,1770,-0.38445803,0,0.68,,,,,,,,,,
0,165,1.3,450,0.96,450,-0.03409908884204924,,,,,,,-1.7159162759780884,0.13231156766414642,70,0.0,0.45567813515663147,0.001,0.008923765,0.2,-0.1455906629562378,-0.010828660906603105
,,,450,,,,15,2.61,1892,-0.35053344000000003,0,0.72,,,,,,,,,,
0,173,1.38,480,0.94,480,-0.07647339021321387,,,,,,,-1.6041806221008301,0.0759301632642746,75,0.0,0.21005108654499055,0.001,0.0032179772,0.2,-0.1888892650604248,-0.006172797087734949
,,,480,,,,16,2.68,2005,-0.36093912000000006,0,0.71,,,,,,,,,,
0,186,1.68,510,0.9,510,-0.1155496808513999,,,,,,,-1.5388412475585938,0.008763283491134644,80,0.06666666865348816,0.12089568674564362,0.001,0.014504989,0.2,0.4650508761405945,-0.024885187111794948
,,,510,,,,17,2.54,2142,-0.31976276000000003,0,0.75,,,,,,,,,,
0,197,1.22,540,0.96,540,-0.0312854509241879,,,,,,,-1.444736933708191,0.03030078113079071,85,0.06666666716337204,0.24332450926303864,0.001,0.017934045,0.2,-0.1293400526046753,-0.037310019731521746
,,,540,,,,18,2.53,2255,-0.33094728,0,0.75,,,,,,,,,,
0,218,1.34,570,0.94,570,-0.07209315856453032,,,,,,,-1.1797661066055298,0.055759597569704056,90,0.13333333879709244,0.17521394193172454,0.001,0.026782665,0.2,0.18627583980560303,-0.017570788376033163
,,,570,,,,19,2.22,2374,-0.2494555,0,0.82,,,,,,,,,,
0,235,1.34,600,0.94,600,-0.07384633535519242,,,,,,,-1.038426399230957,-0.00250837579369545,95,0.0,0.16745119094848632,0.001,0.0042271535,0.2,-2.933673143386841,-0.01793598016103033
,,,600,,,,20,2.2,2490,-0.24551694000000002,0,0.82,,,,,,,,,,
0,252,1.1,630,1.0,630,-0.007156491777859628,,,,,,,-0.9890920281410217,0.09053170680999756,100,0.0,0.19837000966072083,0.001,0.001179264,0.2,0.23690634965896606,-0.0003824241824140984
,,,630,,,,21,2.07,2609,-0.19571496,0,0.84,,,,,,,,,,
0,263,1.64,660,0.88,660,-0.07517424264922738,,,,,,,-0.9187836170196533,0.056545719504356384,105,0.0,0.14939717948436737,0.001,0.0004695018,0.2,-0.4316059350967407,-0.002187612048958698
,,,660,,,,22,2.17,2734,-0.21220482000000002,0,0.83,,,,,,,,,,
0,275,1.26,690,0.98,690,-0.03010254199616611,,,,,,,-0.9438349723815918,0.08165928721427917,110,0.020000000298023225,0.2522511541843414,0.001,0.005462261,0.2,0.009378612041473389,-0.016493526579191453
,,,690,,,,23,2.05,2850,-0.18477491000000001,0,0.85,,,,,,,,,,
0,288,1.32,720,0.96,720,-0.05207538170274347,,,,,,,-0.8552172780036926,0.07730662822723389,115,0.0,0.1855744332075119,0.001,0.0015104612,0.2,0.17865419387817383,0.0015079431391015418
,,,720,,,,24,2.06,2974,-0.18194613000000004,0,0.85,,,,,,,,,,
0,298,1.52,750,0.9,750,-0.12125523372553289,,,,,,,-0.8790840744972229,0.07954110205173492,120,0.0,0.20655172765254975,0.001,0.0029199123,0.2,0.13199132680892944,-0.006753381062299013
,,,750,,,,25,2.07,3104,-0.17421220999999998,0,0.85,,,,,,,,,,
0,315,1.4,780,0.92,780,-0.09419925442896783,,,,,,,-0.8275230288505554,0.06363411247730255,125,0.03333333432674408,0.16874009370803833,0.001,0.0077109756,0.2,0.20859718322753906,-0.004010192935044543
,,,780,,,,26,2.13,3234,-0.19531981,0,0.83,,,,,,,,,,
0,326,1.42,810,0.92,810,-0.09298814452718944,,,,,,,-0.8060663342475891,0.04363018646836281,130,0.04000000059604645,0.14590465873479844,0.001,0.0043607373,0.2,0.3527507185935974,-0.010115690498302498
,,,810,,,,27,2.22,3356,-0.20200785,0,0.82,,,,,,,,,,
0,339,1.4,840,0.92,840,-0.07153665057849139,,,,,,,-0.822976267337799,0.05073871091008186,135,0.0,0.11633766591548919,0.001,0.0009362638,0.2,0.20322179794311523,-0.0003624554475145203
,,,840,,,,28,2.29,3484,-0.22405686000000002,0,0.81,,,,,,,,,,
0,355,1.26,870,0.98,870,-0.031889382670633494,,,,,,,-0.732994270324707,0.06766721606254578,140,0.006666667014360428,0.1948814272880554,0.001,0.0022706648,0.2,-0.025807976722717285,-0.007356485292936555
,,,870,,,,29,2.34,3598,-0.24053143000000002,0,0.8,,,,,,,,,,
0,367,1.52,900,0.9,900,-0.1164205697318539,,,,,,,-0.7005516529083252,0.07749827206134796,145,0.0,0.1874133825302124,0.001,0.0002628108,0.2,0.2888335585594177,0.0015860144553395017
,,,900,,,,30,2.28,3728,-0.25911336999999995,0,0.78,,,,,,,,,,
0,383,1.2,930,0.98,930,-0.028648901851847767,,,,,,,-0.5875710606575012,0.052939072251319885,150,0.06666666716337204,0.2113441437482834,0.001,0.012297746,0.2,0.22494608163833618,-0.016693078093230795
