eval/mean_reward,env/n_steps,env/current_idx,eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range
-0.04936603229958564,30,13,0.94,30,1.2,0,,,,,,,,,,,,,,,,
,,,,30,,,126,2.3333333333333335,0,-0.5137396666666667,0.4166666666666667,1,,,,,,,,,,
-0.16069975962862373,60,26,0.78,60,1.5,0,,,,,,,-0.3235664367675781,0.001,0.08053232356905937,0.21666667237877846,-1.9365150570869445,-0.08804988116025925,10,-0.05696887311215204,0.025700409,0.2
,,,,60,,,245,2.32,0,-0.51915856,0.4,2,,,,,,,,,,
-0.1612770562712103,90,41,0.76,90,1.54,0,,,,,,,-0.2054131031036377,0.001,0.16473393701016903,0.13666666969656943,-1.9229622840881349,-0.09309510886669159,20,-0.05924794557504356,0.023839276,0.2
,,,,90,,,377,2.2,0,-0.52827165,0.45,3,,,,,,,,,,
-0.07042494377121329,120,57,0.88,120,1.28,0,,,,,,,-0.31948280334472656,0.001,0.1988102525472641,0.17666667141020298,-1.8790597438812255,-0.078041210770607,30,-0.061752553721889925,0.0263769,0.2
,,,,120,,,484,2.142857142857143,0,-0.46840314285714285,0.48214285714285715,4,,,,,,,,,,
-0.09041518428362906,150,70,0.9,150,1.28,0,,,,,,,-0.651138424873352,0.001,0.20271119624376296,0.2666666701436043,-1.8492148399353028,-0.10181038081645966,40,-0.06938967175781699,0.0332131,0.2
,,,,150,,,597,2.1449275362318843,0,-0.4649608260869565,0.4927536231884058,5,,,,,,,,,,
-0.11256433962844312,180,87,0.9,180,1.28,0,,,,,,,0.27787238359451294,0.001,0.10646915957331657,0.25000000223517416,-1.820706856250763,-0.10007964074611664,50,-0.07113099516679836,0.04218332,0.2
,,,,180,,,720,2.0930232558139537,0,-0.4138465000000001,0.5232558139534884,6,,,,,,,,,,
-0.03019970005378127,210,102,0.92,210,1.24,0,,,,,,,-0.7135598659515381,0.001,0.1743519127368927,0.2200000025331974,-1.6937294363975526,-0.05037683993577957,60,-0.0433464712773759,0.029871708,0.2
,,,,210,,,826,2.09,0,-0.41426917,0.53,7,,,,,,,,,,
-0.08907960282638669,240,120,0.92,240,1.2,0,,,,,,,-0.12909996509552002,0.001,0.32008700966835024,0.14000000432133675,-1.6874571204185487,0.012596093118190765,70,-0.04067430927728601,0.025266288,0.2
,,,,240,,,930,1.96,0,-0.36126532,0.6,8,,,,,,,,,,
-0.06924255119636655,270,136,0.9,270,1.24,0,,,,,,,-0.38956427574157715,0.001,0.2300645336508751,0.0800000011920929,-1.5409695744514464,-0.0052883923053741455,80,-0.028282193304039537,0.017749432,0.2
,,,,270,,,1041,1.88,0,-0.28541394000000003,0.65,9,,,,,,,,,,
-0.027233645101077855,300,152,0.96,300,1.1,0,,,,,,,-0.1441136598587036,0.001,0.19237710610032083,0.17333333641290666,-1.5865352272987365,-0.039485443383455276,90,-0.04709280198439956,0.023600314,0.2
,,,,300,,,1146,1.91,0,-0.33920438999999997,0.63,10,,,,,,,,,,
-0.0499728224426508,330,168,0.94,330,1.14,0,,,,,,,0.1326509714126587,0.001,0.22969702631235123,0.3300000078976154,-1.4482199907302857,-0.03730820119380951,100,-0.057977871410548686,0.046351433,0.2
,,,,330,,,1249,1.84,0,-0.32343736999999995,0.65,11,,,,,,,,,,
-0.09117307003587484,360,184,0.9,360,1.22,0,,,,,,,0.012922286987304688,0.001,0.2271769106388092,0.2733333367854357,-1.198745882511139,-0.03368150442838669,110,-0.06513763750592867,0.04685826,0.2
,,,,360,,,1360,1.89,0,-0.36172885,0.62,12,,,,,,,,,,
-0.09451065574772656,390,199,0.88,390,1.3,0,,,,,,,0.27416276931762695,0.001,0.1580936662852764,0.18000000528991222,-0.959948045015335,-0.007737565785646439,120,-0.032440115318943974,0.04728006,0.2
