env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,eval/mean_reward,time/total_timesteps,env/n_steps,rollout/success_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss
0,16,1.42,0.82,-0.1928482556901872,30,30,,,,,,,,,,,,,,,,
,,,,,30,,0.6,0,155,1.8666666666666667,-0.38980213333333336,1,,,,,,,,,,
0,30,1.26,0.94,-0.04940171224065125,60,60,,,,,,,10,0.03411294,0.2666666701436043,-0.09804186969995499,0.2,-0.06717256235579683,0.18050446528941394,0.001,0.004533231258392334,-1.9358861684799193
,,,,,60,,0.5172413793103449,0,264,2.0689655172413794,-0.4461883103448276,2,,,,,,,,,,
0,45,1.3,0.9,-0.11540980566293,90,90,,,,,,,20,0.014942388,0.0766666702926159,-0.0648164451122284,0.2,-0.046199581480274435,0.27541606277227404,0.001,-0.0938715934753418,-1.9185003519058228
,,,,,90,,0.5454545454545454,0,376,2.022727272727273,-0.40359311363636363,3,,,,,,,,,,
0,57,1.28,0.88,-0.1112047685496509,120,120,,,,,,,30,0.014871364,0.1433333359658718,-0.07001916319131851,0.2,-0.045828492650762165,0.12253318950533867,0.001,0.24695390462875366,-1.876692807674408
,,,,,120,,0.5,0,486,2.107142857142857,-0.4815879821428571,4,,,,,,,,,,
0,72,1.18,0.92,-0.028550423053093254,150,150,,,,,,,40,0.026882697,0.13333333656191826,-0.05640396103262901,0.2,-0.04701897825036827,0.18956252336502075,0.001,-0.4583015441894531,-1.861823070049286
,,,,,150,,0.5070422535211268,0,589,2.112676056338028,-0.4957071971830985,5,,,,,,,,,,
0,85,1.22,0.92,-0.04996032669674605,180,180,,,,,,,50,0.020822326,0.11666666977107525,-0.06058758497238159,0.2,-0.058363945266852825,0.22690716236829758,0.001,-0.3146708011627197,-1.7562098503112793
,,,,,180,,0.5119047619047619,0,689,2.119047619047619,-0.4934225833333334,6,,,,,,,,,,
0,100,1.1,0.96,-0.02756329636555165,210,210,,,,,,,60,0.07756774,0.3766666740179062,-0.061274852603673935,0.2,-0.07479573542252176,0.1927388019859791,0.001,0.10835427045822144,-1.6707874894142152
,,,,,210,,0.5050505050505051,0,787,2.111111111111111,-0.4921041919191919,7,,,,,,,,,,
0,117,1.22,0.9,-0.08973280551843345,240,240,,,,,,,70,0.037315644,0.23333333879709245,-0.07003767788410187,0.2,-0.06706477558861187,0.20531244054436684,0.001,-0.12232887744903564,-1.5925148367881774
,,,,,240,,0.53,0,898,2.09,-0.47561997000000006,8,,,,,,,,,,
0,132,1.22,0.9,-0.06900173459667712,270,270,,,,,,,80,0.0103390915,0.2700000017881393,-0.05940987914800644,0.2,-0.04775750991577894,0.20547065734863282,0.001,-0.32957756519317627,-1.4145352602005006
,,,,,270,,0.55,0,1016,2.04,-0.4578194900000001,9,,,,,,,,,,
0,149,1.36,0.84,-0.1115265181614086,300,300,,,,,,,90,0.045599207,0.42333332896232606,-0.05335114523768425,0.2,-0.06653971572717018,0.1846098206937313,0.001,-0.10236358642578125,-1.3922993659973144
,,,,,300,,0.56,0,1130,2.02,-0.44306034000000005,10,,,,,,,,,,
0,169,1.3,0.88,-0.1111067819269374,330,330,,,,,,,100,0.040677276,0.17333333678543567,-0.09671125560998917,0.2,-0.0601717478657763,0.14478034861385822,0.001,0.1902642846107483,-1.369692862033844
,,,,,330,,0.65,0,1244,1.86,-0.33216407000000003,11,,,,,,,,,,
0,187,1.36,0.86,-0.15116069137584418,360,360,,,,,,,110,0.02211126,0.13333333730697633,-0.061658263206481934,0.2,-0.043302911837041956,0.13317329362034797,0.001,-0.1690133810043335,-1.2181386590003966
,,,,,360,,0.69,0,1351,1.76,-0.28452129,12,,,,,,,,,,
0,202,1.1,0.96,-0.03257164217531681,390,390,,,,,,,120,0.060219448,0.24333333671092988,-0.09801162034273148,0.2,-0.07541705029085292,0.15465837232768537,0.001,-0.18737459182739258,-1.2104203343391418
,,,,,390,,0.69,0,1448,1.76,-0.26608285000000004,13,,,,,,,,,,
0,218,1.32,0.88,-0.13069381657987833,420,420,,,,,,,130,0.06380788,0.376666671782732,-0.061224501579999924,0.2,-0.06646515756845472,0.22156663313508035,0.001,-0.4807692766189575,-0.8865149199962616
,,,,,420,,0.66,0,1563,1.79,-0.31268619000000003,14,,,,,,,,,,
0,236,1.16,0.94,-0.02887245691847056,450,450,,,,,,,140,0.030056756,0.25666667222976686,0.003713086247444153,0.2,-0.04969251825163745,0.2565809816122055,0.001,0.016028761863708496,-1.0367994487285614
,,,,,450,,0.7,0,1670,1.74,-0.27883136000000003,15,,,,,,,,,,
0,252,1.28,0.9,-0.06969415373168886,480,480,,,,,,,150,0.03691592,0.18333334103226662,-0.0074114203453063965,0.2,-0.04628039052089052,0.22691305428743364,0.001,0.07939350605010986,-0.8389057397842408
,,,,,480,,0.68,0,1783,1.75,-0.31651401,16,,,,,,,,,,
