eval/success_rate,env/n_steps,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,env/current_idx,env/completion_counter,time/iterations,time/time_elapsed,time/fps,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate
0.76,30,30,1.5,-0.2376936799334362,14,0,,,,,,,,,,,,,,,,
,,30,,,,,1,154,0,0.46153846153846156,2.1538461538461537,-0.47732946153846145,,,,,,,,,,
0.9,60,60,1.28,-0.07112348131835461,31,0,,,,,,,0.34999999701976775,-1.9303589820861817,10,0.043179408,-0.10969401895999908,-0.07907220865289374,0.20694597885012628,0.2,-0.8648407459259033,0.001
,,60,,,,,2,266,0,0.6,2.0,-0.3885465,,,,,,,,,,
0.9,90,90,1.24,-0.04926782494876534,46,0,,,,,,,0.21333333626389503,-1.8598480105400086,20,0.018996736,-0.06598509848117828,-0.04957158274327718,0.10549450777471066,0.2,-0.22103726863861084,0.001
,,90,,,,,3,378,0,0.6,2.0,-0.3844373555555555,,,,,,,,,,
0.98,120,120,1.12,-0.027773186950944363,61,0,,,,,,,0.12333333529531956,-1.823697817325592,30,0.019970315,-0.07040934264659882,-0.04672613754558075,0.21993651911616324,0.2,-1.0364775657653809,0.001
,,120,,,,,4,477,0,0.6166666666666667,1.9833333333333334,-0.3833119666666666,,,,,,,,,,
0.92,150,150,1.24,-0.029667564621195196,77,0,,,,,,,0.1033333346247673,-1.764208722114563,40,0.022793652,-0.05657430738210678,-0.03571572961887191,0.15684023946523667,0.2,0.036129891872406006,0.001
,,150,,,,,5,590,0,0.618421052631579,1.9736842105263157,-0.353756052631579,,,,,,,,,,
1.0,180,180,1.06,-0.006697525144554675,92,0,,,,,,,0.19333333745598794,-1.6495783090591432,50,0.0243816,0.02571035921573639,-0.02390533519132667,0.30613902062177656,0.2,-1.019343614578247,0.001
,,180,,,,,6,687,0,0.6153846153846154,1.967032967032967,-0.3470956373626373,,,,,,,,,,
0.98,210,210,1.08,-0.027536964062601327,108,0,,,,,,,0.17333333902060985,-1.579899787902832,60,0.032896236,-0.02565688267350197,-0.03656434234852597,0.19132760763168336,0.2,-0.19535112380981445,0.001
,,210,,,,,7,786,0,0.65,1.92,-0.3126833,,,,,,,,,,
0.94,240,240,1.14,-0.06805310513358563,125,0,,,,,,,0.14000000320374967,-1.5578757405281067,70,0.021315852,-0.07358796149492264,-0.04775315746975437,0.1398631788790226,0.2,-0.007976770401000977,0.001
,,240,,,,,8,883,0,0.66,1.89,-0.31324356000000003,,,,,,,,,,
0.84,270,270,1.36,-0.15300866008736194,140,0,,,,,,,0.20000000447034835,-1.304145133495331,80,0.020277798,0.005398169159889221,-0.034534009726097104,0.2970067709684372,0.2,-0.4751399755477905,0.001
,,270,,,,,9,1007,0,0.62,1.97,-0.3358747800000001,,,,,,,,,,
0.92,300,300,1.22,-0.02914375418331474,153,0,,,,,,,0.15666667073965074,-1.3741692543029784,90,0.023139546,-0.06981295347213745,-0.04130912716190016,0.14486275874078275,0.2,-0.20950639247894287,0.001
,,300,,,,,10,1112,0,0.66,1.91,-0.28951945,,,,,,,,,,
0.94,330,330,1.16,-0.04993315065279603,167,0,,,,,,,0.22000000700354577,-1.2561675190925599,100,0.021600842,-0.05074208974838257,-0.056747242199877854,0.17244042828679085,0.2,0.10554975271224976,0.001
,,330,,,,,11,1215,0,0.61,1.98,-0.32561400999999995,,,,,,,,,,
