env/n_steps,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
30,30,-0.13901345101650806,0.88,0,10,1.66,,,,,,,,,,,,,,,,
,30,,,,,,167,-0.33950388888888894,0.5555555555555556,1,0,3.111111111111111,,,,,,,,,,
60,60,-0.029594845450483263,0.96,0,20,1.24,,,,,,,0.029508842,10,0.07834075251594186,-0.05841133333742619,0.1800000049173832,0.001,0.2,-0.20288288593292236,-1.9365970015525817,-0.08826839178800583
,60,,,,,,274,-0.39351036842105264,0.5789473684210527,2,0,3.0526315789473686,,,,,,,,,,
90,90,-0.1460390824591741,0.84,0,30,1.88,,,,,,,0.01849232,20,0.09252434186637401,-0.0408742374616363,0.12333333566784858,0.001,0.2,-0.039682984352111816,-1.9207553148269654,-0.07476391643285751
,90,,,,,,418,-0.41612855172413793,0.5517241379310345,3,0,3.103448275862069,,,,,,,,,,
120,120,-0.12035888572223484,0.88,0,44,1.64,,,,,,,0.025593081,30,0.11134050637483597,-0.052754449058945066,0.19000000432133674,0.001,0.2,0.13170987367630005,-1.930816113948822,-0.08937107026576996
,120,,,,,,554,-0.3834598139534883,0.627906976744186,4,0,2.7906976744186047,,,,,,,,,,
150,150,-0.05483518701512367,0.96,0,55,1.4,,,,,,,0.025557946,40,0.1944847173988819,-0.06414447497576478,0.19000000283122062,0.001,0.2,-0.48298192024230957,-1.9143190145492555,-0.08800646662712097
,150,,,,,,677,-0.3620576851851852,0.6481481481481481,5,0,2.740740740740741,,,,,,,,,,
180,180,-0.11822386268526315,0.86,0,65,1.78,,,,,,,0.024616117,50,0.13352148849517106,-0.05568750524272521,0.18666666969656945,0.001,0.2,-0.34068310260772705,-1.8863210439682008,-0.09707048535346985
,180,,,,,,824,-0.360000015625,0.640625,6,0,2.796875,,,,,,,,,,
