eval/mean_ep_length,env/n_steps,env/current_idx,time/total_timesteps,eval/mean_reward,env/completion_counter,eval/success_rate,time/iterations,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/loss
2.12,30,8,30,-0.2452904471475631,0,0.78,,,,,,,,,,,,,,,,
,,,30,,,,1,0.2857142857142857,0,-0.850398142857143,4.142857142857143,173,,,,,,,,,,
1.66,60,16,60,-0.18355579619295895,0,0.84,,,,,,,10,-1.9379133105278015,-0.054163009909292015,0.2,0.001,0.24479827685281635,0.011932134628295898,0.1866666667163372,0.023855425,-0.0862332135438919
,,,60,,,,2,0.3333333333333333,0,-0.7819804666666668,4.0,297,,,,,,,,,,
1.6,90,26,90,-0.14029607407748698,0,0.88,,,,,,,20,-1.931714117527008,-0.05615283905838915,0.2,0.001,0.2304742455482483,-2.0591139793395996,0.18666666820645333,0.02677003,-0.07425417751073837
,,,90,,,,3,0.52,0,-0.58265812,3.52,433,,,,,,,,,,
1.38,120,37,120,-0.05563794024288654,0,0.96,,,,,,,30,-1.9327125668525695,-0.046466932818293574,0.2,0.001,0.1595520369708538,-0.025292634963989258,0.12333333715796471,0.018668182,-0.060195449739694595
,,,120,,,,4,0.5555555555555556,0,-0.54631325,3.3055555555555554,543,,,,,,,,,,
1.5,150,44,150,-0.11388116538524627,0,0.9,,,,,,,40,-1.9092459797859191,-0.043108382538581846,0.2,0.001,0.1324036419391632,0.252612829208374,0.18666666895151138,0.01868041,-0.060640085488557816
,,,150,,,,5,0.5116279069767442,0,-0.5852436279069768,3.4186046511627906,657,,,,,,,,,,
1.3,180,57,180,-0.05129449092783034,0,0.96,,,,,,,50,-1.9155694961547851,-0.04121747070380177,0.2,0.001,0.2480838790535927,-0.9133726358413696,0.15666667148470878,0.022890693,-0.03857271000742912
,,,180,,,,6,0.5535714285714286,0,-0.5482102678571429,3.2142857142857144,774,,,,,,,,,,
1.22,210,67,210,-0.052668298189528284,0,0.96,,,,,,,60,-1.8975918531417846,-0.06308819827313208,0.2,0.001,0.1308850858360529,0.29351067543029785,0.22000000327825547,0.022859713,-0.10481053590774536
,,,210,,,,7,0.5606060606060606,0,-0.5289004242424243,3.1818181818181817,881,,,,,,,,,,
1.5,240,82,240,-0.08707843093201519,0,0.94,,,,,,,70,-1.896894669532776,-0.058122748524571576,0.2,0.001,0.26596844419836996,-0.9013636112213135,0.16666667237877847,0.023608437,-0.08628889918327332
,,,240,,,,8,0.6049382716049383,0,-0.48257295061728395,2.962962962962963,1001,,,,,,,,,,
1.22,270,92,270,-0.048766893837600946,0,0.96,,,,,,,80,-1.8212235569953918,-0.0770222750554483,0.2,0.001,0.22686586081981658,-0.17803823947906494,0.3466666728258133,0.032741312,-0.09713802486658096
,,,270,,,,9,0.6153846153846154,0,-0.4826118681318681,2.923076923076923,1106,,,,,,,,,,
1.9,300,105,300,-0.20905545815359802,0,0.82,,,,,,,90,-1.8449321746826173,-0.05531652572254342,0.2,0.001,0.297579699754715,-0.14951026439666748,0.2066666714847088,0.030962141,-0.03687247633934021
,,,300,,,,10,0.64,0,-0.47609117000000006,2.86,1254,,,,,,,,,,
1.82,330,114,330,-0.1903317724261433,0,0.84,,,,,,,100,-1.842846977710724,-0.07101801509348071,0.2,0.001,0.12019496206194162,0.13383054733276367,0.2900000013411045,0.03963899,-0.12028135359287262
,,,330,,,,11,0.67,0,-0.43487613,2.79,1395,,,,,,,,,,
1.32,360,123,360,-0.07233557795640082,0,0.94,,,,,,,110,-1.859765350818634,-0.05069239557565482,0.2,0.001,0.16487189643085004,0.37828928232192993,0.146666669473052,0.030861208,-0.06973531097173691
