eval/mean_ep_length,env/n_steps,eval/success_rate,env/completion_counter,time/total_timesteps,eval/mean_reward,env/current_idx,time/time_elapsed,rollout/success_rate,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_fraction
1.26,30,0.9,0,30,-0.09276282019913197,13,,,,,,,,,,,,,,,,
,,,,30,,,137,0.3333333333333333,0,1,-0.587579,2.4166666666666665,,,,,,,,,,
1.42,60,0.82,0,60,-0.17304843361489475,26,,,,,,,-0.03886547312140465,0.22664917558431624,0.2,-1.943780541419983,0.0070768218,-0.03078150749206543,0.001,5,-0.03425104292730623,0.0
,,,,60,,,254,0.36,0,2,-0.4799911999999999,2.4,,,,,,,,,,
1.16,90,0.94,0,90,-0.0683621498895809,43,,,,,,,-0.027775723487138748,0.24479132443666457,0.2,-1.9216988801956176,0.013625101,-0.5782867670059204,0.001,10,-0.034405378662049915,0.006666667014360428
,,,,90,,,356,0.5238095238095238,0,3,-0.390632738095238,2.119047619047619,,,,,,,,,,
1.2,120,0.92,0,120,-0.06881778699811548,59,,,,,,,0.0008010193705558777,0.20057621151208876,0.2,-1.8636557817459107,0.01516159,-0.13395464420318604,0.001,15,-0.030709132601817492,0.053333336114883424
,,,,120,,,470,0.5517241379310345,0,4,-0.3694934310344827,2.0689655172413794,,,,,,,,,,
1.34,150,0.86,0,150,-0.09221539011225105,73,,,,,,,0.06618265807628632,0.2976125031709671,0.2,-1.7816751956939698,0.011655406,-0.55638587474823,0.001,20,-0.011035933646683871,0.020000000298023225
,,,,150,,,588,0.5416666666666666,0,5,-0.4133350694444444,2.0833333333333335,,,,,,,,,,
1.28,180,0.9,0,180,-0.09128856508992612,87,,,,,,,0.05822821706533432,0.257517597079277,0.2,-1.711021614074707,0.005280888,-0.10878348350524902,0.001,25,-0.013105697010954386,0.0
,,,,180,,,695,0.5348837209302325,0,6,-0.4362875581395348,2.0930232558139537,,,,,,,,,,
1.16,210,0.94,0,210,-0.028352122488431632,103,,,,,,,0.04601430147886276,0.2666007697582245,0.2,-1.6352676153182983,0.014986972,-0.39935457706451416,0.001,30,-0.0326406235744555,0.06666666865348816
,,,,210,,,812,0.57,0,7,-0.3925242500000001,2.04,,,,,,,,,,
1.24,240,0.9,0,240,-0.09155500389635562,120,,,,,,,0.11249162256717682,0.3552197128534317,0.2,-1.5255688428878784,0.010155012,-0.63594651222229,0.001,35,-0.004353452461461416,0.0
,,,,240,,,929,0.64,0,8,-0.3469021500000002,1.91,,,,,,,,,,
1.08,270,0.96,0,270,-0.04799737021327019,138,,,,,,,0.06622164696455002,0.2456051617860794,0.2,-1.4213515758514403,0.0042768894,0.14319521188735962,0.001,40,-0.00039672056387658473,0.0
,,,,270,,,1023,0.65,0,9,-0.3500069,1.88,,,,,,,,,,
1.08,300,0.98,0,300,-0.02717795285396278,154,,,,,,,0.08602677285671234,0.30524965524673464,0.2,-1.3538682460784912,0.008295331,-0.14231479167938232,0.001,45,-0.02734538802256168,0.026666668057441712
,,,,300,,,1122,0.63,0,10,-0.3757502500000001,1.91,,,,,,,,,,
1.32,330,0.88,0,330,-0.13143323862925171,168,,,,,,,0.10336273908615112,0.3157138466835022,0.2,-1.1675320386886596,0.010552967,-0.17864346504211426,0.001,50,-0.014952548711250558,0.0533333346247673
,,,,330,,,1240,0.64,0,11,-0.33974653,1.88,,,,,,,,,,
1.26,360,0.9,0,360,-0.09201362460386008,183,,,,,,,0.09709316492080688,0.2077482521533966,0.2,-1.0342082738876344,0.0045429943,0.14065706729888916,0.001,55,-0.0013793156602574185,0.020000000298023225
,,,,360,,,1349,0.64,0,12,-0.3303443,1.89,,,,,,,,,,
1.26,390,0.9,0,390,-0.1111662759166211,202,,,,,,,0.0678710788488388,0.20507720708847046,0.2,-0.956813633441925,0.0034768383,0.14292359352111816,0.001,60,-0.010284686566640744,0.013333334028720856
,,,,390,,,1454,0.68,0,13,-0.31423131000000004,1.8,,,,,,,,,,
1.22,420,0.9,0,420,-0.09059658915735781,217,,,,,,,0.08033406734466553,0.21686094403266906,0.2,-0.9009249091148377,0.0016423762,0.031219005584716797,0.001,65,-0.008353033656409714,0.006666667014360428
,,,,420,,,1557,0.67,0,14,-0.32843697000000005,1.85,,,,,,,,,,
1.32,450,0.88,0,450,-0.13336881226859987,238,,,,,,,0.10149680823087692,0.22826943993568422,0.2,-0.8107245326042175,0.00027415354,-0.042793989181518555,0.001,70,0.0012018036888918004,0.0
,,,,450,,,1667,0.71,0,15,-0.27863322,1.8,,,,,,,,,,
1.1,480,0.98,0,480,-0.027091943216510116,254,,,,,,,0.06038860231637955,0.1529893159866333,0.2,-0.8214328765869141,0.00027553042,-0.1635063886642456,0.001,75,-0.00012454566778608012,0.0
,,,,480,,,1771,0.71,0,16,-0.28189854000000003,1.8,,,,,,,,,,
1.26,510,0.9,0,510,-0.07129784253891558,276,,,,,,,0.14201076328754425,0.3784178137779236,0.2,-0.7648134112358094,0.0017315844,-0.016065478324890137,0.001,80,0.0013587125328683668,0.0
,,,,510,,,1876,0.76,0,17,-0.25535997999999993,1.65,,,,,,,,,,
1.24,540,0.9,0,540,-0.10955346839968115,296,,,,,,,0.07816025614738464,0.22087849378585817,0.2,-0.6933029890060425,0.0066742003,0.2598510980606079,0.001,85,-0.018890500230093466,0.026666668057441712
,,,,540,,,1989,0.78,0,18,-0.23473163999999996,1.62,,,,,,,,,,
1.3,570,0.88,0,570,-0.07384095984511077,316,,,,,,,0.08493104577064514,0.2483622670173645,0.2,-0.6068922758102417,0.00016634067,-0.11837625503540039,0.001,90,0.00021570364498382232,0.0
,,,,570,,,2102,0.81,0,19,-0.19221266999999997,1.53,,,,,,,,,,
1.18,600,0.92,0,600,-0.06852549441624432,329,,,,,,,0.06683433055877686,0.14176594614982604,0.2,-0.5684090256690979,2.2780896e-05,0.2262325882911682,0.001,95,-8.271217448054812e-05,0.0
,,,,600,,,2246,0.75,0,20,-0.24890358999999995,1.62,,,,,,,,,,
1.24,630,0.92,0,630,-0.09023267897311599,347,,,,,,,0.07863680273294449,0.270481538772583,0.2,-0.5500573754310608,8.167426e-05,0.2028985619544983,0.001,100,-0.0005255874122184423,0.0
,,,,630,,,2352,0.72,0,21,-0.28701863,1.65,,,,,,,,,,
1.28,660,0.9,0,660,-0.07074392033275217,365,,,,,,,0.153845876455307,0.3132234990596771,0.2,-0.5234047532081604,0.00094464817,-0.019935250282287598,0.001,105,-0.004849378173239671,0.0
,,,,660,,,2456,0.73,0,22,-0.2712367500000001,1.64,,,,,,,,,,
1.24,690,0.88,0,690,-0.10966552170459182,382,,,,,,,0.06770599633455276,0.19812725484371185,0.2,-0.47082629799842834,0.0006424765,0.505043625831604,0.001,110,-0.0014728546390930576,0.0
,,,,690,,,2561,0.7,0,23,-0.29597606000000004,1.72,,,,,,,,,,
1.18,720,0.92,0,720,-0.05011985686607659,409,,,,,,,0.12472157180309296,0.2814546823501587,0.2,-0.4150585114955902,0.004324154,0.0028095245361328125,0.001,115,-0.01133276889100685,0.026666668057441712
,,,,720,,,2666,0.73,0,24,-0.27856727,1.6,,,,,,,,,,
1.2,750,0.94,0,750,-0.06889854461885989,428,,,,,,,0.045411549508571625,0.10269720256328582,0.2,-0.35121562480926516,0.00015754302,-0.008857965469360352,0.001,120,0.0003364650408427039,0.0
,,,,750,,,2767,0.78,0,25,-0.21243819000000005,1.5,,,,,,,,,,
1.2,780,0.92,0,780,-0.09188982353080064,451,,,,,,,0.05340130627155304,0.13016369193792343,0.2,-0.3251616179943085,0.00010342796,0.1379721760749817,0.001,125,-0.0006464668077146741,0.0
,,,,780,,,2871,0.8,0,26,-0.18321077000000005,1.44,,,,,,,,,,
1.2,810,0.94,0,810,-0.06935941887553781,470,,,,,,,0.06951923668384552,0.15358589589595795,0.2,-0.3374759018421173,0.00037841997,0.21204376220703125,0.001,130,-0.0016171161230886355,0.0
,,,,810,,,2982,0.82,0,27,-0.16673647000000003,1.41,,,,,,,,,,
1.16,840,0.94,0,840,-0.04828226138837635,490,,,,,,,0.10740263015031815,0.23920639157295226,0.2,-0.3817386567592621,4.302462e-05,0.014101266860961914,0.001,135,2.88744759261661e-05,0.0
,,,,840,,,3085,0.83,0,28,-0.14349802,1.42,,,,,,,,,,
1.32,870,0.88,0,870,-0.13082995683886112,511,,,,,,,0.06677282601594925,0.18095048666000366,0.2,-0.42161954045295713,0.00019867023,-0.24509549140930176,0.001,140,-0.0014271223839998014,0.0
,,,,870,,,3204,0.82,0,29,-0.17121043000000002,1.46,,,,,,,,,,
1.32,900,0.9,0,900,-0.09071560489945113,527,,,,,,,0.13309015333652496,0.2843592822551727,0.2,-0.4648486733436584,0.0004972458,0.177387535572052,0.001,145,-0.002593645204323991,0.0
,,,,900,,,3328,0.78,0,30,-0.18328604,1.54,,,,,,,,,,
1.22,930,0.92,0,930,-0.05154964270535856,545,,,,,,,0.07005001604557037,0.18434553742408752,0.2,-0.44931465983390806,0.0029759468,0.007143497467041016,0.001,150,-0.005731884199194681,0.013333334028720856
,,,,930,,,3445,0.77,0,31,-0.20663906999999998,1.56,,,,,,,,,,
