env/n_steps,env/current_idx,eval/mean_reward,eval/mean_ep_length,env/completion_counter,eval/success_rate,time/total_timesteps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate
30,18,-0.1312870864570141,1.34,0,0.86,30,,,,,,,,,,,,,,,,
,,,,,,30,1,0.6470588235294118,1.7647058823529411,0,-0.3855055294117647,139,,,,,,,,,,
60,33,-0.0686688385810703,1.16,0,0.94,60,,,,,,,-1.9441028594970704,0.005755629,0.0,0.11084824800491333,-0.5364181995391846,0.972047358751297,-0.030238493482271877,0.2,5,0.001
,,,,,,60,2,0.625,1.875,0,-0.39024446874999996,239,,,,,,,,,,
90,46,-0.006845866246148944,1.06,0,0.98,90,,,,,,,-1.930750274658203,0.0085066855,0.026666668057441712,0.02143315225839615,-0.14362072944641113,0.2806749939918518,-0.03410610773911067,0.2,10,0.001
,,,,,,90,3,0.5777777777777777,1.9777777777777779,0,-0.3873871555555556,332,,,,,,,,,,
120,58,-0.04830147952307016,1.16,0,0.96,120,,,,,,,-1.9149137735366821,0.00912846,0.0,0.0002126544713973999,-0.15567398071289062,0.2335701048374176,-0.034921220565835756,0.2,15,0.001
,,,,,,120,4,0.5263157894736842,2.0701754385964914,0,-0.4182879122807018,445,,,,,,,,,,
150,71,-0.06884508443530649,1.22,0,0.92,150,,,,,,,-1.8987159967422484,0.012832401,0.04000000059604645,0.009432941675186157,-0.5032122135162354,0.2559743046760559,-0.03852527906497336,0.2,20,0.001
,,,,,,150,5,0.5,2.1285714285714286,0,-0.47326192857142857,565,,,,,,,,,,
180,85,-0.212778041055426,1.48,0,0.78,180,,,,,,,-1.8691924333572387,0.0069794557,0.026666668057441712,0.022608231753110886,-0.34444141387939453,0.17961010038852693,-0.015052172727882862,0.2,25,0.001
,,,,,,180,6,0.5119047619047619,2.142857142857143,0,-0.4638369642857142,678,,,,,,,,,,
210,100,-0.30020898473449054,1.62,0,0.72,210,,,,,,,-1.87861967086792,0.00500858,0.006666667014360428,0.08828416466712952,-0.1379687786102295,0.26572742164134977,-0.0044644099753350375,0.2,30,0.001
,,,,,,210,7,0.5252525252525253,2.121212121212121,0,-0.46315853535353524,811,,,,,,,,,,
240,113,-0.09267046268563718,1.22,0,0.92,240,,,,,,,-1.8448890209198,0.0061834296,0.013333334028720856,0.037979573011398315,0.18636053800582886,0.19525601863861083,-0.014499215614050343,0.2,35,0.001
,,,,,,240,8,0.52,2.15,0,-0.46065132000000003,913,,,,,,,,,,
270,127,-0.04873873929493129,1.22,0,0.94,270,,,,,,,-1.7969397068023683,0.009499083,0.04000000059604645,0.012543760240077972,0.22686231136322021,0.16272805035114288,-0.024810710996389318,0.2,40,0.001
,,,,,,270,9,0.49,2.21,0,-0.4837040700000001,1023,,,,,,,,,,
300,142,-0.027917945347726344,1.12,0,0.96,300,,,,,,,-1.7596307754516602,0.007971495,0.013333334028720856,0.05483251437544823,-0.2750203609466553,0.23372421860694886,-0.01094218399996567,0.2,45,0.001
,,,,,,300,10,0.49,2.2,0,-0.51316854,1118,,,,,,,,,,
330,157,-0.04744205793365836,1.1,0,0.96,330,,,,,,,-1.676501989364624,0.017738849,0.11333333253860474,-0.02928343415260315,0.11582773923873901,0.16891543865203856,-0.04885056734085076,0.2,50,0.001
,,,,,,330,11,0.52,2.14,0,-0.4970062400000001,1229,,,,,,,,,,
360,173,-0.07361707596108318,1.26,0,0.9,360,,,,,,,-1.5245571851730346,0.012741546,0.03333333432674408,0.018801193684339523,0.1859729290008545,0.15445054024457933,-0.017392538736263674,0.2,55,0.001
,,,,,,360,12,0.57,2.04,0,-0.44551143000000004,1335,,,,,,,,,,
390,189,-0.07014497831929475,1.26,0,0.88,390,,,,,,,-1.3719916343688965,0.012545302,0.07333333641290665,0.11550503224134445,-0.7370786666870117,0.39666162729263305,-0.018301622209449774,0.2,60,0.001
,,,,,,390,13,0.56,2.05,0,-0.44455656,1451,,,,,,,,,,
420,205,-0.1352248966693878,1.36,0,0.84,420,,,,,,,-1.251827645301819,0.003071789,0.0,0.10232085734605789,-0.2578932046890259,0.2748116493225098,0.001589769108686312,0.2,65,0.001
,,,,,,420,14,0.58,2.01,0,-0.41489723999999994,1567,,,,,,,,,,
450,221,-0.04878021182492375,1.22,0,0.92,450,,,,,,,-1.198278546333313,0.003231279,0.0,0.06116678565740585,-0.0028589963912963867,0.23600513935089112,-0.013161939202497308,0.2,70,0.001
,,,,,,450,15,0.59,1.96,0,-0.37854611000000005,1687,,,,,,,,,,
480,236,-0.11078701185062528,1.3,0,0.88,480,,,,,,,-1.0693448066711426,0.0053947447,0.020000000298023225,0.07258685678243637,-0.058972716331481934,0.19771649539470673,-0.006133227227255134,0.2,75,0.001
,,,,,,480,16,0.65,1.89,0,-0.31806776999999997,1808,,,,,,,,,,
510,249,-0.02950454648118466,1.16,0,0.94,510,,,,,,,-1.0443276643753052,0.00091631216,0.0,0.07838146388530731,0.16019272804260254,0.2052968382835388,-0.003407061210212525,0.2,80,0.001
,,,,,,510,17,0.64,1.92,0,-0.30893432000000004,1911,,,,,,,,,,
540,264,-0.049358842000365256,1.18,0,0.96,540,,,,,,,-1.1548279047012329,0.013625692,0.10000000298023223,0.08389648795127869,-0.3893272876739502,0.26628683507442474,-0.018884050920605678,0.2,85,0.001
,,,,,,540,18,0.62,1.98,0,-0.30816627999999996,2009,,,,,,,,,,
570,279,-0.17360642011277377,1.42,0,0.82,570,,,,,,,-1.14549822807312,0.0095626395,0.04000000059604645,0.07503766566514969,0.04340642690658569,0.21672435104846954,-0.011592808396865984,0.2,90,0.001
,,,,,,570,19,0.61,1.99,0,-0.31419521000000006,2135,,,,,,,,,,
600,304,-0.11084027581848205,1.26,0,0.9,600,,,,,,,-1.0163726449012755,0.009613866,0.02666666731238365,0.06705737859010696,0.11885666847229004,0.197653067111969,-0.010029496631274526,0.2,95,0.001
,,,,,,600,20,0.68,1.82,0,-0.25564956,2257,,,,,,,,,,
