env/current_idx,eval/mean_ep_length,time/total_timesteps,env/completion_counter,env/n_steps,eval/success_rate,eval/mean_reward,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/approx_kl
11,1.76,30,0,30,0.84,-0.12245615527499468,,,,,,,,,,,,,,,,
,,30,,,,,1,170,2.8,0.6,0,-0.5123494000000001,,,,,,,,,,
20,1.18,60,0,60,1.0,-0.008155616312287749,,,,,,,5,-0.027195653356611692,0.0,0.2,-0.02279750630259514,0.33041138499975203,-0.4381537437438965,0.001,-1.9443222999572753,0.0045646825
,,60,,,,,2,278,2.9473684210526314,0.5789473684210527,0,-0.5906117894736842,,,,,,,,,,
31,1.28,90,0,90,0.98,-0.031328754210844634,,,,,,,10,-0.02440852655718757,0.006666667014360428,0.2,-0.018138285726308823,0.16049714088439943,-0.11958885192871094,0.001,-1.9304767370223999,0.009341882
,,90,,,,,3,394,2.933333333333333,0.6,0,-0.5383217666666666,,,,,,,,,,
42,1.18,120,0,120,0.98,-0.03197360545862466,,,,,,,15,-0.03418467101951441,0.053333336114883424,0.2,-0.0008545517921447754,0.21628648936748504,-0.29857969284057617,0.001,-1.8965076684951783,0.010452411
,,120,,,,,4,513,2.8536585365853657,0.6097560975609756,0,-0.5094313902439025,,,,,,,,,,
55,1.2,150,0,150,0.96,-0.04973996836226433,,,,,,,20,-0.021999578289687703,0.08000000268220901,0.2,0.029891036450862885,0.2490183889865875,-0.47054576873779297,0.001,-1.8173933029174805,0.014502875
,,150,,,,,5,623,2.7777777777777777,0.6481481481481481,0,-0.4539829629629629,,,,,,,,,,
66,1.5,180,0,180,0.92,-0.07315969213377685,,,,,,,25,-0.005864861784890962,0.0,0.2,0.054343726485967636,0.17728327810764313,0.29389244318008423,0.001,-1.7230291366577148,0.008026582
,,180,,,,,6,752,2.769230769230769,0.6461538461538462,0,-0.45248696923076925,,,,,,,,,,
76,1.38,210,0,210,0.94,-0.07328308179508895,,,,,,,30,-0.014007646304865595,0.0,0.2,0.052644915878772736,0.2732643187046051,0.29535168409347534,0.001,-1.6298332452774047,0.0076850196
,,210,,,,,7,869,2.7466666666666666,0.6533333333333333,0,-0.44087,,,,,,,,,,
94,1.04,240,0,240,1.0,-0.0066912157647311685,,,,,,,35,-0.011281541020919762,0.0,0.2,0.03383372724056244,0.2016306385397911,0.2500990629196167,0.001,-1.5239206790924071,0.00813798
,,240,,,,,8,976,2.5806451612903225,0.6881720430107527,0,-0.3954423010752689,,,,,,,,,,
106,1.36,270,0,270,0.94,-0.07610504301264882,,,,,,,40,-0.008305817021367368,0.0,0.2,0.05953246355056763,0.1791067063808441,0.27107834815979004,0.001,-1.443994927406311,0.0038251062
,,270,,,,,9,1090,2.57,0.69,0,-0.3892679100000001,,,,,,,,,,
117,1.46,300,0,300,0.92,-0.05206933286041021,,,,,,,45,0.0011548761666446694,0.0,0.2,0.08691135793924332,0.29553751051425936,-0.3388906717300415,0.001,-1.4621734142303466,0.0038584888
,,300,,,,,10,1213,2.54,0.71,0,-0.3678028099999999,,,,,,,,,,
129,1.48,330,0,330,0.94,-0.07546764384023845,,,,,,,50,-0.013094509687895339,0.0,0.2,0.042578838765621185,0.20348468124866487,0.3952033519744873,0.001,-1.441561222076416,0.004253568
,,330,,,,,11,1338,2.48,0.72,0,-0.33281945999999996,,,,,,,,,,
142,1.42,360,0,360,0.96,-0.05106353363953531,,,,,,,55,-0.008982623436798676,0.04666666835546494,0.2,0.09941696375608444,0.24186069369316102,-0.43795716762542725,0.001,-1.3187262773513795,0.009034171
,,360,,,,,12,1453,2.43,0.74,0,-0.2970575,,,,,,,,,,
154,1.22,390,0,390,0.96,-0.03287380236200988,,,,,,,60,-0.01711041968315836,0.026666668057441712,0.2,0.046288181096315384,0.20896226167678833,-0.42922043800354004,0.001,-1.1726917982101441,0.008665143
,,390,,,,,13,1568,2.41,0.75,0,-0.31158791,,,,,,,,,,
