env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,eval/success_rate,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,train/clip_range,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/loss,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl
9,1.66,-0.1442689693812281,30,0,30,0.88,,,,,,,,,,,,,,,,
,,,30,,,,-0.693556375,1,3.5,0,161,0.5,,,,,,,,,,
18,1.58,-0.11129108254797757,60,0,60,0.9,,,,,,,0.2,5,-0.026915881298482703,0.0,0.023765526711940765,0.5275678962469101,0.001,-0.766208291053772,-1.9438350915908813,0.0059723677
,,,60,,,,-0.6277639411764706,2,3.5294117647058822,0,291,0.5294117647058824,,,,,,,,,,
26,1.72,-0.17062294350005686,90,0,90,0.86,,,,,,,0.2,10,-0.02263867948204279,0.0,0.013953574001789093,0.27771053910255433,0.001,-0.7570428848266602,-1.9297149181365967,0.005580121
,,,90,,,,-0.65115012,3,3.52,0,428,0.52,,,,,,,,,,
35,1.46,-0.09357175825629384,120,0,120,0.92,,,,,,,0.2,15,-0.0251019946734111,0.03333333432674408,-0.004279132932424545,0.1787593513727188,0.001,-0.09847533702850342,-1.8990579843521118,0.0118724285
,,,120,,,,-0.6390676764705883,4,3.5,0,541,0.5294117647058824,,,,,,,,,,
46,1.58,-0.13516157977748663,150,0,150,0.88,,,,,,,0.2,20,-0.015196774968256221,0.020000000298023225,0.03483612462878227,0.18414539992809295,0.001,0.23062169551849365,-1.8518047332763672,0.005540347
,,,150,,,,-0.5707160444444445,5,3.2444444444444445,0,657,0.5777777777777777,,,,,,,,,,
60,1.42,-0.07244043366517872,180,0,180,0.94,,,,,,,0.2,25,-0.02180500211814973,0.006666667014360428,0.1083136796951294,0.4156683385372162,0.001,-1.0346438884735107,-1.8717580080032348,0.011368058
