env/n_steps,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,env/completion_counter,eval/mean_ep_length,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/fps,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range
30,12,-0.20559110609348863,0.8,30,0,1.86,,,,,,,,,,,,,,,,
,,,,30,,,1,-0.38077290909090916,163,0.7272727272727273,2.6363636363636362,0,,,,,,,,,,
60,24,-0.05255561389960348,0.92,60,0,1.44,,,,,,,-0.400707483291626,-0.028003973451753695,0.004611232,0.4498543694615364,-0.023369036614894867,0.001,0.0,5,-1.9444899320602418,0.2
,,,,60,,,2,-0.4343196086956522,279,0.6956521739130435,2.608695652173913,0,,,,,,,,,,
90,33,-0.03277704399544746,0.96,90,0,1.32,,,,,,,-0.3333016633987427,-0.00978466832078979,0.0052972613,0.4563260436058044,0.11224022507667542,0.001,0.0,10,-1.9323035717010497,0.2
,,,,90,,,3,-0.40528525,389,0.6875,2.8125,0,,,,,,,,,,
120,45,-0.049831901658326384,0.94,120,0,1.32,,,,,,,-0.7230287790298462,-0.01180043057228124,0.0033253669,0.315245595574379,0.05420389026403427,0.001,0.0,15,-1.9137704849243165,0.2
,,,,120,,,4,-0.3929506590909091,501,0.6818181818181818,2.727272727272727,0,,,,,,,,,,
150,61,-0.2038945024739951,0.82,150,0,1.88,,,,,,,0.12090080976486206,-0.039224780276417445,0.013776644,0.2590606093406677,0.01834101229906082,0.001,0.046666666865348816,20,-1.883630394935608,0.2
,,,,150,,,5,-0.31362441666666663,645,0.75,2.5,0,,,,,,,,,,
180,70,-0.09768150895368308,0.88,180,0,1.68,,,,,,,-0.9102073907852173,-0.01908016446977854,0.014338038,0.23639510273933412,0.04606752470135689,0.001,0.053333336114883424,25,-1.8011157989501954,0.2
,,,,180,,,6,-0.31561891304347817,777,0.7246376811594203,2.5942028985507246,0,,,,,,,,,,
210,85,-0.12085815771482884,0.9,210,0,1.58,,,,,,,-0.14513885974884033,-0.009352102000266172,0.0036540786,0.24798978865146637,0.07458949089050293,0.001,0.0,30,-1.717825436592102,0.2
,,,,210,,,7,-0.2877648214285714,908,0.75,2.488095238095238,0,,,,,,,,,,
240,98,-0.05067415073979646,0.96,240,0,1.3,,,,,,,0.016680896282196045,-0.03729680173099048,0.014114904,0.1682487517595291,-0.006915174424648285,0.001,0.07333333566784858,35,-1.7041181087493897,0.2
,,,,240,,,8,-0.29924707216494845,1027,0.7422680412371134,2.4742268041237114,0,,,,,,,,,,
