env/n_steps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/success_rate,env/current_idx,time/iterations,env/completion_counter,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
60,-0.009823777777777778,60,78,0,1.2666666666666666,0.9777777777777777,46,1,0,,,,,,,,,,
120,-0.0209304,120,148,0,1.263157894736842,0.9789473684210527,96,2,0,0.11420915783382952,-35.13182067871094,-0.04217091169208289,0.2,0.001,0.11500000208616257,-1.9385581374168397,10,0.02320855,-0.06721094250679016
180,-0.07542594999999999,180,215,0,1.34,0.94,136,3,0,0.01771252150647342,-0.9347612857818604,-0.03459784365259111,0.2,0.001,0.0600000012665987,-1.9126064658164978,20,0.009364209,-0.06248900294303894
240,-0.11039673,240,290,0,1.41,0.91,179,4,0,0.15881435722112655,0.010299384593963623,-0.03046559132790847,0.2,0.001,0.09500000104308129,-1.9227572917938232,30,0.013397753,-0.04282081872224808
300,-0.10080841,300,363,0,1.43,0.92,221,5,0,0.14322595447301864,-0.1771937608718872,-0.0425466554922362,0.2,0.001,0.15166666842997073,-1.886080276966095,40,0.014831188,-0.06445559859275818
360,-0.10938435,360,435,0,1.56,0.89,255,6,0,0.06686800979077816,0.02939695119857788,-0.042746662059798976,0.2,0.001,0.14666666872799397,-1.923388624191284,50,0.010638458,-0.083662249147892
420,-0.10130001,420,502,0,1.55,0.89,295,7,0,0.12253900542855263,-0.10446298122406006,-0.04439450042322277,0.2,0.001,0.31333334315568206,-1.8462691187858582,60,0.022297056,-0.0552448034286499
480,-0.13219398000000002,480,572,0,1.65,0.85,330,8,0,0.14820638112723827,-0.3774285316467285,-0.048066813480108904,0.2,0.001,0.17666666433215142,-1.8370517373085022,70,0.035474014,-0.06698843836784363
540,-0.12330480999999999,540,652,0,1.67,0.84,366,9,0,0.1476748801767826,-0.31432878971099854,-0.026472263579877708,0.2,0.001,0.20166666973382236,-1.738441240787506,80,0.018175922,-0.03252892196178436
600,-0.07502302,600,720,0,1.44,0.91,415,10,0,0.13320789933204652,-0.3675248622894287,-0.03808190485462539,0.2,0.001,0.1650000024586916,-1.8097583651542664,90,0.014184774,-0.053039271384477615
660,-0.09661146000000001,660,788,0,1.49,0.9,451,11,0,0.06892323363572359,-0.4308542013168335,-0.04878710015987373,0.2,0.001,0.12166666872799396,-1.7419991135597228,100,0.019856725,-0.07826609164476395
720,-0.13961104,720,868,0,1.61,0.86,484,12,0,0.18765646815299988,0.06156516075134277,-0.04017480795349311,0.2,0.001,0.1016666678711772,-1.802439033985138,110,0.025656115,-0.030017942190170288
780,-0.09452421000000001,780,943,0,1.43,0.89,535,13,0,0.2041618563234806,-0.22460901737213135,-0.05761619513854388,0.2,0.001,0.17999999616295098,-1.687477433681488,120,0.02753466,-0.045272137969732285
