rollout/success_rate,time/fps,time/total_timesteps,env/completion_counter,time/iterations,env/n_steps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,env/current_idx,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.8,0,60,0,1,60,-0.22836717142857146,80,1.7142857142857142,36,,,,,,,,,,,,,
0.8333333333333334,0,120,0,2,120,-0.1645944027777778,151,1.625,73,-0.04545135762542483,0.021613864,-1.9379030466079712,10,0.2,0.001,-0.38809847831726074,-0.015942666679620743,0.2565163288265467,0.19500000178813934,,,
0.83,0,180,0,3,180,-0.1734838,223,1.64,113,-0.05477522612238932,0.027674897,-1.9238743424415587,20,0.2,0.001,-0.493000864982605,-0.07396002858877182,0.16460420191287994,0.20666666254401206,,,
0.85,0,240,0,4,240,-0.14148920999999998,293,1.59,150,-0.029925814295808494,0.01417538,-1.905642282962799,30,0.2,0.001,0.24642550945281982,-0.044901590794324875,0.08835922535508871,0.146666669100523,,,
0.87,0,300,0,5,300,-0.12673701,367,1.53,188,-0.041590364314615734,0.018495433,-1.8891031384468078,40,0.2,0.001,-0.30785858631134033,-0.06798224151134491,0.12025894708931446,0.12000000346451997,,,
0.9,0,360,0,6,360,-0.09549086000000001,438,1.48,232,-0.0500118481802442,0.025607256,-1.901527225971222,50,0.2,0.001,0.3090019226074219,-0.07643996179103851,0.07604801766574383,0.22999999970197677,,,
0.89,0,420,0,7,420,-0.09396240000000003,509,1.5,270,-0.05309690956026314,0.02155943,-1.8124003291130066,60,0.2,0.001,-0.7490206956863403,-0.08422507345676422,0.11110308710485697,0.18999999910593032,,,
0.86,0,480,0,8,480,-0.12553123,585,1.58,305,-0.04334784876244759,0.025833277,-1.8319212198257446,70,0.2,0.001,0.13443732261657715,-0.05807049944996834,0.1109873354434967,0.228333330526948,,,
0.84,0,540,0,9,540,-0.14687558,657,1.58,343,-0.03333299406493708,0.007490945,-1.794190275669098,80,0.2,0.001,0.09793859720230103,-0.029396094381809235,0.18341711461544036,0.1416666701436043,,,
0.87,0,600,0,10,600,-0.11687437999999999,745,1.52,386,-0.05074826015625149,0.020020207,-1.8182872772216796,90,0.2,0.001,-0.07435381412506104,-0.07574944198131561,0.1453292526304722,0.20000000074505805,,,
0.91,0,660,0,11,660,-0.09503250999999999,912,1.39,429,-0.06404356444254518,0.036012854,-1.8128093242645265,100,0.2,0.001,-0.25494563579559326,-0.09329243749380112,0.1108788751065731,0.2383333332836628,,,
0.91,0,720,0,12,720,-0.08502525,986,1.39,475,-0.06757081252212327,0.033530597,-1.785441267490387,110,0.2,0.001,-0.09392762184143066,-0.07915402948856354,0.15335662439465522,0.2599999994039536,,,
0.92,0,780,0,13,780,-0.08415122000000003,1065,1.39,514,-0.07048599001020187,0.046902347,-1.6979429364204406,120,0.2,0.001,0.047023892402648926,-0.08828243613243103,0.07442575506865978,0.28333333525806664,,,
0.94,0,840,0,14,840,-0.07374105,1140,1.37,563,-0.07283450193082297,0.058153354,-1.6004511952400207,130,0.2,0.001,0.1750229001045227,-0.08354392647743225,0.10565081685781479,0.3433333370834589,,,
0.91,0,900,0,15,900,-0.09398329999999998,1215,1.45,599,-0.050039181256045936,0.03567756,-1.3450680017471313,140,0.2,0.001,-0.0556950569152832,-0.0770801454782486,0.039555765315890314,0.1750000037252903,,,
0.89,0,960,0,16,960,-0.11381111000000002,1294,1.46,644,-0.055489541164909895,0.04527138,-1.5865266442298889,150,0.2,0.001,-0.16793584823608398,-0.05442001670598984,0.1891009472310543,0.2666666630655527,,,
0.91,0,1020,0,17,1020,-0.09368539000000001,1366,1.36,689,-0.05217561603834233,0.03782811,-1.4247865557670594,160,0.2,0.001,0.007349193096160889,-0.07322333753108978,0.12294603176414967,0.20333333387970925,,,
0.94,0,1080,0,18,1080,-0.06086055,1453,1.24,740,-0.0453645407004903,0.043496836,-1.3117530941963196,170,0.2,0.001,0.12742722034454346,-0.0668361708521843,0.08242533206939698,0.27499999571591616,,,
0.94,0,1140,0,19,1140,-0.07053773000000002,1531,1.25,781,-0.06687130246311428,0.06966791,-1.4258155941963195,180,0.2,0.001,-0.08329546451568604,-0.08790922164916992,0.07609831877052783,0.2700000021606684,,,
0.9,0,1200,0,20,1200,-0.10589272999999999,1607,1.36,824,-0.049098594623307346,0.054985963,-1.1107591152191163,190,0.2,0.001,0.13131624460220337,-0.060458771884441376,0.11213044226169586,0.2549999989569187,,,
0.87,0,1260,0,21,1260,-0.12808228,1684,1.49,863,-0.04436729996465143,0.026457436,-1.1753311157226562,200,0.2,0.001,0.13016140460968018,-0.052555665373802185,0.10027182772755623,0.16500000469386578,,,
0.85,0,1320,0,22,1320,-0.13064099,1758,1.55,899,-0.055881687204043115,0.06236721,-1.1044614672660829,210,0.2,0.001,0.3187327980995178,-0.058036647737026215,0.1005201704800129,0.2850000012665987,,,
0.87,0,1380,0,23,1380,-0.12010649,1833,1.52,945,-0.03644424937665462,0.041074634,-0.9726818144321442,220,0.2,0.001,0.01807272434234619,-0.0263509638607502,0.15955291464924812,0.1650000037625432,,,
0.88,0,1440,0,24,1440,-0.11622632999999999,1905,1.52,982,-0.03690742277695484,0.025477255,-1.257827842235565,230,0.2,0.001,-0.3149435520172119,-0.04271610081195831,0.12445133924484253,0.11333333514630795,,,
0.92,0,1500,0,25,1500,-0.07315019999999998,1978,1.45,1024,-0.051165061313658985,0.03892546,-1.2340254545211793,240,0.2,0.001,0.19100594520568848,-0.044817499816417694,0.12851835414767265,0.2966666670516133,,,
0.9,0,1560,0,26,1560,-0.07846025,2049,1.55,1060,-0.04317420993000276,0.037991624,-1.2283308386802674,250,0.2,0.001,-1.0662264823913574,-0.051771387457847595,0.09905832223594188,0.16833333484828472,,,
0.89,0,1620,0,27,1620,-0.0887374,2129,1.53,1100,-0.05555876518910132,0.033899974,-1.3634520888328552,260,0.2,0.001,0.1896643042564392,-0.050540242344141006,0.10227946415543557,0.2116666704416275,,,
0.94,0,1680,0,28,1680,-0.06232714,2201,1.38,1149,-0.051845511694749116,0.025732983,-1.2921718597412108,270,0.2,0.001,0.002020418643951416,-0.02129724994301796,0.13710065856575965,0.32166666612029077,,,
0.94,0,1740,0,29,1740,-0.06994754000000002,2275,1.28,1196,-0.0480436620675027,0.041798927,-1.3320037245750427,280,0.2,0.001,0.05487483739852905,-0.055846214294433594,0.08463290184736252,0.21500000171363354,,,
0.95,0,1800,0,30,1800,-0.05052090999999999,2348,1.31,1239,-0.05016894849638143,0.04053331,-1.4668076992034913,290,0.2,0.001,0.3682613968849182,-0.06423931568861008,0.07080765590071678,0.24166666623204947,,,
0.94,0,1860,0,31,1860,-0.053495850000000005,2424,1.36,1284,-0.05285821103801332,0.041826434,-1.551663589477539,300,0.2,0.001,-3.7946019172668457,-0.08554443717002869,0.043588871136307716,0.2566666672006249,,,
0.91,0,1920,0,32,1920,-0.09430847999999999,2493,1.38,1327,-0.04800224774827564,0.021942886,-1.5211987257003785,310,0.2,0.001,0.16501855850219727,-0.0486367791891098,0.11893241405487061,0.14500000346451997,,,
0.89,0,1980,0,33,1980,-0.11637039999999998,2564,1.41,1369,-0.056331376917660235,0.06041155,-1.3276161193847655,320,0.2,0.001,0.0985148549079895,-0.028647616505622864,0.17158715426921844,0.2466666642576456,,,
0.92,0,2040,0,34,2040,-0.08666230999999999,2645,1.35,1413,-0.05592860912904145,0.04529075,-1.4280003309249878,330,0.2,0.001,-0.043067336082458496,-0.029314782470464706,0.1454959526658058,0.21666666753590108,,,
0.89,0,2100,0,35,2100,-0.12331233,2726,1.45,1453,-0.05169060338288545,0.03905042,-1.397117793560028,340,0.2,0.001,0.22805321216583252,-0.06660041213035583,0.10074629709124565,0.22833333350718021,,,
0.87,0,2160,0,36,2160,-0.14620146,2797,1.51,1493,-0.06231456841031706,0.056547333,-1.4904676914215087,350,0.2,0.001,0.1673385500907898,-0.05000906437635422,0.17396998554468154,0.3016666643321514,,,
0.89,0,2220,0,37,2220,-0.09608598999999998,2870,1.49,1528,-0.07290380398432425,0.14553279,-1.2915648102760315,360,0.2,0.001,0.18693029880523682,-0.08894598484039307,0.11268314383924008,0.2949999989941716,,,
0.85,0,2280,0,38,2280,-0.13033732,2943,1.58,1574,-0.04645411276568967,0.046246387,-1.1208382964134216,370,0.2,0.001,0.133350670337677,-0.06418042629957199,0.08920188620686531,0.22166666723787784,,,
0.87,0,2340,0,39,2340,-0.11666648,3028,1.49,1608,-0.05648527930180229,0.053008653,-1.2610650539398194,380,0.2,0.001,-0.13713765144348145,-0.05781516060233116,0.1251115880906582,0.22500000298023223,,,
0.88,0,2400,0,40,2400,-0.12770619,3110,1.49,1652,-0.05282767629250884,0.05638451,-1.3311187267303466,390,0.2,0.001,0.3572078347206116,-0.06507435441017151,0.10501613914966583,0.2433333322405815,,,
0.87,0,2460,0,41,2460,-0.13595053999999998,3190,1.54,1692,-0.06380680873990059,0.08914531,-1.2474471569061278,400,0.2,0.001,0.15955179929733276,-0.0596110038459301,0.11693665087223053,0.32999999858438966,,,
0.88,0,2520,0,42,2520,-0.12847456,3258,1.58,1727,-0.06095348471154764,0.06941821,-1.2125446557998658,410,0.2,0.001,-0.08556365966796875,-0.04879554361104965,0.1537453167140484,0.21333333756774664,,,
0.9,0,2580,0,43,2580,-0.10786628999999999,3325,1.53,1769,-0.05772413779671002,0.037397705,-1.2561617136001586,420,0.2,0.001,0.1420227289199829,-0.07204004377126694,0.12068634927272796,0.22000000141561032,,,
0.93,0,2640,0,44,2640,-0.07575544,3398,1.46,1811,-0.04724326987440399,0.04760352,-1.1249146580696106,430,0.2,0.001,-0.14613473415374756,-0.02150401473045349,0.16931228637695311,0.21333333142101765,,,
0.94,0,2700,0,45,2700,-0.06328082000000002,3485,1.36,1857,-0.04395297484627623,0.042986367,-1.224094033241272,440,0.2,0.001,-0.16996395587921143,-0.04078549146652222,0.11270798966288567,0.1649999998509884,,,
0.92,0,2760,0,46,2760,-0.07498953,3555,1.39,1899,-0.052720369854941926,0.03966073,-1.2545843720436096,450,0.2,0.001,0.013209700584411621,-0.07292991131544113,0.048382481560111046,0.18333333376795052,,,
0.87,0,2820,0,47,2820,-0.11703772000000001,3626,1.53,1935,-0.04749715648591533,0.057742402,-1.2432546019554138,460,0.2,0.001,-0.091347336769104,-0.019010446965694427,0.176429183781147,0.2050000036135316,,,
0.86,0,2880,0,48,2880,-0.13824144,3699,1.54,1975,-0.060800319475432296,0.08122279,-1.202079439163208,470,0.2,0.001,0.053073883056640625,-0.041832417249679565,0.17555559575557708,0.2383333370089531,,,
0.87,0,2940,0,49,2940,-0.12355834999999998,3767,1.44,2017,-0.06629793478796912,0.08827391,-1.305888056755066,480,0.2,0.001,0.24172860383987427,-0.0723412036895752,0.11327581033110619,0.3433333352208138,,,
0.91,0,3000,0,50,3000,-0.09184307000000003,3846,1.34,2067,-0.03026547900090648,0.08239154,-0.9764353275299072,490,0.2,0.001,-0.05337250232696533,-0.01724407449364662,0.13991518840193748,0.16166667137295007,,,
0.94,0,3060,0,51,3060,-0.06264059,3913,1.32,2109,-0.04933886325607699,0.031660516,-1.3136780500411986,500,0.2,0.001,-0.29221010208129883,-0.05279167741537094,0.11787014603614807,0.1983333371579647,,,
0.93,0,3120,0,52,3120,-0.054168629999999995,3986,1.37,2152,-0.0602522786706686,0.056967977,-1.3087589383125304,510,0.2,0.001,0.08475005626678467,-0.057838745415210724,0.08650675266981125,0.34333332870155575,,,
0.92,0,3180,0,53,3180,-0.0644521,4069,1.39,2196,-0.026523078434790202,0.016855963,-1.2062880754470826,520,0.2,0.001,0.1601833701133728,-0.03527282550930977,0.07170621491968632,0.17000000346452,,,
0.9,0,3240,0,54,3240,-0.08687790999999999,4139,1.45,2231,-0.03566135303544158,0.028991306,-1.1449069738388062,530,0.2,0.001,0.059928178787231445,-0.04641580209136009,0.0830618403851986,0.1600000001490116,,,
0.86,0,3300,0,55,3300,-0.14961652,4211,1.58,2269,-0.03441429463680841,0.03626346,-0.9312749385833741,540,0.2,0.001,0.07827329635620117,0.007705986499786377,0.18043630719184875,0.10500000119209289,,,
0.84,0,3360,0,56,3360,-0.16002320999999997,4285,1.6,2314,-0.05761030726134777,0.04167654,-1.0089332938194275,550,0.2,0.001,0.3000774383544922,-0.039652880281209946,0.14710887596011163,0.19000000264495612,,,
0.93,0,3420,0,57,3420,-0.07239577000000001,4355,1.33,2360,-0.05567396774888038,0.05866728,-1.0304809927940368,560,0.2,0.001,0.16444075107574463,-0.05851579084992409,0.09575957991182804,0.32166666612029077,,,
0.93,0,3480,0,58,3480,-0.07283433999999998,4430,1.38,2406,-0.04086261737470842,0.035189,-0.8971999764442444,570,0.2,0.001,-0.15265774726867676,-0.0655989795923233,0.05396517235785723,0.15500000305473804,,,
0.96,0,3540,0,59,3540,-0.03996736,4501,1.27,2456,-0.055103579306354164,0.062505834,-1.00705047249794,580,0.2,0.001,-0.15138590335845947,-0.033702705055475235,0.11574935615062713,0.2383333334699273,,,
0.97,0,3600,0,60,3600,-0.02930014,4571,1.21,2505,-0.041526390910148335,0.032520905,-0.8305196702480316,590,0.2,0.001,-18.89968490600586,-0.06457777321338654,0.01047348091378808,0.16500000525265932,,,
0.93,0,3660,0,61,3660,-0.08215218,4649,1.33,2545,-0.04039793382088339,0.08301474,-0.8316300570964813,600,0.2,0.001,0.2738463878631592,-0.026687130331993103,0.06902427077293397,0.21166666671633722,,,
0.9,0,3720,0,62,3720,-0.11829038,4732,1.51,2585,-0.039302495072285296,0.02880413,-0.8419860243797302,610,0.2,0.001,0.10075342655181885,0.02833303064107895,0.20427554845809937,0.16666666865348817,,,
