time/time_elapsed,time/fps,env/current_idx,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,env/n_steps,rollout/ep_len_mean,time/iterations,env/completion_counter,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate
81,0,37,60,-0.15321291666666667,0.8611111111111112,60,1.6666666666666667,1,0,,,,,,,,,,
155,0,71,120,-0.17772985714285716,0.8285714285714286,120,1.7,2,0,0.2,10,-1.9413352489471436,-0.07162102311849594,-0.04070367234448611,0.2309110626578331,-0.6175533533096313,0.06333333365619183,0.014102057,0.001
217,0,101,180,-0.20321541999999992,0.79,180,1.8,3,0,0.2,20,-1.9330992817878723,-0.05667982995510101,-0.034473599077512865,0.16589240357279778,-0.2591651678085327,0.0733333345502615,0.012996101,0.001
296,0,138,240,-0.19176921999999996,0.79,240,1.75,4,0,0.2,30,-1.9179972171783448,-0.01814098283648491,-0.0408422056244067,0.2274351328611374,-0.2903026342391968,0.1516666689887643,0.018361533,0.001
365,0,174,300,-0.15641260999999995,0.81,300,1.69,5,0,0.2,40,-1.9045192360877992,-0.08144742250442505,-0.05366711447325852,0.13244793713092803,-0.34359467029571533,0.15666666589677333,0.024344992,0.001
428,0,214,360,-0.13671397,0.85,360,1.59,6,0,0.2,50,-1.8858394384384156,-0.08095060288906097,-0.04731915446619193,0.12873308397829533,-0.32864487171173096,0.13666666783392428,0.017814113,0.001
491,0,250,420,-0.15761746000000001,0.84,420,1.62,7,0,0.2,60,-1.8789939761161805,-0.09341614693403244,-0.06438098644216872,0.11072979345917702,0.05444455146789551,0.2516666650772095,0.02914533,0.001
563,0,287,480,-0.13961511,0.86,480,1.57,8,0,0.2,70,-1.8267659544944763,-0.04848627746105194,-0.04571545583273586,0.1863481231033802,-0.2785583734512329,0.1016666678711772,0.019844452,0.001
631,0,322,540,-0.14692438000000002,0.85,540,1.6,9,0,0.2,80,-1.8076472878456116,-0.04228578880429268,-0.045650042332708904,0.13905590474605561,0.013452470302581787,0.3783333316445351,0.02755421,0.001
702,0,367,600,-0.12816494,0.86,600,1.53,10,0,0.2,90,-1.7833165407180787,-0.05748359486460686,-0.051983939527223466,0.1482338599860668,0.08292680978775024,0.32666666377335785,0.03259498,0.001
774,0,409,660,-0.10364356,0.89,660,1.42,11,0,0.2,100,-1.720551609992981,-0.05817892402410507,-0.0370940429065378,0.07107939086854458,0.0787009596824646,0.30333333611488345,0.0275864,0.001
842,0,463,720,-0.07009685999999998,0.93,720,1.28,12,0,0.2,110,-1.7263561129570006,-0.10373873263597488,-0.06797726647617922,0.09738088883459568,0.34854376316070557,0.21999999918043614,0.03877994,0.001
914,0,503,780,-0.040080519999999994,0.94,780,1.28,13,0,0.2,120,-1.6588945388793945,-0.07635912299156189,-0.04723325801547631,0.09388523511588573,-1.4967536926269531,0.14500000104308128,0.021204827,0.001
986,0,542,840,-0.08398235,0.89,840,1.43,14,0,0.2,130,-1.6295009851455688,-0.06076924502849579,-0.047331728022545504,0.06177022457122803,0.2912469506263733,0.19833333399146796,0.03447624,0.001
1063,0,586,900,-0.08486660999999998,0.87,900,1.49,15,0,0.2,140,-1.5973089337348938,-0.04059787467122078,-0.04517971379837675,0.15306520462036133,0.0664108395576477,0.13166666943579913,0.023292601,0.001
1128,0,631,960,-0.053309829999999996,0.92,960,1.35,16,0,0.2,150,-1.6291686654090882,-0.05842916667461395,-0.052425355756034464,0.07125484421849251,-0.4642977714538574,0.27333333287388084,0.056927085,0.001
1195,0,668,1020,-0.09496291999999999,0.9,1020,1.44,17,0,0.2,160,-1.4584311366081237,-0.062409959733486176,-0.0573252561067541,0.10541406571865082,-0.20065009593963623,0.21666666641831397,0.035465397,0.001
1264,0,704,1080,-0.1472275,0.87,1080,1.54,18,0,0.2,170,-1.54286732673645,-0.014631927013397217,-0.02948143113870181,0.16068851500749587,0.13711881637573242,0.1200000025331974,0.024252659,0.001
1329,0,741,1140,-0.16811725,0.82,1140,1.66,19,0,0.2,180,-1.6771659135818482,-0.050074610859155655,-0.055671630334109067,0.12497044578194619,0.4280768632888794,0.2499999998137355,0.03815127,0.001
1397,0,793,1200,-0.07131483,0.9,1200,1.38,20,0,0.2,190,-1.6193998456001282,-0.030974972993135452,-0.05289618014668429,0.19196305200457572,-0.4924890995025635,0.30666666347533467,0.028961306,0.001
1465,0,840,1260,-0.030751559999999997,0.97,1260,1.21,21,0,0.2,200,-1.5231181144714356,-0.07522132992744446,-0.04952487724522747,0.023906993679702282,-210.9490509033203,0.22499999962747097,0.030639358,0.001
1528,0,877,1320,-0.07357946,0.92,1320,1.37,22,0,0.2,210,-1.4837456464767456,-0.04102650284767151,-0.03163278849950686,0.06931401416659355,0.26608824729919434,0.08666666820645333,0.014159315,0.001
1594,0,923,1380,-0.09363052,0.89,1380,1.39,23,0,0.2,220,-1.5754525780677795,-0.029083676636219025,-0.04561482624461242,0.17500053346157074,-0.11385452747344971,0.24666666723787783,0.019403497,0.001
1665,0,968,1440,-0.09267566,0.89,1440,1.34,24,0,0.2,230,-1.3419819474220276,-0.03899168595671654,-0.062144088670611365,0.13899948373436927,0.04668533802032471,0.48166666328907015,0.10588094,0.001
1732,0,1010,1500,-0.11386780999999999,0.89,1500,1.36,25,0,0.2,240,-1.4617303133010864,-0.043462421745061874,-0.044599565081298385,0.130884812772274,0.13141363859176636,0.5400000095367432,0.024879448,0.001
1804,0,1053,1560,-0.13443901,0.88,1560,1.43,26,0,0.2,250,-1.3070390582084657,-0.02197938784956932,-0.0534331113720933,0.166188495606184,0.17185890674591064,0.5400000005960465,0.05757416,0.001
1881,0,1095,1620,-0.11425605000000001,0.88,1620,1.45,27,0,0.2,260,-1.371639609336853,-0.030595961958169937,-0.03344609715044502,0.09863561019301414,0.3533598780632019,0.2749999986961484,0.03609227,0.001
1946,0,1133,1680,-0.10306023999999998,0.89,1680,1.44,28,0,0.2,270,-1.1816476464271546,-0.02972860261797905,-0.028410149381185513,0.08361753672361374,0.18678659200668335,0.17000000420957803,0.024180206,0.001
