env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
60,-0.14431424390243905,60,42,1,1.4634146341463414,0,86,0.8780487804878049,0,,,,,,,,,,,,,
120,-0.09509225555555555,120,91,2,1.3333333333333333,0,163,0.9222222222222223,0,0.1015923,50,-1.923617331981659,0.2,-0.6945220232009888,0.05861409921431914,-0.1757393777370453,0.6653333334624767,0.001,-0.13785485125333072,,,
180,-0.08372152,180,133,3,1.3,0,235,0.93,0,0.110596895,100,-1.9009861946105957,0.2,-0.40123438835144043,0.01598961709998548,-0.15216974914073944,0.7463333318009973,0.001,-0.1350868818362554,,,
240,-0.07492625,240,176,4,1.35,0,309,0.9,0,0.103926115,150,-1.8721864891052247,0.2,0.0043915510177612305,0.025938083441578785,-0.1635979264974594,0.8169999878108501,0.001,-0.14784906964749098,,,
300,-0.08474649000000001,300,218,5,1.41,0,387,0.88,0,0.11152923,200,-1.8228574323654174,0.2,-0.152199387550354,0.012937732177670113,-0.12695743143558502,0.7153333304077387,0.001,-0.11160755294064682,,,
360,-0.09831509000000001,360,256,6,1.47,0,467,0.88,0,0.13886619,250,-1.7501153135299683,0.2,-0.08864998817443848,0.019839764485659543,-0.147987961769104,0.8143333229422569,0.001,-0.13263288641969362,,,
420,-0.1296536,420,292,7,1.55,0,544,0.87,0,0.1756877,300,-1.7628384518623352,0.2,0.1487191915512085,0.03040734541718848,-0.17032314836978912,0.86266666918993,0.001,-0.15549640012780824,,,
480,-0.12583026999999997,480,336,8,1.49,0,636,0.88,0,0.17020354,350,-1.6841468167304994,0.2,-0.008347034454345703,0.03749794485571328,-0.17073975503444672,0.8703333358466625,0.001,-0.15466059802472593,,,
540,-0.10579393,540,379,9,1.45,0,709,0.9,0,0.2126825,400,-1.6372454690933227,0.2,0.10553336143493652,0.022736807403853164,-0.15180066227912903,0.8393333333730698,0.001,-0.13931315588951113,,,
600,-0.07318832999999998,600,419,10,1.37,0,861,0.92,0,0.13455224,450,-1.645271236896515,0.2,0.0035690665245056152,0.017761010679532774,-0.14648059010505676,0.8079999941587448,0.001,-0.1309539511402448,,,
