env/completion_counter,rollout/success_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,env/current_idx,time/iterations,env/n_steps,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/value_loss,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0,0.9047619047619048,60,-0.10737735714285715,1.380952380952381,80,0,43,1,60,,,,,,,,,,,,,
0,0.8589743589743589,120,-0.14386471794871797,1.5384615384615385,158,0,79,2,120,0.07792885,-0.129393299077948,-0.20041775703430176,0.001,-1.9215134167671204,0.6133333334326744,50,-0.16789309680461884,0.2,0.029390921764425003,,,
0,0.84,180,-0.16848454000000002,1.61,228,0,114,3,180,0.114861086,-0.14583760331198573,0.09089690446853638,0.001,-1.8916401219367982,0.774000001847744,100,-0.1684693545103073,0.2,0.03058506806904916,,,
0,0.83,240,-0.17177117000000006,1.64,300,0,150,4,240,0.113205165,-0.15156890307366852,0.11387407779693604,0.001,-1.8480096554756165,0.8043333207070827,150,-0.1716456264257431,0.2,0.027489886948606,,,
0,0.86,300,-0.14014014,1.56,383,0,193,5,300,0.12837058,-0.13973643224934737,0.10007697343826294,0.001,-1.8348108291625977,0.7939999990165234,200,-0.15683552622795105,0.2,0.02803841767134145,,,
0,0.83,360,-0.16044,1.61,451,0,227,6,360,0.15560843,-0.13575917548934613,0.006290137767791748,0.001,-1.783794083595276,0.7816666688024998,250,-0.15140300989151,0.2,0.01618954970850609,,,
0,0.88,420,-0.12449516000000001,1.45,521,0,272,7,420,0.149434,-0.16484617286175487,0.003121614456176758,0.001,-1.733853895664215,0.8230000001192093,300,-0.18999457359313965,0.2,0.052793580571888016,,,
0,0.89,480,-0.10382807999999999,1.46,599,0,313,8,480,0.21903858,-0.14008929278949897,-0.11697065830230713,0.001,-1.65988169670105,0.8486666709557176,350,-0.15251275897026062,0.2,0.019992748284421394,,,
0,0.94,540,-0.06592019999999998,1.35,750,0,360,9,540,0.14063358,-0.1262201729218165,0.06466442346572876,0.001,-1.6362856435775757,0.7883333405852317,400,-0.1436648666858673,0.2,0.022995887357974424,,,
0,0.95,600,-0.06564753,1.29,935,0,407,10,600,0.15960899,-0.11580986920247476,-0.09818613529205322,0.001,-1.5831208968162536,0.7699999985843897,450,-0.1283063441514969,0.2,0.021822269244585187,,,
0,0.92,660,-0.09387395000000001,1.36,1007,0,446,11,660,0.23885247,-0.1362803928653399,-0.30184507369995117,0.001,-1.4763339352607727,0.8263333228975535,500,-0.1497119516134262,0.2,0.03196543767116964,,,
0,0.87,720,-0.13827727,1.56,1076,0,480,12,720,0.20048115,-0.16052879497036338,0.09237653017044067,0.001,-1.4073762273788453,0.8239999893307686,550,-0.17912137508392334,0.2,0.045864911153912544,,,
0,0.85,780,-0.13883856000000003,1.61,1155,0,521,13,780,0.36548483,-0.14825660147269568,0.04321795701980591,0.001,-1.2241048645973205,0.8216666606068611,600,-0.15947473049163818,0.2,0.032754723674152046,,,
0,0.87,840,-0.11057037000000003,1.59,1231,0,559,14,840,0.22119948,-0.11616964423656462,-0.3192451000213623,0.001,-1.0755092668533326,0.6696666648983955,650,-0.1269785761833191,0.2,0.02070793592138216,,,
0,0.91,900,-0.07843531000000001,1.44,1305,0,604,15,900,0.2691504,-0.12057829810430608,-0.019074201583862305,0.001,-0.8548488354682923,0.5740000019967556,700,-0.14105843007564545,0.2,0.04142199100111611,,,
0,0.92,960,-0.07734725,1.4,1385,0,648,16,960,0.3241854,-0.09761940587808687,-0.16082286834716797,0.001,-0.7239806067943573,0.5410000024735928,750,-0.1097964495420456,0.2,0.019608300706604496,,,
0,0.91,1020,-0.08500513,1.43,1461,0,684,17,1020,0.53074175,-0.11101581833759944,0.15639525651931763,0.001,-0.640709832906723,0.5046666614711285,800,-0.1273481547832489,0.2,0.023872753495234066,,,
