env/n_steps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/success_rate,env/completion_counter,time/iterations,env/current_idx,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/approx_kl,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/success_rate
60,-0.20198784848484844,1.8181818181818181,60,77,0.7878787878787878,0,1,34,0,,,,,,,,,,,,,
120,-0.13081212676056336,1.6619718309859155,120,149,0.8309859154929577,0,2,72,0,0.63766666918993,50,-1.9224273324012757,-0.36685335636138916,-0.13221570461615925,0.001,0.0400884075317299,0.09082609,-0.1715061217546463,0.2,,,
180,-0.09539442999999999,1.53,180,224,0.88,0,3,116,0,0.7746666719019413,100,-1.8978202939033508,-0.07384443283081055,-0.1308435153439641,0.001,0.015192425790883136,0.10929594,-0.14859382808208466,0.2,,,
240,-0.13107957,1.62,240,296,0.84,0,4,148,0,0.854666665494442,150,-1.8397636795043946,-0.5064020156860352,-0.14550492172936597,0.001,0.011983063356310594,0.16315623,-0.16001109778881073,0.2,,,
300,-0.14032677000000002,1.58,300,370,0.85,0,5,190,0,0.7966666689515114,200,-1.79546315908432,0.09817475080490112,-0.1635898860233526,0.001,0.04323058047913946,0.14151771,-0.18912005424499512,0.2,,,
360,-0.1712349,1.65,360,446,0.83,0,6,225,0,0.8066666588559747,250,-1.7082045602798461,-0.32492613792419434,-0.1433498722190658,0.001,0.027387903072230983,0.16125317,-0.1599796861410141,0.2,,,
420,-0.13592617,1.59,420,518,0.86,0,7,265,0,0.8499999982118607,300,-1.6215193939208985,0.1379724144935608,-0.1652989793767532,0.001,0.034386030131136065,0.2319925,-0.1849500685930252,0.2,,,
480,-0.07362286,1.48,480,587,0.91,0,8,307,0,0.830999995470047,350,-1.5810544753074647,-0.410439133644104,-0.139758129067719,0.001,0.028597645499976353,0.21299314,-0.15275554358959198,0.2,,,
540,-0.05224482999999999,1.39,540,657,0.95,0,9,349,0,0.8316666618734598,400,-1.4835285878181457,0.0964091420173645,-0.1250042964691917,0.001,0.011961424272158183,0.2116482,-0.13762527704238892,0.2,,,
600,-0.08753324000000001,1.61,600,1146,0.89,0,10,379,0,0.8239999908953906,450,-1.225393590927124,-0.1374518871307373,-0.11829888278245926,0.001,0.023453828152269124,0.2827048,-0.12957444787025452,0.2,,,
660,-0.13060568,1.64,660,1239,0.86,0,11,417,0,0.7573333359509706,500,-1.1924779677391053,-0.00738525390625,-0.14649202780425546,0.001,0.0415582499129232,0.24857385,-0.16615480184555054,0.2,,,
720,-0.12702459000000002,1.52,720,1316,0.88,0,12,462,0,0.692666680701077,550,-1.0116704571247102,-0.051235198974609375,-0.14223363175491494,0.001,0.04520895021618344,0.33620548,-0.16333173215389252,0.2,,,
780,-0.13653145000000003,1.53,780,1389,0.86,0,13,494,0,0.6133333317935467,600,-0.8647587168216705,-0.12363910675048828,-0.12301126383244991,0.001,0.02271600832347758,0.37110886,-0.13811546564102173,0.2,,,
840,-0.11532070999999998,1.47,840,1467,0.88,0,14,540,0,0.5103333328664302,650,-0.7144765329360961,0.07633322477340698,-0.11856015057116746,0.001,0.04332098869839683,0.2425,-0.13964565098285675,0.2,,,
900,-0.11546301999999999,1.48,900,1550,0.88,0,15,581,0,0.5326666656136513,700,-0.7455496895313263,0.1064041256904602,-0.07500231382499138,0.001,0.024768627452431247,0.6198281,-0.09968159347772598,0.2,,,
960,-0.08209443999999999,1.34,960,1640,0.93,0,16,626,0,0.5313333237171173,750,-0.5679196482896804,-0.10779309272766113,-0.12415698795020581,0.001,0.04373990068444982,0.49132574,-0.13573963940143585,0.2,,,
1020,-0.0938696,1.35,1020,1719,0.92,0,17,670,0,0.4193333302438259,800,-0.43328067779541013,-0.04295969009399414,-0.06251815339426198,0.001,0.022782660394441337,0.7781163,-0.073308564722538,0.2,,,
1080,-0.09447290999999998,1.37,1080,1797,0.92,0,18,714,0,0.21800000108778478,850,-0.17013633608818055,-0.014369010925292969,-0.04435039581110079,0.001,0.0347831788926851,0.52417207,-0.05245018005371094,0.2,,,
1140,-0.13611538,1.49,1140,1869,0.88,0,19,747,0,0.3473333351314068,900,-0.24008458107709885,0.18678295612335205,-0.08805577536424002,0.001,0.017086818850657437,0.45425126,-0.09971287846565247,0.2,,,
1200,-0.16917529,1.62,1200,1941,0.84,0,20,784,0,0.18666667222976685,950,-0.15582401499152185,0.11878561973571777,-0.051722262411067844,0.001,0.048489836336812,0.13149185,-0.07941723614931107,0.2,,,
1260,-0.18114646,1.65,1260,2019,0.83,0,21,817,0,0.3576666658744216,1000,-0.2836265888810158,-0.06991100311279297,-0.08339024022904531,0.001,0.035691850484581664,0.7459063,-0.1165141612291336,0.2,,,
1320,-0.20994414000000003,1.75,1320,2085,0.8,0,22,850,0,0.46066667571663855,1050,-0.25673179894685744,0.005104959011077881,-0.10652316801249981,0.001,0.04483587914379314,0.9032772,-0.1230456531047821,0.2,,,
1380,-0.24225356,1.87,1380,2152,0.78,0,23,880,0,0.4339999979734421,1100,-0.3187121617794037,0.12837070226669312,-0.08123327718675136,0.001,0.03546942903310992,0.88348466,-0.10498068481683731,0.2,,,
1440,-0.17625384,1.62,1440,2232,0.83,0,24,925,0,0.3706666662544012,1150,-0.2820145231485367,0.02432548999786377,-0.08142668514947098,0.001,0.036604309601243584,0.75429606,-0.09654081612825394,0.2,,,
1500,-0.14689015000000002,1.5,1500,2302,0.86,0,25,966,0,0.2766666708141565,1200,-0.1922231459617615,0.23141014575958252,-0.05662152553349733,0.001,0.020994028457207606,0.28962803,-0.09013225138187408,0.2,,,
1560,-0.14540388,1.46,1560,2378,0.87,0,26,1004,0,0.3600000013411045,1250,-0.27401537537574766,0.1473749279975891,-0.07604258166998625,0.001,0.03509852411225438,0.47953326,-0.06635793298482895,0.2,,,
1620,-0.14673504999999998,1.52,1620,2460,0.87,0,27,1046,0,0.28133333757519724,1300,-0.19105225890874863,0.06620597839355469,-0.057384744442999354,0.001,0.04234068037825636,0.32905346,-0.06726334989070892,0.2,,,
1680,-0.13508951,1.54,1680,2535,0.88,0,28,1084,0,0.2780000039935112,1350,-0.1784159317612648,0.20509368181228638,-0.05825126417229573,0.001,0.029715453292010353,0.51325685,-0.06554901599884033,0.2,,,
1740,-0.12749934,1.58,1740,2610,0.88,0,29,1121,0,0.30700000286102297,1400,-0.20712051957845687,-0.24299752712249756,-0.07421029526988665,0.001,0.03638824806199409,0.4952384,-0.0851079598069191,0.2,,,
1800,-0.10659080999999998,1.59,1800,2683,0.88,0,30,1161,0,0.2663333356380463,1450,-0.26037002116441726,0.18237239122390747,-0.0662410048569242,0.001,0.023380810525268317,0.22563487,-0.0883680209517479,0.2,,,
1860,-0.09983074999999998,1.58,1860,2755,0.87,0,31,1200,0,0.3883333300054073,1500,-0.24216316223144532,-0.4294466972351074,-0.07458239948935808,0.001,0.027910087804775684,0.5155422,-0.0980599969625473,0.2,,,
1920,-0.09465274000000001,1.4,1920,2825,0.9,0,32,1248,0,0.3000000070780516,1550,-0.23057665586471557,-0.14414918422698975,-0.07419004806131124,0.001,0.05204748330754228,0.43252313,-0.0835123360157013,0.2,,,
1980,-0.060256099999999986,1.3,1980,2903,0.94,0,33,1291,0,0.20233333542943,1600,-0.14229601472616196,-0.35893499851226807,-0.04210318428774674,0.001,0.03154464035993442,0.4491166,-0.06670054793357849,0.2,,,
2040,-0.08260131,1.46,2040,2976,0.9,0,34,1325,0,0.3413333357870579,1650,-0.20862605214118957,0.027644693851470947,-0.08096445493151744,0.001,0.04428729546256363,0.3950127,-0.08831486850976944,0.2,,,
2100,-0.12415028,1.52,2100,3059,0.86,0,35,1369,0,0.2583333374559879,1700,-0.18547404080629348,0.23353856801986694,-0.04765768387416999,0.001,0.0223824675520882,0.41173488,-0.05662816762924194,0.2,,,
2160,-0.08247010000000003,1.43,2160,3135,0.91,0,36,1407,0,0.19033333592116833,1750,-0.11025778964161873,0.1694055199623108,-0.04439170335978268,0.001,0.05371922568418085,0.25421083,-0.05646530166268349,0.2,,,
2220,-0.12684807,1.55,2220,3215,0.87,0,37,1442,0,0.3029999998956919,1800,-0.1703968670964241,0.06653457880020142,-0.07056185781459014,0.001,0.014995488304411992,0.635661,-0.07862696051597595,0.2,,,
2280,-0.11491728,1.41,2280,3289,0.89,0,38,1493,0,0.1966666693985462,1850,-0.12877290114760398,0.030972838401794434,-0.040543113993170364,0.001,0.08577020413242281,0.44674882,-0.056973669677972794,0.2,,,
2340,-0.052377610000000005,1.26,2340,3366,0.94,0,39,1539,0,0.2090000017732382,1900,-0.15799180507659913,-0.1522984504699707,-0.05626000796506803,0.001,0.020415954940253868,0.4428407,-0.0621551088988781,0.2,,,
2400,-0.052159210000000004,1.27,2400,3447,0.94,0,40,1587,0,0.14866667203605174,1950,-0.11273406088352203,-0.03291940689086914,-0.010768758833408327,0.001,0.009203136983560399,0.073421575,-0.011784574948251247,0.2,,,
2460,-0.07244451999999998,1.28,2460,3524,0.93,0,41,1628,0,0.11000000059604645,2000,-0.029748534932732582,-0.02120339870452881,-0.03770226195082067,0.001,0.04042397400946356,0.27085915,-0.039135657250881195,0.2,,,
2520,-0.07168980999999999,1.32,2520,3604,0.93,0,42,1678,0,0.06866666994988918,2050,-0.024500774797052146,0.2347499132156372,-0.031158242789407566,0.001,0.04770889737643302,0.2636996,-0.048152510076761246,0.2,,,
2580,-0.028150949999999998,1.15,2580,3679,0.98,0,43,1732,0,0.13333333857357502,2100,-0.10267951726913452,0.531653106212616,-0.047122444583723964,0.001,0.00492690951214172,0.3839427,-0.05780970677733421,0.2,,,
2640,-0.05981859000000001,1.27,2640,3748,0.94,0,44,1773,0,0.15933333814144135,2150,-0.08195034861564636,-0.39150893688201904,-0.036919215706487485,0.001,0.023506434683222322,0.34767047,-0.04209044203162193,0.2,,,
2700,-0.08239896,1.39,2700,3818,0.9,0,45,1817,0,0.1306666712462902,2200,-0.06465616442263127,0.018146872520446777,-0.027362004882345588,0.001,0.08589087989646942,0.1283642,-0.030852165073156357,0.2,,,
2760,-0.08221983,1.42,2760,3894,0.89,0,46,1860,0,0.06100000314414501,2250,-0.00885408591479063,-0.16517913341522217,-0.02164508039667272,0.001,0.031213141197804363,0.31181154,-0.023068871349096298,0.2,,,
2820,-0.06216565,1.43,2820,3974,0.89,0,47,1904,0,0.03900000117719173,2300,-0.013706959057599307,-0.08319103717803955,-0.01133751660717337,0.001,0.04499195799406152,0.10885545,-0.017871875315904617,0.2,,,
2880,-0.10302890000000002,1.45,2880,4049,0.87,0,48,1947,0,0.031666668318212035,2350,-0.002901868228800595,-0.11085391044616699,-0.003435193654149771,0.001,0.02211778603843413,0.0030653079,-0.003224306972697377,0.2,,,
2940,-0.09119185999999999,1.28,2940,4129,0.92,0,49,1996,0,0.0,2400,-0.0014525780058465899,-0.034548163414001465,-7.805128886531065e-06,0.001,0.06379656122066081,9.934108e-10,0.0005867447471246123,0.2,,,
3000,-0.08117144,1.35,3000,4205,0.91,0,50,2040,0,0.0,2450,-0.0009750182030256837,-0.03188133239746094,-3.6237835843166977e-06,0.001,0.02797817054204643,1.9868216e-09,0.0002525584422983229,0.2,,,
3060,-0.05048287,1.33,3060,4276,0.92,0,51,2085,0,0.08466666840016841,2500,-0.023873257916420698,-0.06642842292785645,-0.03543824532628058,0.001,0.0424866659194231,0.48295143,-0.036632295697927475,0.2,,,
3120,-0.040905630000000005,1.31,3120,4349,0.94,0,52,2134,0,0.10966667048633098,2550,-0.050960944518446925,-0.11396586894989014,-0.02409181147627532,0.001,0.014854868630645796,0.22174902,-0.05030854418873787,0.2,,,
3180,-0.040817360000000004,1.27,3180,4421,0.95,0,53,2179,0,0.037333335131406784,2600,-0.015062706293538213,-0.04230642318725586,-0.02142322351823289,0.001,0.04023354023694992,0.40436107,-0.03580981492996216,0.2,,,
3240,-0.05332142000000001,1.34,3240,4493,0.94,0,54,2222,0,0.039666668213903904,2650,-0.02934492294676602,-0.13799524307250977,-0.008986281506581371,0.001,0.023747700160602108,0.22786944,-0.03529493883252144,0.2,,,
3300,-0.07671764000000002,1.32,3300,4564,0.93,0,55,2270,0,0.3673333352804184,2700,-0.13791405193507672,-0.03516662120819092,-0.08482411731779578,0.001,0.036010097940452394,0.71807176,-0.09467319399118423,0.2,,,
3360,-0.08917513999999999,1.36,3360,4635,0.91,0,56,2312,0,0.1770000034570694,2750,-0.08751906171441078,0.1218063235282898,-0.03863931225612759,0.001,0.031446464844048026,0.11791417,-0.046567387878894806,0.2,,,
3420,-0.06354884,1.33,3420,4710,0.93,0,57,2357,0,0.16466667123138903,2800,-0.09465375199913978,-0.14793026447296143,-0.02990359484155972,0.001,0.04970378478989005,0.5061416,-0.02768184058368206,0.2,,,
3480,-0.08210490000000002,1.36,3480,4786,0.92,0,58,2403,0,0.14100000370293855,2850,-0.1102852414548397,0.08041197061538696,-0.041268004644972586,0.001,0.027199612429831176,0.21181077,-0.06019461154937744,0.2,,,
3540,-0.07045657,1.29,3540,4856,0.93,0,59,2449,0,0.167000003606081,2900,-0.05742125704884529,-0.008105039596557617,-0.05427717758466802,0.001,0.029407419669441878,0.2839677,-0.06103867292404175,0.2,,,
3600,-0.07083449,1.25,3600,4943,0.93,0,60,2498,0,0.09766666814684868,2950,-0.005697489784797654,0.33602601289749146,-0.011369119318823015,0.001,0.019979645794956015,0.2618049,-0.011382960714399815,0.2,,,
3660,-0.10300287,1.31,3660,5023,0.91,0,61,2541,0,0.015000000782310962,3000,-0.004171783770434558,0.21161794662475586,-0.0019028894864023015,0.001,0.029331850297749044,0.00042412776,0.0037824753671884537,0.2,,,
3720,-0.09589618999999999,1.39,3720,5101,0.89,0,62,2582,0,0.0,3050,-0.0009220562211703509,0.1904643177986145,-6.019668769535969e-05,0.001,0.05636946730781347,2.0861626e-07,0.0007806747453287244,0.2,,,
3780,-0.06386631,1.32,3780,5189,0.92,0,63,2629,0,0.0,3100,-0.0019528657523915172,-0.018458008766174316,-1.7155935258017507e-05,0.001,0.04167068568058312,5.433957e-07,0.0024082863237708807,0.2,,,
3840,-0.0613273,1.3,3840,5263,0.93,0,64,2672,0,0.0,3150,-0.0013101243390701712,-0.1746044158935547,-4.683593919310169e-06,0.001,0.06810112953186036,2.1855037e-08,0.023948051035404205,0.2,,,
3900,-0.07109926000000001,1.34,3900,5348,0.92,0,65,2718,0,0.0,3200,-0.0007807232544291765,0.061754465103149414,-5.2005102206442726e-06,0.001,0.02494620407233015,1.9868216e-09,0.00013510629651136696,0.2,,,
3960,-0.06063622,1.27,3960,5431,0.95,0,66,2766,0,0.0,3250,-0.0023359357472509147,0.38337528705596924,-0.0005182862167881908,0.001,0.04003347247838974,4.270474e-05,0.007565851788967848,0.2,,,
4020,-0.06262263000000001,1.27,4020,5508,0.95,0,67,2810,0,0.0,3300,-0.001189163364470005,0.25296056270599365,-0.0003535103287140373,0.001,0.01749930523626972,5.8990718e-05,-0.00020963679708074778,0.2,,,
4080,-0.06179315,1.28,4080,5585,0.94,0,68,2856,0,0.0,3350,-0.0011202279303688556,-0.3216979503631592,-0.0006639920148324307,0.001,0.06179859675234184,4.8041343e-06,-0.00011220970191061497,0.2,,,
4140,-0.07312321,1.33,4140,5673,0.92,0,69,2902,0,0.07466666754335165,3400,-0.05082502336706966,0.288979172706604,-0.03285307667179344,0.001,0.014910437309881673,0.14343761,-0.05165145918726921,0.2,,,
4200,-0.07135125,1.31,4200,5753,0.93,0,70,2947,0,0.1056666699796915,3450,-0.09451628431677818,0.21307730674743652,-0.029020357560521612,0.001,0.02559402051847428,0.21476285,-0.058936648070812225,0.2,,,
4260,-0.060255210000000003,1.26,4260,5834,0.94,0,71,2996,0,0.1423333391547203,3500,-0.08843493849039077,-0.47207915782928467,-0.04815805275986591,0.001,0.05534460011869669,0.33583716,-0.049151819199323654,0.2,,,
4320,-0.061055729999999996,1.3,4320,5912,0.94,0,72,3038,0,0.03133333496749401,3550,-0.004362139615695923,-0.08339524269104004,-0.005568420903136335,0.001,0.015164174408419058,0.18722153,-0.005547457840293646,0.2,,,
4380,-0.08193723,1.36,4380,5988,0.92,0,73,3085,0,0.0,3600,-0.0011060072132386266,0.11778408288955688,-3.0639568929657913e-06,0.001,0.043717146199196574,1.9868216e-09,0.0019072695868089795,0.2,,,
4440,-0.07091062000000001,1.29,4440,6065,0.94,0,74,3130,0,0.0,3650,-0.0013459628936834634,-0.13600564002990723,-1.8381426716125304e-05,0.001,0.06984542070887984,2.3841858e-08,0.003534763352945447,0.2,,,
4500,-0.08015940999999999,1.29,4500,6145,0.93,0,75,3177,0,0.0,3700,-0.0009493723884224891,-0.2035810947418213,-1.859757308936949e-05,0.001,0.026889944303547964,1.7881394e-08,0.000208130048122257,0.2,,,
4560,-0.11301013000000001,1.36,4560,6219,0.9,0,76,3221,0,0.015666667483747006,3750,-0.002049767910502851,-0.0045506954193115234,-0.001346681320108445,0.001,0.06380411861464381,0.09363887,0.00601488072425127,0.2,,,
4620,-0.07340976000000002,1.27,4620,6295,0.94,0,77,3273,0,0.0,3800,-0.003561679935082793,0.11484134197235107,-0.0006726230442873238,0.001,0.060409719869494435,9.2395145e-05,0.008975285105407238,0.2,,,
4680,-0.041328260000000006,1.22,4680,6372,0.96,0,78,3321,0,0.0,3850,-0.0019267540983855724,-0.09048795700073242,-1.308033863445246e-06,0.001,0.01612624878413044,0.0,0.0004441270721144974,0.2,,,
